"Title","Phonics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","90","%","1,439"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","4,589"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","652,250"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","80","%","486,225"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","435,960"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","1,670"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","41","%","675"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","37","%","2,297"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","45,623"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","39,662"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","10,127"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","5,590"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","85","%","9,409"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","83","%","14,536"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","84","%","67,049"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","89","%","18,763"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","27,062"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","9,966"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","85","%","11,258"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","35,227"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","79","%","6,400"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","84","%","24,070"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","80","%","4,757"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","88","%","3,155"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","79","%","11,845"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","58","%","9,087"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","All","All","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77","%","334,243"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77","%","249,452"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77","%","223,693"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","873"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","35","%","335"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","33","%","1,164"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","75","%","23,387"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","20,198"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","73","%","5,169"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","2,823"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","4,738"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","80","%","7,468"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","34,391"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","87","%","9,715"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77","%","13,849"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","5,067"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","5,760"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","17,823"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","74","%","3,290"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","80","%","12,115"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","75","%","2,418"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","86","%","1,615"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","76","%","6,100"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","55","%","4,664"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","All","All","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","84","%","318,007"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","84","%","236,773"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","85","%","212,267"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","83","%","797"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","47","%","340"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","41","%","1,133"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","22,236"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86","%","19,464"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","83","%","4,958"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86","%","2,767"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","89","%","4,671"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86","%","7,068"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","87","%","32,658"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","92","%","9,048"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","85","%","13,213"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86","%","4,899"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","88","%","5,498"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86","%","17,404"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","84","%","3,110"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","87","%","11,955"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","84","%","2,339"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","90","%","1,540"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","5,745"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","61","%","4,423"
