"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator","Comments"
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental health trust","13.287905","%","78","587",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance trust","10.902592","%","244","2238",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance trust","19.141914","%","58","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute trust","8.796042","%","160","1819",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute trust","18.295739","%","219","1197",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands & East","Grouped region","Mental health trust","6.416465","%","106","1652",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands & East","Grouped region","Mental health trust","14.646465","%","29","198",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental health trust","4.350829","%","63","1448",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental health trust","16.40625","%","21","128",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Brompton & Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute trust","7.559573","%","92","1217",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Brompton & Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute trust","14.787431","%","80","541",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands & East","Grouped region","Mental health trust","5.740011","%","102","1777",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands & East","Grouped region","Mental health trust","10.31746","%","39","378",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute trust","5.55005","%","224","4036",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute trust","10.701107","%","29","271",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute trust","7.324944","%","227","3099",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute trust","15.503876","%","60","387",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute trust","4.744526","%","39","822",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute trust","20.930233","%","9","43",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Derby Teaching Hospitals NHS Foundation Trust","RTG","White","White & Other","Midlands & East","Grouped region","Acute trust","5.700968","%","159","2789",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Derby Teaching Hospitals NHS Foundation Trust","RTG","Other","White & Other","Midlands & East","Grouped region","Acute trust","13.580247","%","55","405",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute trust","7.312973","%","261","3569",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute trust","17.058824","%","116","680",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute trust","5.300988","%","59","1113",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute trust","13.930348","%","56","402",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Surrey And Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute trust","5.539692","%","97","1751",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Surrey And Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute trust","9.21273","%","55","597",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental health trust","5.494505","%","45","819",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental health trust","7.017544","%","4","57",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute trust","5.135135","%","19","370",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute trust","14.285714","%","4","28",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental health trust","4.166667","%","58","1392",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental health trust","11.111111","%","8","72",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute trust","7.095116","%","138","1945",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute trust","18.978102","%","26","137",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental health trust","7.526287","%","136","1807",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental health trust","13.69863","%","140","1022",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental health trust","7.048458","%","80","1135",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental health trust","14.139693","%","83","587",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Humber NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental health trust","7.656613","%","33","431",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Humber NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental health trust","4.761905","%","1","21",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute trust","6.286267","%","195","3102",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute trust","15.207373","%","66","434",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental health trust","6.282125","%","110","1751",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental health trust","20","%","35","175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Epsom And St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute trust","6.629834","%","108","1629",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Epsom And St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute trust","15.606936","%","108","692",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute trust","8.564815","%","259","3024",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute trust","17.312073","%","76","439",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute trust","4.972376","%","27","543",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute trust","14","%","7","50",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute trust","6.737589","%","76","1128",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute trust","10.11236","%","9","89",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental health trust","4.930748","%","89","1805",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental health trust","8.396947","%","11","131",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Central Manchester University Hospitals NHS Foundation Trust","RW3","White","White & Other","North","Grouped region","Acute trust","7.69833","%","295","3832",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Central Manchester University Hospitals NHS Foundation Trust","RW3","Other","White & Other","North","Grouped region","Acute trust","18.446602","%","133","721",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mersey Care NHS Foundation Trust","RW4","White","White & Other","North","Grouped region","Mental health trust","5.979381","%","145","2425",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mersey Care NHS Foundation Trust","RW4","Other","White & Other","North","Grouped region","Mental health trust","12.977099","%","17","131",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lancashire Care NHS Foundation Trust","RW5","White","White & Other","North","Grouped region","Mental health trust","8.944954","%","39","436",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lancashire Care NHS Foundation Trust","RW5","Other","White & Other","North","Grouped region","Mental health trust","10.25641","%","4","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Pennine Acute Hospitals NHS Trust","RW6","White","White & Other","North","Grouped region","Acute trust","6.65874","%","168","2523",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Pennine Acute Hospitals NHS Trust","RW6","Other","White & Other","North","Grouped region","Acute trust","20.127796","%","63","313",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Hull And East Yorkshire Hospitals NHS Trust","RWA","White","White & Other","North","Grouped region","Acute trust","5.32122","%","164","3082",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Hull And East Yorkshire Hospitals NHS Trust","RWA","Other","White & Other","North","Grouped region","Acute trust","11.036789","%","33","299",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","United Lincolnshire Hospitals NHS Trust","RWD","White","White & Other","Midlands & East","Grouped region","Acute trust","6.709145","%","179","2668",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","United Lincolnshire Hospitals NHS Trust","RWD","Other","White & Other","Midlands & East","Grouped region","Acute trust","16.171617","%","49","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Of Leicester NHS Trust","RWE","White","White & Other","Midlands & East","Grouped region","Acute trust","7.597173","%","258","3396",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Of Leicester NHS Trust","RWE","Other","White & Other","Midlands & East","Grouped region","Acute trust","11.900369","%","129","1084",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Maidstone And Tunbridge Wells NHS Trust","RWF","White","White & Other","South","Grouped region","Acute trust","7.95107","%","26","327",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Maidstone And Tunbridge Wells NHS Trust","RWF","Other","White & Other","South","Grouped region","Acute trust","18.333333","%","11","60",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","West Hertfordshire Hospitals NHS Trust","RWG","White","White & Other","Midlands & East","Grouped region","Acute trust","5.953339","%","74","1243",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","West Hertfordshire Hospitals NHS Trust","RWG","Other","White & Other","Midlands & East","Grouped region","Acute trust","16.479401","%","88","534",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East And North Hertfordshire NHS Trust","RWH","White","White & Other","Midlands & East","Grouped region","Acute trust","6.095552","%","74","1214",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East And North Hertfordshire NHS Trust","RWH","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.285714","%","43","350",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Stockport NHS Foundation Trust","RWJ","White","White & Other","North","Grouped region","Acute trust","5.579869","%","102","1828",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Stockport NHS Foundation Trust","RWJ","Other","White & Other","North","Grouped region","Acute trust","15.47619","%","26","168",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East London NHS Foundation Trust","RWK","White","White & Other","London","Grouped region","Mental health trust","9.090909","%","115","1265",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East London NHS Foundation Trust","RWK","Other","White & Other","London","Grouped region","Mental health trust","13.020277","%","122","937",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Worcestershire Acute Hospitals NHS Trust","RWP","White","White & Other","Midlands & East","Grouped region","Acute trust","5.977286","%","100","1673",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Worcestershire Acute Hospitals NHS Trust","RWP","Other","White & Other","Midlands & East","Grouped region","Acute trust","15.789474","%","30","190",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Hertfordshire Partnership University NHS Foundation Trust","RWR","White","White & Other","Midlands & East","Grouped region","Mental health trust","5.982906","%","56","936",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Hertfordshire Partnership University NHS Foundation Trust","RWR","Other","White & Other","Midlands & East","Grouped region","Mental health trust","16.975309","%","55","324",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Devon Partnership NHS Trust","RWV","White","White & Other","South","Grouped region","Mental health trust","6.111484","%","91","1489",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Devon Partnership NHS Trust","RWV","Other","White & Other","South","Grouped region","Mental health trust","14.492754","%","10","69",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Warrington and Halton Hospitals NHS Foundation Trust","RWW","White","White & Other","North","Grouped region","Acute trust","4.909882","%","79","1609",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Other","White & Other","North","Grouped region","Acute trust","6.557377","%","8","122",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Berkshire Healthcare NHS Foundation Trust","RWX","White","White & Other","South","Grouped region","Mental health trust","6.521739","%","87","1334",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Berkshire Healthcare NHS Foundation Trust","RWX","Other","White & Other","South","Grouped region","Mental health trust","11.111111","%","36","324",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Calderdale and Huddersfield NHS Foundation Trust","RWY","White","White & Other","North","Grouped region","Acute trust","5.168211","%","106","2051",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Calderdale and Huddersfield NHS Foundation Trust","RWY","Other","White & Other","North","Grouped region","Acute trust","20.33195","%","49","241",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Nottingham University Hospitals NHS Trust","RX1","White","White & Other","Midlands & East","Grouped region","Acute trust","6.905615","%","289","4185",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Nottingham University Hospitals NHS Trust","RX1","Other","White & Other","Midlands & East","Grouped region","Acute trust","15.703704","%","106","675",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sussex Partnership NHS Foundation Trust","RX2","White","White & Other","South","Grouped region","Mental health trust","7.692308","%","145","1885",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sussex Partnership NHS Foundation Trust","RX2","Other","White & Other","South","Grouped region","Mental health trust","13.953488","%","30","215",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","White","White & Other","North","Grouped region","Mental health trust","6.208499","%","187","3012",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Other","White & Other","North","Grouped region","Mental health trust","18.032787","%","22","122",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","White","White & Other","North","Grouped region","Mental health trust","4.67033","%","170","3640",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Other","White & Other","North","Grouped region","Mental health trust","8.391608","%","12","143",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North East Ambulance Service NHS Foundation Trust","RX6","White","White & Other","North","Grouped region","Ambulance trust","8.591885","%","108","1257",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North East Ambulance Service NHS Foundation Trust","RX6","Other","White & Other","North","Grouped region","Ambulance trust","19.047619","%","4","21",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North West Ambulance Service NHS Trust","RX7","White","White & Other","North","Grouped region","Ambulance trust","13.357239","%","298","2231",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North West Ambulance Service NHS Trust","RX7","Other","White & Other","North","Grouped region","Ambulance trust","23.170732","%","19","82",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Yorkshire Ambulance Service NHS Trust","RX8","White","White & Other","North","Grouped region","Ambulance trust","10.335387","%","151","1461",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Yorkshire Ambulance Service NHS Trust","RX8","Other","White & Other","North","Grouped region","Ambulance trust","17.567568","%","13","74",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Midlands Ambulance Service NHS Trust","RX9","White","White & Other","Midlands & East","Grouped region","Ambulance trust","10.344828","%","117","1131",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Midlands Ambulance Service NHS Trust","RX9","Other","White & Other","Midlands & East","Grouped region","Ambulance trust","6.451613","%","2","31",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","White","White & Other","North","Grouped region","Mental health trust","4.734112","%","73","1542",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Other","White & Other","North","Grouped region","Mental health trust","7.692308","%","5","65",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Sussex Healthcare NHS Trust","RXC","White","White & Other","South","Grouped region","Acute trust","7.114192","%","195","2741",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Sussex Healthcare NHS Trust","RXC","Other","White & Other","South","Grouped region","Acute trust","15.920398","%","64","402",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","White","White & Other","North","Grouped region","Mental health trust","5.564388","%","70","1258",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Other","White & Other","North","Grouped region","Mental health trust","5.882353","%","3","51",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mid Yorkshire Hospitals NHS Trust","RXF","White","White & Other","North","Grouped region","Acute trust","5.829109","%","161","2762",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mid Yorkshire Hospitals NHS Trust","RXF","Other","White & Other","North","Grouped region","Acute trust","17.737003","%","58","327",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South West Yorkshire Partnership NHS Foundation Trust","RXG","White","White & Other","North","Grouped region","Mental health trust","5.39892","%","90","1667",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South West Yorkshire Partnership NHS Foundation Trust","RXG","Other","White & Other","North","Grouped region","Mental health trust","13.013699","%","19","146",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Brighton And Sussex University Hospitals NHS Trust","RXH","White","White & Other","South","Grouped region","Acute trust","8.235294","%","280","3400",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Brighton And Sussex University Hospitals NHS Trust","RXH","Other","White & Other","South","Grouped region","Acute trust","17.637795","%","112","635",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sandwell And West Birmingham Hospitals NHS Trust","RXK","White","White & Other","Midlands & East","Grouped region","Acute trust","8.955224","%","12","134",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sandwell And West Birmingham Hospitals NHS Trust","RXK","Other","White & Other","Midlands & East","Grouped region","Acute trust","5.084746","%","3","59",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","White","White & Other","North","Grouped region","Acute trust","6.492891","%","137","2110",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Other","White & Other","North","Grouped region","Acute trust","13.888889","%","15","108",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Derbyshire Healthcare NHS Foundation Trust","RXM","White","White & Other","Midlands & East","Grouped region","Mental health trust","6.139315","%","52","847",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Derbyshire Healthcare NHS Foundation Trust","RXM","Other","White & Other","Midlands & East","Grouped region","Mental health trust","14.159292","%","16","113",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","White","White & Other","North","Grouped region","Acute trust","5.659787","%","181","3198",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Other","White & Other","North","Grouped region","Acute trust","10.022779","%","44","439",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","County Durham and Darlington NHS Foundation Trust","RXP","White","White & Other","North","Grouped region","Acute trust","6.520223","%","187","2868",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","County Durham and Darlington NHS Foundation Trust","RXP","Other","White & Other","North","Grouped region","Acute trust","14.285714","%","21","147",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Buckinghamshire Healthcare NHS Trust","RXQ","White","White & Other","South","Grouped region","Acute trust","5.428443","%","121","2229",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Buckinghamshire Healthcare NHS Trust","RXQ","Other","White & Other","South","Grouped region","Acute trust","11.133603","%","55","494",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Lancashire Hospitals NHS Trust","RXR","White","White & Other","North","Grouped region","Acute trust","5.146281","%","146","2837",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Lancashire Hospitals NHS Trust","RXR","Other","White & Other","North","Grouped region","Acute trust","15.803815","%","58","367",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","White","White & Other","Midlands & East","Grouped region","Mental health trust","10.348162","%","107","1034",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Other","White & Other","Midlands & East","Grouped region","Mental health trust","21.894737","%","104","475",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Greater Manchester Mental Health NHS Foundation Trust","RXV","White","White & Other","North","Grouped region","Mental health trust","6.934594","%","88","1269",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Greater Manchester Mental Health NHS Foundation Trust","RXV","Other","White & Other","North","Grouped region","Mental health trust","12.727273","%","21","165",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Shrewsbury And Telford Hospital NHS Trust","RXW","White","White & Other","Midlands & East","Grouped region","Acute trust","5.643233","%","118","2091",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Shrewsbury And Telford Hospital NHS Trust","RXW","Other","White & Other","Midlands & East","Grouped region","Acute trust","8.55615","%","16","187",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Surrey and Borders Partnership NHS Foundation Trust","RXX","White","White & Other","South","Grouped region","Mental health trust","5.844156","%","63","1078",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Surrey and Borders Partnership NHS Foundation Trust","RXX","Other","White & Other","South","Grouped region","Mental health trust","9.935897","%","31","312",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Kent And Medway NHS And Social Care Partnership Trust","RXY","White","White & Other","South","Grouped region","Mental health trust","5.691643","%","79","1388",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Kent And Medway NHS And Social Care Partnership Trust","RXY","Other","White & Other","South","Grouped region","Mental health trust","10.869565","%","30","276",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Liverpool Community Health NHS Trust","RY1","White","White & Other","North","Grouped region","Community provider trust","6.934813","%","50","721",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Liverpool Community Health NHS Trust","RY1","Other","White & Other","North","Grouped region","Community provider trust","17.948718","%","7","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bridgewater Community Healthcare NHS Foundation Trust","RY2","White","White & Other","North","Grouped region","Community provider trust","8.054841","%","94","1167",""
