"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.4","%","13,573,302","1,548,834","11.70%","11.20%","62,781"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","14.0","%","5,780,278","806,715","14.40%","13.60%","28,051"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","17.9","%","75,295","13,482","25.00%","10.80%","282"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","21.4","%","259,564","55,590","25.40%","17.40%","1,017"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","15.7","%","136,813","21,490","20.80%","10.70%","498"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","28.8","%","63,852","18,398","37.70%","19.90%","251"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","20.3","%","535,524","108,959","23.10%","17.60%","2,047"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","14.5","%","6,323,359","918,159","14.90%","14.10%","30,127"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","19.7","%","5,899,729","1,160,563","20.10%","19.20%","29,536"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","33.4","%","61,647","20,572","42.70%","24.00%","245"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","32.0","%","264,279","84,591","36.30%","27.70%","1,122"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","22.8","%","154,523","35,225","28.30%","17.30%","564"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","27.0","%","56,512","15,240","36.00%","17.90%","230"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","29.0","%","536,961","155,627","32.00%","26.00%","2,160"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","20.5","%","6,443,623","1,317,781","20.90%","20.00%","31,724"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","24.8","%","3,961,402","981,275","25.40%","24.20%","19,324"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","31.7","%","43,057","13,652","42.90%","20.50%","165"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","36.1","%","195,460","70,570","41.30%","30.90%","810"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","28.6","%","109,063","31,246","35.80%","21.50%","387"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","38.5","%","49,379","18,994","49.30%","27.70%","195"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","33.9","%","396,959","134,462","37.60%","30.20%","1,557"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","25.6","%","4,362,390","1,116,574","26.20%","25.00%","20,900"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","19.4","%","1831223","356167","20.30%","18.60%","9227"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","31.1","%","285776","88981","35.30%","27.00%","1195"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","24.6","%","99670","24553","31.60%","17.60%","365"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","29.7","%","142879","42409","35.60%","23.70%","568"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","29.0","%","548603","159132","32.00%","26.00%","2214"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","21.7","%","2382413","516052","22.40%","20.90%","11454"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","50.1","%","2,797,165","1,400,283","50.90%","49.30%","14,942"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","62.6","%","32,429","20,311","75.70%","49.60%","132"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","57.0","%","325,960","185,805","61.00%","53.00%","1,451"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","54.2","%","102,913","55,808","62.00%","46.50%","399"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","54.1","%","102,650","55,518","61.50%","46.70%","435"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","56.3","%","563,952","317,442","59.40%","53.20%","2,417"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","51.1","%","3,365,011","1,718,845","51.80%","50.30%","17,376"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","41.7","%","93588","39030","46.40%","37.00%","424"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","44.3","%","111408","49404","48.70%","40.00%","491"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","18.9","%","31,932,713","6,031,975","19.10%","18.70%","156,344"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","21.5","%","385,427","83,057","24.80%","18.30%","1,498"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","26.1","%","2,386,313","623,347","27.50%","24.80%","9,854"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","21.3","%","1,018,625","216,569","23.30%","19.20%","3,805"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","27.7","%","794,581","220,488","30.20%","25.30%","3,174"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","24.9","%","4,584,946","1,143,461","25.90%","23.90%","18,331"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","23.3","%","43847","10213","33.10%","13.50%","178"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2014","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","19.7","%","36,561,506","7,185,649","19.80%","19.50%","174,853"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.5","%","5,658,917","426,520","7.90%","7.20%","24,285"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","3.3","%","63,046","2,054","6.90%","-0.40%","231"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","4.6","%","566,849","25,986","6.00%","3.10%","2,029"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.9","%","209,504","12,268","8.60%","3.10%","722"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","9.2","%","195,663","18,090","12.70%","5.70%","657"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.6","%","1,035,062","58,398","6.80%","4.50%","3,639"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.3","%","6,703,097","486,169","7.60%","6.90%","27,954"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.6","%","3,146,888","332,368","11.10%","10.10%","14,370"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","9.5","%","29,364","2,797","18.40%","0.60%","105"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","8.1","%","118,168","9,629","12.20%","4.10%","444"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","13.8","%","65,277","8,987","21.30%","6.30%","204"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","12.4","%","30,405","3,785","22.30%","2.60%","109"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.4","%","243,214","25,198","13.60%","7.10%","861"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.6","%","3,394,441","358,718","11.10%","10.10%","15,245"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","13.9","%","2,813,454","390,691","14.50%","13.30%","13,053"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","16.4","%","30,978","5,073","27.50%","5.20%","106"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","18.4","%","119,088","21,945","24.00%","12.80%","464"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","20.9","%","62,589","13,093","29.40%","12.50%","224"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","18.6","%","237,142","44,104","22.60%","14.60%","889"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","14.3","%","3,052,475","435,078","14.80%","13.70%","13,949"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","14.9","%","1,842,041","275,217","15.70%","14.20%","8,171"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","14.4","%","103,193","14,886","20.00%","8.90%","385"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","18.9","%","47,263","8,916","28.40%","9.30%","160"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","18.0","%","192,079","34,576","22.50%","13.50%","700"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","15.2","%","2,035,654","310,418","16.00%","14.50%","8,876"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","12.5","%","1126392","140631","13.40%","11.60%","5209"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.7","%","170951","23435","17.90%","9.50%","652"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","14.0","%","55493","7785","21.50%","6.50%","205"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","21.1","%","67216","14155","29.10%","13.00%","246"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","15.5","%","306145","47354","18.80%","12.20%","1156"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.1","%","1434350","188227","14.00%","12.30%","6373"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","40.5","%","1,340,368","542,766","41.70%","39.30%","6,516"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","31.6","%","145,561","45,964","37.40%","25.80%","615"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","39.9","%","46,848","18,712","51.60%","28.30%","170"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","33.7","%","55,626","18,747","44.30%","23.10%","190"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","34.6","%","263,613","91,081","39.10%","30.00%","1,040"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","39.5","%","1,605,593","634,735","40.60%","38.40%","7,562"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","26.3","%","56023","14739","31.90%","20.70%","239"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2015","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
