"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Respondents"
"Percentage of people who are physically inactive","2015/16","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","12.00%","972","117","15.00%","9.60%","987"
"Percentage of people who are physically inactive","2015/16","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","21.70%","609","132","26.50%","17.50%","643"
"Percentage of people who are physically inactive","2015/16","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.50%","44829","10977","25.10%","23.90%","43975"
"Percentage of people who are physically inactive","2015/16","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.70%","37576","8887","24.30%","23.00%","39178"
"Percentage of people who are physically inactive","2015/16","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.80%","2612","647","27.80%","21.90%","1979"
"Percentage of people who are physically inactive","2015/16","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","32.60%","2553","831","36.20%","29.10%","1421"
"Percentage of people who are physically inactive","2015/16","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.00%","865","259","35.30%","25.20%","579"
"Percentage of people who are physically inactive","2015/16","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","39.50%","265","105","49.10%","30.80%","188"
"Percentage of people who are physically inactive","2015/16","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.00%","514","118","29.60%","17.40%","350"
"Percentage of people who are physically inactive","2015/16","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","29.20%","445","130","37.10%","22.40%","280"
"Percentage of people who are physically inactive","2015/16","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.70%","27230","8640","32.70%","30.80%","18318"
"Percentage of people who are physically inactive","2015/16","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.00%","21907","6788","32.00%","30.00%","15748"
"Percentage of people who are physically inactive","2015/16","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","33.90%","1911","648","37.80%","30.20%","1082"
"Percentage of people who are physically inactive","2015/16","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","39.00%","1945","758","43.80%","34.30%","776"
"Percentage of people who are physically inactive","2015/16","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.40%","654","199","37.10%","24.40%","301"
"Percentage of people who are physically inactive","2015/16","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","46.90%","142","67","61.70%","32.70%","77"
"Percentage of people who are physically inactive","2015/16","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.20%","322","71","30.30%","15.70%","178"
"Percentage of people who are physically inactive","2015/16","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.40%","348","109","41.40%","22.90%","156"
"Percentage of people who are physically inactive","2015/16","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","36.30%","7165","2600","38.40%","34.20%","3830"
"Percentage of people who are physically inactive","2015/16","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","35.00%","4542","1590","37.40%","32.60%","2753"
"Percentage of people who are physically inactive","2015/16","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","38.00%","314","119","50.10%","27.20%","160"
"Percentage of people who are physically inactive","2015/16","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","40.40%","1414","572","46.00%","35.10%","546"
"Percentage of people who are physically inactive","2015/16","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","34.60%","420","145","46.90%","24.00%","162"
"Percentage of people who are physically inactive","2015/16","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","24"
"Percentage of people who are physically inactive","2015/16","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","75"
"Percentage of people who are physically inactive","2015/16","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","41.70%","252","105","54.50%","29.80%","110"
"Percentage of people who are physically inactive","2015/16","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","18.40%","25734","4729","19.30%","17.50%","13663"
"Percentage of people who are physically inactive","2015/16","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.50%","17897","2956","17.40%","15.60%","10510"
"Percentage of people who are physically inactive","2015/16","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","15.30%","1282","197","18.70%","12.50%","737"
"Percentage of people who are physically inactive","2015/16","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.70%","3404","808","27.20%","20.60%","1186"
"Percentage of people who are physically inactive","2015/16","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.40%","1232","325","31.90%","21.50%","476"
"Percentage of people who are physically inactive","2015/16","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.30%","412","117","39.20%","19.60%","172"
"Percentage of people who are physically inactive","2015/16","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","18.20%","934","170","24.40%","13.30%","337"
"Percentage of people who are physically inactive","2015/16","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.20%","574","156","76.60%","43.70%","245"
