"Measure","Date","Date type","Ethnicity","Ethnicity_type","Region","Region_type","Rate","Rate_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","East","Government Region","0.9","Percentage of Numerator / Denominator","29852","Average number of JSA claimants a month matching date, geographic and ethnicity status","3376171","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","East Midlands","Government Region","1.1","Percentage of Numerator / Denominator","28184","Average number of JSA claimants a month matching date, geographic and ethnicity status","2597264","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","London","Government Region","1","Percentage of Numerator / Denominator","34380","Average number of JSA claimants a month matching date, geographic and ethnicity status","3478378","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","North East","Government Region","2.3","Percentage of Numerator / Denominator","36276","Average number of JSA claimants a month matching date, geographic and ethnicity status","1572303","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","North West","Government Region","1.1","Percentage of Numerator / Denominator","42730","Average number of JSA claimants a month matching date, geographic and ethnicity status","4040583","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","South East","Government Region","0.8","Percentage of Numerator / Denominator","40280","Average number of JSA claimants a month matching date, geographic and ethnicity status","5000221","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","South West","Government Region","0.8","Percentage of Numerator / Denominator","26006","Average number of JSA claimants a month matching date, geographic and ethnicity status","3177220","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","Wales","Government Region","1.6","Percentage of Numerator / Denominator","29519","Average number of JSA claimants a month matching date, geographic and ethnicity status","1822684","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","West Midlands","Government Region","1.3","Percentage of Numerator / Denominator","38987","Average number of JSA claimants a month matching date, geographic and ethnicity status","2921496","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","1.6","Percentage of Numerator / Denominator","47727","Average number of JSA claimants a month matching date, geographic and ethnicity status","2985469","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","All","England and Wales","1","Percentage of Numerator / Denominator","296288","Average number of JSA claimants a month matching date, geographic and ethnicity status","30971117","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","East","Government Region","0.7","Percentage of Numerator / Denominator","25160","Average number of JSA claimants a month matching date, geographic and ethnicity status","3377614","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","East Midlands","Government Region","0.9","Percentage of Numerator / Denominator","23695","Average number of JSA claimants a month matching date, geographic and ethnicity status","2609269","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","London","Government Region","0.8","Percentage of Numerator / Denominator","28038","Average number of JSA claimants a month matching date, geographic and ethnicity status","3462790","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","North East","Government Region","1.9","Percentage of Numerator / Denominator","29569","Average number of JSA claimants a month matching date, geographic and ethnicity status","1568260","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","North West","Government Region","0.9","Percentage of Numerator / Denominator","36962","Average number of JSA claimants a month matching date, geographic and ethnicity status","4035889","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","South East","Government Region","0.7","Percentage of Numerator / Denominator","35523","Average number of JSA claimants a month matching date, geographic and ethnicity status","5001828","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","South West","Government Region","0.7","Percentage of Numerator / Denominator","20810","Average number of JSA claimants a month matching date, geographic and ethnicity status","3186073","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","Wales","Government Region","1.2","Percentage of Numerator / Denominator","22723","Average number of JSA claimants a month matching date, geographic and ethnicity status","1822276","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","West Midlands","Government Region","1.2","Percentage of Numerator / Denominator","35290","Average number of JSA claimants a month matching date, geographic and ethnicity status","2927799","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","1.3","Percentage of Numerator / Denominator","38518","Average number of JSA claimants a month matching date, geographic and ethnicity status","2979317","Number of people in the population aged 16-24 matching geographic and ethnicity status"
