"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1263","124746","112274","18359","16491","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","198","19607","15543","2792","2194","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","160","15781","12585","3855","3040","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","48","4762","4391","529","412","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","518","51178","40496","2609","2121","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","36","3536","2866","729","614","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","177","17502","15006","31663","27208","5151","4717"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4630","214547","191914","48236","43767","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","628","29084","26609","9051","8286","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1572","72859","65037","9238","8216","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","958","44379","40832","5849","5476","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","231","10686","9305","1609","1409","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","254","11750","10036","2524","2200","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","37","1728","1498","375","349","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","565","26200","22262","1667","1444","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","43","1975","1746","468","421","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","182","8431","7672","16844","15420","2416","2316"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","5077","134108","119199","26727","24028","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","33","882","715","385","320","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","243","6426","5423","1971","1681","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1382","36493","30829","4489","3884","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1924","50833","48162","6633","6336","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","120","3181","2552","601","451","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","210","5536","5000","1438","1282","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","631","16676","14328","710","600","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","79","2099","1776","457","375","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","232","6120","5461","9743","8831","1377","1290"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4617","91662","79926","19871","16903","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","46","908","700","427","327","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","340","6753","5325","2039","1675","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1569","31142","27866","4045","3599","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1151","22847","22019","2724","2621","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","352","6988","5475","1034","792","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","175","3473","2731","932","742","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","498","9893","8327","541","452","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","235","4669","3845","7742","6367","1035","944"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","7125","10025986","9586368","1523365","1448080","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","49","68962","62831","24789","22571","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","48","67739","58944","22736","19897","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3679","5177682","4921967","604199","571641","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","2039","2869640","2821246","320481","310753","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","67","93759","78367","16454","13664","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","39","55186","48391","5330","4607","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","50","70771","70154","942","908","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","212","298480","280560","65861","61398","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","130","182558","182519","11663","11660","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","61","85206","80996","4470","4096","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","504","709753","650487","25335","22557","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","55","76911","72275","16457","15106","73370","73459"
"Average distance in miles per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","191","269340","257630","404648","389222","73370","73459"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","6725","10720976","10215023","1700500","1602867","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","48","76533","69328","27449","24749","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","83","131825","113116","41747","36238","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3368","5369578","5113771","641122","606540","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1913","3049727","2988115","351235","339106","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","84","134303","109826","22520","18333","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","36","57650","50699","5505","4789","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","55","88399","83296","1024","977","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","210","334484","313042","73493","68127","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","118","188164","187834","12477","12320","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","48","76090","71991","5410","4857","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","519","827669","750590","31508","27717","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","53","84777","79243","18140","16585","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","189","301777","284173","468869","442529","83120","82612"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4580","478750","410344","99394","85665","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","13","1337","1041","726","559","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","233","24339","20082","6993","5958","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1811","189324","163331","26917","23245","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1253","130957","119023","19385","17491","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","194","20228","16099","2910","2276","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","165","17285","13721","3883","3075","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","44","4585","4487","500","403","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","33","3412","2753","453","331","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","535","55873","43717","2896","2314","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","36","3751","2928","741","589","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","174","18182","15622","33844","29314","5450","4980"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4489","213078","194278","49970","45657","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","638","30298","27655","9302","8487","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1503","71326","65151","9132","8326","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","985","46755","43590","6205","5897","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","223","10568","8910","1625","1384","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","245","11626","10347","2509","2252","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","32","1531","1371","384","358","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","506","24016","21575","1749","1541","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","45","2115","1887","480","428","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","184","8737","8001","18072","16526","2475","2396"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","4940","129669","115470","26283","23645","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","43","1137","927","476","395","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","218","5723","4807","1733","1453","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1303","34212","29231","4547","4000","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1832","48095","45496","6535","6290","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","132","3462","2726","656","492","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","213","5595","5015","1476","1312","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","625","16414","14219","681","582","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","70","1830","1571","441","369","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","231","6059","5387","9413","8463","1369","1285"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4420","94101","82283","19844","16907","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","47","997","763","428","325","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","311","6616","5022","1967","1572","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1503","32005","28951","4217","3767","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1149","24454","23288","2951","2817","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","321","6837","5285","979","739","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","177","3776","3004","1030","834","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","452","9626","8308","484","396","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","219","4661","3837","7383","6114","1110","1014"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","7029","9794847","9403474","1503649","1429813","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","52","72234","65962","25426","23162","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","46","64504","55251","21652","18673","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3615","5038178","4823127","595976","566916","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","2007","2796365","2754027","315969","306441","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","67","92969","76594","16286","13381","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","40","56100","49565","5370","4689","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","50","70162","68540","852","830","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","212","296125","280878","64575","60633","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","127","177371","177695","11546","11526","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","51","70410","67200","4410","4019","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","517","720406","661477","25657","22843","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","55","76191","72100","16241","15004","72660","72885"
"Average distance in miles per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","189","263831","251057","399690","381696","72660","72885"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","6666","10602114","10120133","1676493","1582947","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","49","78070","70503","26664","23885","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","83","132367","114567","42018","36766","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3318","5277321","5046265","630098","598680","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1896","3014773","2956499","345070","334232","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","84","132821","109271","21984","17979","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","35","55104","48499","5193","4519","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","55","87059","82342","977","926","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","207","328929","307191","72133","66719","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","120","191467","189049","11958","11842","82923","82444"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","47","74104","71400","5762","5140","82923","82444"
