"Title","Confidence in the local police"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-02-23"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography2","Geography_type","Gender","Gender_type","Socio-economic classification","Age Bracket","Age Bracket Type","Value","Denominator"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69.4","999"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","55.1","151"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","66.4","170"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","W15000004","Dyfed-Powys","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","24"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","W15000001","North Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","29"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000009","North Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","31"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000002","Cumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","32"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000008","Durham","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","32"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000006","Cheshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","39"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000020","Lincolnshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","39"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000012","Humberside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","46"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000024","Norfolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","46"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000035","Devon and Cornwall","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","47"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","W15000002","Gwent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","47"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000016","West Mercia","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.7","54"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000039","Dorset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.6","54"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000013","Cleveland","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","58.8","59"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000038","Wiltshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.8","67"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000025","Suffolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.9","69"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000015","Staffordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.3","73"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000004","Merseyside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.2","80"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000037","Gloucestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71","81"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000018","Derbyshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","85.6","89"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","W15000003","South Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.3","94"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000017","Warwickshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","88.1","94"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000007","Northumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","87.7","101"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000033","Sussex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.1","111"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000011","South Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.3","114"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000036","Avon and Somerset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82","128"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000030","Hampshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.8","129"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000023","Cambridgeshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.8","133"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000028","Essex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.8","136"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000032","Kent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.7","137"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000031","Surrey","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.6","140"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000022","Northamptonshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.2","144"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000019","Nottinghamshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.8","148"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000003","Lancashire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","84.4","165"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000001","North East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.6","192"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","W92000004","Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.7","194"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000027","Hertfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.4","197"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000026","Bedfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.2","303"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000021","Leicestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.4","306"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000009","South West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.4","377"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000010","West Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69.9","397"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000029","Thames Valley","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.3","417"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000005","Greater Manchester","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.5","467"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000003","Yorkshire and the Humber","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.4","588"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000004","East Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.9","726"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000002","North West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.4","783"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000006","East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.9","884"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E23000014","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.4","891"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000008","South East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.8","934"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000005","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.5","1112"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","E12000007","London","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.4","3836"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Non-white","White & other","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.9","9626"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.1","145"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","84","93"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","68","72"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","42"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.5","88"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000006","Cheshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","1"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","W15000002","Gwent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","1"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000020","Lincolnshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","1"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","1"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","1"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000017","Warwickshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","2"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000038","Wiltshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","2"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","W15000004","Dyfed-Powys","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","3"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","W15000001","North Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","3"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000009","North Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","3"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000025","Suffolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","3"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000016","West Mercia","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","3"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000037","Gloucestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","4"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000013","Cleveland","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000018","Derbyshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","6"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000008","Durham","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","6"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000032","Kent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","6"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000003","Lancashire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","6"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000015","Staffordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","6"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000026","Bedfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000039","Dorset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000012","Humberside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000024","Norfolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000022","Northamptonshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000002","Cumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000004","Merseyside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000033","Sussex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000019","Nottinghamshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","9"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000023","Cambridgeshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","10"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000035","Devon and Cornwall","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","10"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000021","Leicestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","10"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000036","Avon and Somerset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","11"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000027","Hertfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","11"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000028","Essex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","12"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000007","Northumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000030","Hampshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","15"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000031","Surrey","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","15"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000011","South Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","W15000003","South Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","19"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000029","Thames Valley","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","19"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000001","North East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","25"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","W92000004","Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","26"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000010","West Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","26"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","75+","ONS age brackets","?","28"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000004","East Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","33"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000009","South West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","34"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000005","Greater Manchester","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","42"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E23000014","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","43"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","?","43"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","?","43"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000006","East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","50"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000005","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.5","54"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000003","Yorkshire and the Humber","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","84","54"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","55-64","ONS age brackets","72.4","63"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000008","South East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.8","63"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000002","North West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.1","65"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","16-24","ONS age brackets","73.1","89"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Never worked and long-term unemployed","All","ONS age brackets","81.6","104"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Full-time students","All","ONS age brackets","77","105"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","45-54","ONS age brackets","74.2","112"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Intermediate occupations","All","ONS age brackets","74.8","123"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","25-34","ONS age brackets","81.8","176"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Routine and manual occupations","All","ONS age brackets","80.7","177"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","35-44","ONS age brackets","80.5","193"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Managerial and professional occupations","All","ONS age brackets","77","194"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","E12000007","London","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.2","300"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","Female","Male/Female/All","All","All","ONS age brackets","78.1","336"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","Male","Male/Female/All","All","All","ONS age brackets","78.1","368"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.1","704"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","88","101"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69","163"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.8","18764"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.4","13987"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.8","10595"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.2","7382"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.3","16006"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","72.7","492"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000021","Leicestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.4","1682"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000031","Surrey","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.4","1688"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000022","Northamptonshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.3","1712"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000027","Hertfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.6","1731"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000023","Cambridgeshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.8","1737"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000019","Nottinghamshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.9","1739"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000026","Bedfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.8","1746"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000017","Warwickshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.2","1783"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","E23000002","Cumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.5","1801"
