"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Year","Region","Local Authority","Ethnicity","Value"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bristol, City of","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Cornwall","Black","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Devon","Black","50"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Dorset","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Gloucestershire","Black","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Isles of Scilly","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","North Somerset","Black","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Plymouth","Black","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Poole","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Somerset","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","South Gloucestershire","Black","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Swindon","Black","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Torbay","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Wiltshire","Black","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","County Durham","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Darlington","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Gateshead","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Hartlepool","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Middlesbrough","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Newcastle upon Tyne","Chinese","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","North Tyneside","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Northumberland","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Redcar and Cleveland","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","South Tyneside","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Stockton-on-Tees","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Sunderland","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackburn with Darwen","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackpool","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bolton","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bury","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire East","Chinese","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire West and Chester","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cumbria","Chinese","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Halton","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Knowsley","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Lancashire","Chinese","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Liverpool","Chinese","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Manchester","Chinese","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Oldham","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Rochdale","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Salford","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Sefton","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","St. Helens","Chinese","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Stockport","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Tameside","Chinese","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Trafford","Chinese","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Warrington","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wigan","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wirral","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Barnsley","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Bradford","Chinese","50"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Calderdale","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Doncaster","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","East Riding of Yorkshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kingston upon Hull, City of","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kirklees","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Leeds","Chinese","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North East Lincolnshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Lincolnshire","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Yorkshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Rotherham","Chinese","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Sheffield","Chinese","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Wakefield","Chinese","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","York","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derby","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derbyshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicester","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicestershire","Chinese","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Lincolnshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Northamptonshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottingham","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottinghamshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Rutland","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Birmingham","Chinese","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Coventry","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Dudley","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Herefordshire, County of","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Sandwell","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Shropshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Solihull","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Staffordshire","Chinese","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Stoke-on-Trent","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Telford and Wrekin","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Walsall","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Warwickshire","Chinese","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Wolverhampton","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Worcestershire","Chinese","50"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Bedford","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Cambridgeshire","Chinese","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Central Bedfordshire","Chinese","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Essex","Chinese","91"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Hertfordshire","Chinese","92"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Luton","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Norfolk","Chinese","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Peterborough","Chinese","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Southend-on-Sea","Chinese","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Suffolk","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Thurrock","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Camden","Chinese","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","City of London","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hackney","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hammersmith and Fulham","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Haringey","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Islington","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kensington and Chelsea","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lambeth","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lewisham","Chinese","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Newham","Chinese","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Southwark","Chinese","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Tower Hamlets","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Wandsworth","Chinese","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Westminster","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barking and Dagenham","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barnet","Chinese","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bexley","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Brent","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bromley","Chinese","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Croydon","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Ealing","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Enfield","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Greenwich","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Harrow","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Havering","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hillingdon","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hounslow","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kingston upon Thames","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Merton","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Redbridge","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Richmond upon Thames","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Sutton","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Waltham Forest","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Bracknell Forest","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Brighton and Hove","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Buckinghamshire","Chinese","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","East Sussex","Chinese","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Hampshire","Chinese","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Isle of Wight","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Kent","Chinese","93"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Medway","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Milton Keynes","Chinese","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Oxfordshire","Chinese","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Portsmouth","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Reading","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Slough","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Southampton","Chinese","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Surrey","Chinese","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Berkshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Sussex","Chinese","58"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Windsor and Maidenhead","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Wokingham","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bath and North East Somerset","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bournemouth","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bristol, City of","Chinese","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Cornwall","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Devon","Chinese","56"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Dorset","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Gloucestershire","Chinese","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Isles of Scilly","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","North Somerset","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Plymouth","Chinese","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Poole","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Somerset","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","South Gloucestershire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Swindon","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Torbay","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Wiltshire","Chinese",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","County Durham","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Darlington","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Gateshead","All","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Hartlepool","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Middlesbrough","All","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Newcastle upon Tyne","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","North Tyneside","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Northumberland","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Redcar and Cleveland","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","South Tyneside","All","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Stockton-on-Tees","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Sunderland","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackburn with Darwen","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackpool","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bolton","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bury","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire East","All","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire West and Chester","All","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cumbria","All","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Halton","All","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Knowsley","All","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Lancashire","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Liverpool","All","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Manchester","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Oldham","All","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Rochdale","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Salford","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Sefton","All","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","St. Helens","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Stockport","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Tameside","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Trafford","All","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Warrington","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wigan","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wirral","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Barnsley","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Bradford","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Calderdale","All","59"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Doncaster","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","East Riding of Yorkshire","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kingston upon Hull, City of","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kirklees","All","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Leeds","All","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North East Lincolnshire","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Lincolnshire","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Yorkshire","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Rotherham","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Sheffield","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Wakefield","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","York","All","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derby","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derbyshire","All","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicester","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicestershire","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Lincolnshire","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Northamptonshire","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottingham","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottinghamshire","All","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Rutland","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Birmingham","All","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Coventry","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Dudley","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Herefordshire, County of","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Sandwell","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Shropshire","All","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Solihull","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Staffordshire","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Stoke-on-Trent","All","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Telford and Wrekin","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Walsall","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Warwickshire","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Wolverhampton","All","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Worcestershire","All","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Bedford","All","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Cambridgeshire","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Central Bedfordshire","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Essex","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Hertfordshire","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Luton","All","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Norfolk","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Peterborough","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Southend-on-Sea","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Suffolk","All","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Thurrock","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Camden","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","City of London","All",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hackney","All","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hammersmith and Fulham","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Haringey","All","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Islington","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kensington and Chelsea","All","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lambeth","All","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lewisham","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Newham","All","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Southwark","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Tower Hamlets","All","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Wandsworth","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Westminster","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barking and Dagenham","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barnet","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bexley","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Brent","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bromley","All","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Croydon","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Ealing","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Enfield","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Greenwich","All","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Harrow","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Havering","All","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hillingdon","All","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hounslow","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kingston upon Thames","All","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Merton","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Redbridge","All","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Richmond upon Thames","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Sutton","All","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Waltham Forest","All","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Bracknell Forest","All","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Brighton and Hove","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Buckinghamshire","All","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","East Sussex","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Hampshire","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Isle of Wight","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Kent","All","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Medway","All","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Milton Keynes","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Oxfordshire","All","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Portsmouth","All","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Reading","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Slough","All","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Southampton","All","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Surrey","All","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Berkshire","All","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Sussex","All","61"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Windsor and Maidenhead","All","75"
