"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Notes"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1460","1402","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","34","25542","25216","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10060","9968","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Other","2","1332","1294","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Private bus","4","3108","3101","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","776","788","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","Walk","44","33356","30667","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6411","6023","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","35","2273","2216","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","14","928","896","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011","Walk","45","2883","2591","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3692","3808","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","20","750","797","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","30","1102","1170","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","43","1595","1552","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2433","2317","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","28","676","673","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","19","474","437","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","46","1116","1044","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","999","998","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Local bus","32","320","344","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","Other ethnic group","ONS 2011","Walk","40","401","377","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","All Modes","100","62053","59238","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Bicycle","2","1286","1215","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Car / Van","35","21617","21297","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Local bus","12","7228","7111","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Other","2","1125","1071","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Private bus","5","2852","2844","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Surface Rail","1","615","625","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","White","ONS 2011","Walk","44","27330","25075","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","76738","74639","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1513","1488","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","34","26250","26289","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10055","10040","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Other","2","1328","1303","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Private bus","4","2837","2828","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","906","912","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","All ethnic groups","ONS 2011","Walk","44","33850","31779","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6932","6651","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","35","2439","2425","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","14","995","986","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011","Walk","44","3081","2826","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3461","3605","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","21","726","784","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","28","970","1044","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","44","1522","1490","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2602","2499","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","27","698","688","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","19","492","451","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","49","1267","1209","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1140","1184","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","28","317","330","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Local bus","27","311","353","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","Other ethnic group","ONS 2011","Walk","42","475","465","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","All Modes","100","62562","60652","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Bicycle","2","1313","1271","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Car / Van","35","22061","22048","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Local bus","12","7280","7200","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Other","2","1099","1053","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Private bus","4","2581","2569","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Surface Rail","1","748","750","               "
"Mode of travel to school (% using each mode)","2012-2016","5-year rolling average","White","ONS 2011","Walk","44","27479","25761","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","75156","74286","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1471","1435","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","34","25695","25852","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","9777","9842","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Other","2","1158","1200","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Private bus","4","2768","2755","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","953","960","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","All ethnic groups","ONS 2011","Walk","44","33333","32242","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","7099","7000","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","36","2525","2543","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","13","891","935","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011","Walk","45","3223","3067","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3502","3670","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","22","783","838","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","27","959","1035","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","44","1534","1539","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2609","2572","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","26","678","657","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","17","455","416","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","50","1307","1320","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1268","1350","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","29","367","388","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Local bus","26","327","369","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","Other ethnic group","ONS 2011","Walk","40","512","531","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","All Modes","100","60628","59636","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Bicycle","2","1269","1215","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Car / Van","35","21324","21402","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Local bus","12","7140","7081","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Other","1","901","923","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Private bus","4","2479","2463","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Surface Rail","1","784","795","               "
"Mode of travel to school (% using each mode)","2013-2017","5-year rolling average","White","ONS 2011","Walk","44","26731","25757","               "
