"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Personal pension income","United Kingdom","35","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Investment income","United Kingdom","45","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Earnings income","United Kingdom","132","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Other income ","United Kingdom","3","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Gross income","United Kingdom","515","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit income","United Kingdom","190","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","130","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","38","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","10","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Occupational pension income","United Kingdom","134","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Personal pension income","United Kingdom","32","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Investment income","United Kingdom","37","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Earnings income","United Kingdom","117","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Other income ","United Kingdom","4","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Mean","United Kingdom","413","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White All","ONS 5+2","Mean","United Kingdom","416","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White British","ONS 5+2","Mean","United Kingdom","416","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White Other","ONS 5+2","Mean","United Kingdom","391","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple","ONS 5+2","Mean","United Kingdom","..","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Black","ONS 5+2","Mean","United Kingdom","315","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Asian","ONS 5+2","Mean","United Kingdom","354","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Mean","United Kingdom","420","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Mean","United Kingdom","412","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Median","United Kingdom","326","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White All","ONS 5+2","Median","United Kingdom","329","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White British","ONS 5+2","Median","United Kingdom","330","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White Other","ONS 5+2","Median","United Kingdom","287","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple","ONS 5+2","Median","United Kingdom","..","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Black","ONS 5+2","Median","United Kingdom","260","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Asian","ONS 5+2","Median","United Kingdom","259","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Median","United Kingdom","282","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Median","United Kingdom","300","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Mean","United Kingdom","379","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White All","ONS 5+2","Mean","United Kingdom","382","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White British","ONS 5+2","Mean","United Kingdom","383","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White Other","ONS 5+2","Mean","United Kingdom","350","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple","ONS 5+2","Mean","United Kingdom","..","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Black","ONS 5+2","Mean","United Kingdom","264","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Asian","ONS 5+2","Mean","United Kingdom","312","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Mean","United Kingdom","378","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Mean","United Kingdom","366","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Median","United Kingdom","291","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White All","ONS 5+2","Median","United Kingdom","295","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White British","ONS 5+2","Median","United Kingdom","296","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","White Other","ONS 5+2","Median","United Kingdom","237","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple","ONS 5+2","Median","United Kingdom","..","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Black","ONS 5+2","Median","United Kingdom","213","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Asian","ONS 5+2","Median","United Kingdom","227","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Median","United Kingdom","240","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Median","United Kingdom","244","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","All","ONS 5+2","Count","United Kingdom","8,650,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","White All","ONS 5+2","Count","United Kingdom","8,300,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","White British","ONS 5+2","Count","United Kingdom","8,050,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","White Other","ONS 5+2","Count","United Kingdom","250,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple","ONS 5+2","Count","United Kingdom"," .. ","","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","Black","ONS 5+2","Count","United Kingdom","100,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","Asian","ONS 5+2","Count","United Kingdom","200,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","Other","ONS 5+2","Count","United Kingdom","50,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Total Population Figures","2010/11; 2011/12; 2012/13","3-Year average","Mixed/Multiple and Other","ONS 5+2","Count","United Kingdom","50,000","","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","All","ONS 5+2","Count","United Kingdom","23,443","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","White All","ONS 5+2","Count","United Kingdom","22,663","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","White British","ONS 5+2","Count","United Kingdom","22,114","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","White Other","ONS 5+2","Count","United Kingdom","549","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","Mixed/Multiple","ONS 5+2","Count","United Kingdom","41","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","Black","ONS 5+2","Count","United Kingdom","213","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","Asian","ONS 5+2","Count","United Kingdom","416","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","Other","ONS 5+2","Count","United Kingdom","110","","","",""
"Sample Sizes","2010/11; 2011/12; 2012/13","3-Year sum","Mixed/Multiple and Other","ONS 5+2","Count","United Kingdom","151","","","",""
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","United Kingdom","97","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","28","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","22","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Occupational pension income","United Kingdom","62","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Personal pension income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Investment income","United Kingdom","64","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","All","ONS 5+2","Other income","United Kingdom","46","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Benefit Income of which State Pension","United Kingdom","98","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","27","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","22","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Occupational pension income","United Kingdom","63","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Personal pension income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Investment income","United Kingdom","65","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White All","ONS 5+2","Other income","United Kingdom","46","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Benefit Income of which State Pension","United Kingdom","98","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","27","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","22","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Occupational pension income","United Kingdom","63","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Personal pension income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Investment income","United Kingdom","65","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White British","ONS 5+2","Other income","United Kingdom","46","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","84","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","37","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","19","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Occupational pension income","United Kingdom","42","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Personal pension income","United Kingdom","14","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Investment income","United Kingdom","56","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Earnings income","United Kingdom","20","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","White Other","ONS 5+2","Other income","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","All benefit income (including State Pension)","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which State Pension","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Occupational pension income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Personal pension income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Investment income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Earnings income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple","ONS 5+2","Other income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Benefit Income of which State Pension","United Kingdom","87","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","47","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","25","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Occupational pension income","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Personal pension income","United Kingdom","11","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Investment income","United Kingdom","27","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Earnings income","United Kingdom","16","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Black","ONS 5+2","Other income","United Kingdom","46","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Benefit Income of which State Pension","United Kingdom","85","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","41","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","26","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Occupational pension income","United Kingdom","34","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Personal pension income","United Kingdom","10","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Investment income","United Kingdom","42","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Earnings income","United Kingdom","21","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Asian","ONS 5+2","Other income","United Kingdom","41","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","All benefit income (including State Pension)","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Occupational pension income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Personal pension income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Investment income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Earnings income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Other","ONS 5+2","Other income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple and Other","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","91","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2011/12; 2012/13; 2013/14","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","35","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
