"Title","Employment by sector"
"Time period","2004 to 2016"
"Location","United Kingdom"
"Source","Annual Population Survey"
"Department","Department for Business, Energy & Industrial Strategy"
"Last update","n/a"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Industry,Value,Value, Denominator , Numerator ,Conf,Note
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,156,000 "," 271,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.6,," 622,200 "," 539,200 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",11.3,," 622,200 "," 70,100 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15.2,," 622,200 "," 94,900 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",38.8,," 622,200 "," 241,200 ",3,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 622,200 "," 33,900 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 638,600 ", 600 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.3,," 638,600 "," 8,500 ",0.7,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.3,," 638,600 "," 65,500 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.2,," 638,600 "," 26,500 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",22.1,," 638,600 "," 141,400 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),84.2,," 638,600 "," 537,400 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",16.3,," 638,600 "," 103,900 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.5,," 638,600 "," 105,200 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",26.6,," 638,600 "," 169,900 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.7,," 638,600 "," 17,000 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 194,500 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 194,500 "," 1,700 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.9,," 194,500 "," 13,500 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.2,," 194,500 "," 10,200 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",24,," 194,500 "," 46,700 ",4.5,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.9,," 194,500 "," 169,100 ",3.6,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",7.4,," 194,500 "," 14,400 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",19.6,," 194,500 "," 38,200 ",4.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",27.2,," 194,500 "," 53,000 ",4.7,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),8.6,," 194,500 "," 16,800 ",3,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 774,200 "," 1,300 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1,," 774,200 "," 7,900 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),8.5,," 774,200 "," 66,000 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.6,," 774,200 "," 28,200 ",1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",28.3,," 774,200 "," 219,300 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.7,," 774,200 "," 670,900 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",10.5,," 774,200 "," 81,600 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16,," 774,200 "," 123,600 ",2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",26.9,," 774,200 "," 208,200 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.9,," 774,200 "," 38,200 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 396,400 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.6,," 396,400 "," 2,500 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.6,," 396,400 "," 37,900 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.9,," 396,400 "," 11,600 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",32.2,," 396,400 "," 127,600 ",3.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.8,," 396,400 "," 344,000 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",18.7,," 396,400 "," 74,300 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",13.9,," 396,400 "," 55,100 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",19.8,," 396,400 "," 78,500 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.1,," 396,400 "," 8,400 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 26,618,000 "," 330,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.7,," 26,618,000 "," 462,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),11.8,," 26,618,000 "," 3,136,600 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),9.3,," 26,618,000 "," 2,472,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.3,," 26,618,000 "," 4,870,900 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),75.9,," 26,618,000 "," 20,215,800 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.1,," 26,618,000 "," 2,416,000 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.5,," 26,618,000 "," 3,851,600 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.6,," 26,618,000 "," 7,620,500 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 26,618,000 "," 1,456,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.1,," 28,786,600 "," 322,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.7,," 28,786,600 "," 478,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.9,," 28,786,600 "," 2,849,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.1,," 28,786,600 "," 2,322,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.7,," 28,786,600 "," 5,371,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),79.3,," 28,786,600 "," 22,813,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.6,," 28,786,600 "," 2,483,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.2,," 28,786,600 "," 4,651,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.2,," 28,786,600 "," 8,696,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.6,," 28,786,600 "," 1,610,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 614,600 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.1,," 614,600 "," 6,500 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5,," 614,600 "," 30,700 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.4,," 614,600 "," 27,100 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",16.2,," 614,600 "," 99,300 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),89.5,," 614,600 "," 549,800 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.9,," 614,600 "," 60,600 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15.6,," 614,600 "," 96,000 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",42.7,," 614,600 "," 262,500 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.1,," 614,600 "," 31,400 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 667,900 ", 900 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 667,900 "," 6,000 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.3,," 667,900 "," 61,800 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),4,," 667,900 "," 26,900 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",21.5,," 667,900 "," 143,900 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),85.7,," 667,900 "," 572,300 ",2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",14.9,," 667,900 "," 99,300 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.4,," 667,900 "," 116,500 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.7,," 667,900 "," 191,600 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.1,," 667,900 "," 20,900 ",1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 210,600 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.5,," 210,600 "," 1,100 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.2,," 210,600 "," 15,200 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.2,," 210,600 "," 10,900 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",20.6,," 210,600 "," 43,400 ",4.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.1,," 210,600 "," 183,400 ",3.5,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",7.5,," 210,600 "," 15,900 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",21.2,," 210,600 "," 44,600 ",4.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.9,," 210,600 "," 65,100 ",4.9,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),6.8,," 210,600 "," 14,400 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.3,," 743,500 "," 1,900 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.7,," 743,500 "," 5,200 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.5,," 743,500 "," 48,200 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.6,," 743,500 "," 19,400 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",27.2,," 743,500 "," 202,600 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),89.9,," 743,500 "," 668,700 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.4,," 743,500 "," 70,200 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.1,," 743,500 "," 126,800 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.7,," 743,500 "," 228,200 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 743,500 "," 41,000 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 418,100 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.4,," 418,100 "," 1,900 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.1,," 418,100 "," 25,500 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.7,," 418,100 "," 11,500 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",33.7,," 418,100 "," 141,000 ",3.5,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),90.6,," 418,100 "," 378,900 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",17.9,," 418,100 "," 74,800 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15.3,," 418,100 "," 63,800 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",20.9,," 418,100 "," 87,200 ",3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.9,," 418,100 "," 12,100 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 26,111,000 "," 318,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.8,," 26,111,000 "," 458,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.2,," 26,111,000 "," 2,665,800 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.5,," 26,111,000 "," 2,225,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.1,," 26,111,000 "," 4,737,600 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),78.3,," 26,111,000 "," 20,443,200 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.3,," 26,111,000 "," 2,160,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.1,," 26,111,000 "," 4,200,600 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.1,," 26,111,000 "," 7,854,900 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2009,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.7,," 26,111,000 "," 1,489,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 28,844,800 "," 354,400 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.6,," 28,844,800 "," 468,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.0,," 28,844,800 "," 2,882,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.6,," 28,844,800 "," 2,191,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.6,," 28,844,800 "," 5,360,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),79.6,," 28,844,800 "," 22,948,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.5,," 28,844,800 "," 2,451,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.0,," 28,844,800 "," 4,627,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.9,," 28,844,800 "," 8,900,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.6,," 28,844,800 "," 1,609,100 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 649,700 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 649,700 "," 5,700 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),3.7,," 649,700 "," 24,300 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.3,," 649,700 "," 21,200 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",16.1,," 649,700 "," 104,600 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),92,," 649,700 "," 597,800 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9,," 649,700 "," 58,500 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.9,," 649,700 "," 116,600 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",42.5,," 649,700 "," 276,200 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),6.4,," 649,700 "," 41,800 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 697,600 "," 1,200 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1,," 697,600 "," 7,100 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.3,," 697,600 "," 64,800 ",1.7,
