"Title","Fire and rescue services workforce"
"Location","England"
"Time period","2011 to 2017"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-13"
"Ethnicity","Area","Type","Value","Value_type","Headcount"
"Other inc Chinese","Buckinghamshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Cambridgeshire","Fire Control","0","%","0"
"Other inc Chinese","Cambridgeshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Cambridgeshire","Support Staff","0","%","0"
"Other inc Chinese","Cambridgeshire","Total Staff","0","%","0"
"Other inc Chinese","Cambridgeshire","Total firefighters","0","%","0"
"Other inc Chinese","Cambridgeshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Cheshire","Fire Control","N.A","%","0"
"Other inc Chinese","Cheshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Cheshire","Support Staff","0","%","0"
"Other inc Chinese","Cheshire","Total Staff","0.1","%","1"
"Other inc Chinese","Cheshire","Total firefighters","0.2","%","1"
"Other inc Chinese","Cheshire","Wholetime firefighters","0.3","%","1"
"Other inc Chinese","Cleveland","Fire Control","0","%","0"
"Other inc Chinese","Cleveland","Retained Duty System firefighters","0.9","%","1"
"Other inc Chinese","Cleveland","Support Staff","0.8","%","1"
"Other inc Chinese","Cleveland","Total Staff","0.3","%","2"
"Other inc Chinese","Cleveland","Total firefighters","0.2","%","1"
"Other inc Chinese","Cleveland","Wholetime firefighters","0","%","0"
"Other inc Chinese","Cornwall","Fire Control","0","%","0"
"Other inc Chinese","Cornwall","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Cornwall","Support Staff","0","%","0"
"Other inc Chinese","Cornwall","Total Staff","0.3","%","2"
"Other inc Chinese","Cornwall","Total firefighters","0.4","%","2"
"Other inc Chinese","Cornwall","Wholetime firefighters","1.2","%","2"
"Other inc Chinese","Cumbria","Fire Control","N.A","%","0"
"Other inc Chinese","Cumbria","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Cumbria","Support Staff","0","%","0"
"Other inc Chinese","Cumbria","Total Staff","0","%","0"
"Other inc Chinese","Cumbria","Total firefighters","0","%","0"
"Other inc Chinese","Cumbria","Wholetime firefighters","0","%","0"
"Other inc Chinese","Derbyshire","Fire Control","0","%","0"
"Other inc Chinese","Derbyshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Derbyshire","Support Staff","1.2","%","2"
"Other inc Chinese","Derbyshire","Total Staff","0.2","%","2"
"Other inc Chinese","Derbyshire","Total firefighters","0","%","0"
"Other inc Chinese","Derbyshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Devon and Somerset","Fire Control","0","%","0"
"Other inc Chinese","Devon and Somerset","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Devon and Somerset","Support Staff","0","%","0"
"Other inc Chinese","Devon and Somerset","Total Staff","0.1","%","1"
"Other inc Chinese","Devon and Somerset","Total firefighters","0.1","%","1"
"Other inc Chinese","Devon and Somerset","Wholetime firefighters","0.2","%","1"
"Other inc Chinese","Dorset and Wiltshire","Fire Control","0","%","0"
"Other inc Chinese","Dorset and Wiltshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Dorset and Wiltshire","Support Staff","0","%","0"
"Other inc Chinese","Dorset and Wiltshire","Total Staff","0.1","%","1"
"Other inc Chinese","Dorset and Wiltshire","Total firefighters","0.1","%","1"
"Other inc Chinese","Dorset and Wiltshire","Wholetime firefighters","0.3","%","1"
"Other inc Chinese","Durham","Fire Control","0","%","0"
"Other inc Chinese","Durham","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Durham","Support Staff","0","%","0"
"Other inc Chinese","Durham","Total Staff","0","%","0"
"Other inc Chinese","Durham","Total firefighters","0","%","0"
"Other inc Chinese","Durham","Wholetime firefighters","0","%","0"
"Other inc Chinese","East Sussex","Fire Control","0","%","0"
"Other inc Chinese","East Sussex","Retained Duty System firefighters","0.3","%","1"
"Other inc Chinese","East Sussex","Support Staff","0.7","%","1"
"Other inc Chinese","East Sussex","Total Staff","0.5","%","4"
"Other inc Chinese","East Sussex","Total firefighters","0.5","%","3"
"Other inc Chinese","East Sussex","Wholetime firefighters","0.6","%","2"
"Other inc Chinese","England","Fire Control","0","%","0"
"Other inc Chinese","England","Retained Duty System firefighters","0.1","%","13"
"Other inc Chinese","England","Support Staff","0.7","%","47"
"Other inc Chinese","England","Total Staff","0.5","%","185"
"Other inc Chinese","England","Total firefighters","0.4","%","138"
"Other inc Chinese","England","Wholetime firefighters","0.6","%","125"
"Other inc Chinese","Essex","Fire Control","0","%","0"
"Other inc Chinese","Essex","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Essex","Support Staff","0","%","0"
"Other inc Chinese","Essex","Total Staff","0","%","0"
"Other inc Chinese","Essex","Total firefighters","?","%","0"
"Other inc Chinese","Essex","Wholetime firefighters","0","%","0"
"Other inc Chinese","Gloucestershire","Fire Control","0","%","0"
"Other inc Chinese","Gloucestershire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Gloucestershire","Support Staff","0","%","0"
"Other inc Chinese","Gloucestershire","Total Staff","0.3","%","1"
"Other inc Chinese","Gloucestershire","Total firefighters","0.3","%","1"
"Other inc Chinese","Gloucestershire","Wholetime firefighters","0.7","%","1"
"Other inc Chinese","Greater London","Fire Control","0","%","0"
"Other inc Chinese","Greater London","Retained Duty System firefighters","N.A","%","0"
"Other inc Chinese","Greater London","Support Staff","2.7","%","21"
"Other inc Chinese","Greater London","Total Staff","1.9","%","104"
"Other inc Chinese","Greater London","Total firefighters","1.8","%","83"
"Other inc Chinese","Greater London","Wholetime firefighters","1.8","%","83"
"Other inc Chinese","Greater Manchester","Fire Control","N.A","%","0"
"Other inc Chinese","Greater Manchester","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Greater Manchester","Support Staff","0.3","%","1"
"Other inc Chinese","Greater Manchester","Total Staff","0.1","%","1"
"Other inc Chinese","Greater Manchester","Total firefighters","0","%","0"
"Other inc Chinese","Greater Manchester","Wholetime firefighters","0","%","0"
"Other inc Chinese","Hampshire","Fire Control","0","%","0"
"Other inc Chinese","Hampshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Hampshire","Support Staff","0.4","%","1"
"Other inc Chinese","Hampshire","Total Staff","0.1","%","1"
"Other inc Chinese","Hampshire","Total firefighters","0","%","0"
"Other inc Chinese","Hampshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Hereford and Worcester","Fire Control","0","%","0"
"Other inc Chinese","Hereford and Worcester","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Hereford and Worcester","Support Staff","0","%","0"
"Other inc Chinese","Hereford and Worcester","Total Staff","0","%","0"
"Other inc Chinese","Hereford and Worcester","Total firefighters","0","%","0"
"Other inc Chinese","Hereford and Worcester","Wholetime firefighters","0","%","0"
"Other inc Chinese","Hertfordshire","Fire Control","0","%","0"
"Other inc Chinese","Hertfordshire","Retained Duty System firefighters","0.6","%","1"
"Other inc Chinese","Hertfordshire","Support Staff","0","%","0"
"Other inc Chinese","Hertfordshire","Total Staff","0.5","%","4"
"Other inc Chinese","Hertfordshire","Total firefighters","0.6","%","4"
"Other inc Chinese","Hertfordshire","Wholetime firefighters","0.6","%","3"
"Other inc Chinese","Humberside","Fire Control","0","%","0"
"Other inc Chinese","Humberside","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Humberside","Support Staff","0","%","0"
"Other inc Chinese","Humberside","Total Staff","0","%","0"
"Other inc Chinese","Humberside","Total firefighters","0","%","0"
"Other inc Chinese","Humberside","Wholetime firefighters","0","%","0"
"Other inc Chinese","Isle Of Wight","Fire Control","N.A","%","0"
"Other inc Chinese","Isle Of Wight","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Isle Of Wight","Support Staff","0","%","0"
"Other inc Chinese","Isle Of Wight","Total Staff","0","%","0"
"Other inc Chinese","Isle Of Wight","Total firefighters","0","%","0"
"Other inc Chinese","Isle Of Wight","Wholetime firefighters","0","%","0"
"Other inc Chinese","Isles of Scilly","Fire Control","N.A","%","0"
"Other inc Chinese","Isles of Scilly","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Isles of Scilly","Support Staff","N.A","%","0"
"Other inc Chinese","Isles of Scilly","Total Staff","0","%","0"
"Other inc Chinese","Isles of Scilly","Total firefighters","0","%","0"
"Other inc Chinese","Isles of Scilly","Wholetime firefighters","N.A","%","0"
"Other inc Chinese","Kent","Fire Control","0","%","0"
"Other inc Chinese","Kent","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Kent","Support Staff","0","%","0"
"Other inc Chinese","Kent","Total Staff","0","%","0"
"Other inc Chinese","Kent","Total firefighters","?","%","0"
"Other inc Chinese","Kent","Wholetime firefighters","0","%","0"
"Other inc Chinese","Lancashire","Fire Control","0","%","0"
"Other inc Chinese","Lancashire","Retained Duty System firefighters","0.5","%","2"
"Other inc Chinese","Lancashire","Support Staff","0.5","%","1"
"Other inc Chinese","Lancashire","Total Staff","0.3","%","4"
"Other inc Chinese","Lancashire","Total firefighters","0.3","%","3"
"Other inc Chinese","Lancashire","Wholetime firefighters","0.2","%","1"
"Other inc Chinese","Leicestershire","Fire Control","0","%","0"
"Other inc Chinese","Leicestershire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Leicestershire","Support Staff","1.7","%","2"
"Other inc Chinese","Leicestershire","Total Staff","0.3","%","2"
"Other inc Chinese","Leicestershire","Total firefighters","0","%","0"
"Other inc Chinese","Leicestershire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Lincolnshire","Fire Control","0","%","0"
"Other inc Chinese","Lincolnshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Lincolnshire","Support Staff","0","%","0"
"Other inc Chinese","Lincolnshire","Total Staff","0","%","0"
"Other inc Chinese","Lincolnshire","Total firefighters","0","%","0"
"Other inc Chinese","Lincolnshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Merseyside","Fire Control","0","%","0"
"Other inc Chinese","Merseyside","Retained Duty System firefighters","0.9","%","3"
"Other inc Chinese","Merseyside","Support Staff","0","%","0"
"Other inc Chinese","Merseyside","Total Staff","0.6","%","8"
"Other inc Chinese","Merseyside","Total firefighters","0.8","%","8"
"Other inc Chinese","Merseyside","Wholetime firefighters","0.8","%","5"
"Other inc Chinese","Metropolitan fire and rescue authorities","Fire Control","0","%","0"
"Other inc Chinese","Metropolitan fire and rescue authorities","Retained Duty System firefighters","0.5","%","3"
"Other inc Chinese","Metropolitan fire and rescue authorities","Support Staff","1.2","%","30"
"Other inc Chinese","Metropolitan fire and rescue authorities","Total Staff","1","%","135"
"Other inc Chinese","Metropolitan fire and rescue authorities","Total firefighters","1","%","105"
"Other inc Chinese","Metropolitan fire and rescue authorities","Wholetime firefighters","1","%","102"
"Other inc Chinese","Non Metropolitan fire and rescue authorities","Fire Control","0","%","0"
"Other inc Chinese","Non Metropolitan fire and rescue authorities","Retained Duty System firefighters","0.1","%","10"
"Other inc Chinese","Non Metropolitan fire and rescue authorities","Support Staff","0.4","%","17"
"Other inc Chinese","Non Metropolitan fire and rescue authorities","Total Staff","0.2","%","50"
"Other inc Chinese","Non Metropolitan fire and rescue authorities","Total firefighters","0.2","%","33"
"Other inc Chinese","Non Metropolitan fire and rescue authorities","Wholetime firefighters","0.2","%","23"
"Other inc Chinese","Norfolk","Fire Control","0","%","0"
"Other inc Chinese","Norfolk","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Norfolk","Support Staff","0","%","0"
"Other inc Chinese","Norfolk","Total Staff","0","%","0"
"Other inc Chinese","Norfolk","Total firefighters","0","%","0"
"Other inc Chinese","Norfolk","Wholetime firefighters","0","%","0"
"Other inc Chinese","North West Fire Control","Fire Control","0","%","0"
"Other inc Chinese","North West Fire Control","Retained Duty System firefighters","N.A","%","0"
"Other inc Chinese","North West Fire Control","Support Staff","0","%","0"
"Other inc Chinese","North West Fire Control","Total Staff","0","%","0"
"Other inc Chinese","North West Fire Control","Total firefighters","N.A","%","0"
"Other inc Chinese","North West Fire Control","Wholetime firefighters","N.A","%","0"
"Other inc Chinese","North Yorkshire","Fire Control","0","%","0"
"Other inc Chinese","North Yorkshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","North Yorkshire","Support Staff","0","%","0"
"Other inc Chinese","North Yorkshire","Total Staff","0","%","0"
"Other inc Chinese","North Yorkshire","Total firefighters","0","%","0"
"Other inc Chinese","North Yorkshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Northamptonshire","Fire Control","0","%","0"
"Other inc Chinese","Northamptonshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Northamptonshire","Support Staff","0","%","0"
"Other inc Chinese","Northamptonshire","Total Staff","0.2","%","1"
"Other inc Chinese","Northamptonshire","Total firefighters","0.3","%","1"
"Other inc Chinese","Northamptonshire","Wholetime firefighters","0.5","%","1"
"Other inc Chinese","Northumberland","Fire Control","0","%","0"
"Other inc Chinese","Northumberland","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Northumberland","Support Staff","0","%","0"
"Other inc Chinese","Northumberland","Total Staff","0","%","0"
"Other inc Chinese","Northumberland","Total firefighters","0","%","0"
"Other inc Chinese","Northumberland","Wholetime firefighters","0","%","0"
"Other inc Chinese","Nottinghamshire","Fire Control","0","%","0"
"Other inc Chinese","Nottinghamshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Nottinghamshire","Support Staff","0.7","%","1"
"Other inc Chinese","Nottinghamshire","Total Staff","0.2","%","2"
"Other inc Chinese","Nottinghamshire","Total firefighters","0.2","%","1"
"Other inc Chinese","Nottinghamshire","Wholetime firefighters","0.2","%","1"
"Other inc Chinese","Oxfordshire","Fire Control","N.A","%","0"
"Other inc Chinese","Oxfordshire","Retained Duty System firefighters","0.7","%","2"
"Other inc Chinese","Oxfordshire","Support Staff","4.1","%","3"
"Other inc Chinese","Oxfordshire","Total Staff","0.8","%","5"
"Other inc Chinese","Oxfordshire","Total firefighters","0.4","%","2"
"Other inc Chinese","Oxfordshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Shropshire","Fire Control","0","%","0"
"Other inc Chinese","Shropshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Shropshire","Support Staff","0","%","0"
"Other inc Chinese","Shropshire","Total Staff","0.5","%","2"
"Other inc Chinese","Shropshire","Total firefighters","0.5","%","2"
"Other inc Chinese","Shropshire","Wholetime firefighters","1.4","%","2"
"Other inc Chinese","South Yorkshire","Fire Control","0","%","0"
"Other inc Chinese","South Yorkshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","South Yorkshire","Support Staff","2.5","%","5"
"Other inc Chinese","South Yorkshire","Total Staff","0.9","%","8"
"Other inc Chinese","South Yorkshire","Total firefighters","0.5","%","3"
"Other inc Chinese","South Yorkshire","Wholetime firefighters","0.5","%","3"
"Other inc Chinese","Staffordshire","Fire Control","N.A","%","0"
"Other inc Chinese","Staffordshire","Retained Duty System firefighters","N.A","%","0"
"Other inc Chinese","Staffordshire","Support Staff","N.A","%","0"
"Other inc Chinese","Staffordshire","Total Staff","5.9","%","1"
"Other inc Chinese","Staffordshire","Total firefighters","?","%","1"
"Other inc Chinese","Staffordshire","Wholetime firefighters","5.9","%","1"
"Other inc Chinese","Suffolk","Fire Control","N.A","%","0"
"Other inc Chinese","Suffolk","Retained Duty System firefighters","0.6","%","2"
"Other inc Chinese","Suffolk","Support Staff","0","%","0"
"Other inc Chinese","Suffolk","Total Staff","0.7","%","4"
"Other inc Chinese","Suffolk","Total firefighters","0.8","%","4"
"Other inc Chinese","Suffolk","Wholetime firefighters","1","%","2"
"Other inc Chinese","Surrey","Fire Control","0","%","0"
"Other inc Chinese","Surrey","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Surrey","Support Staff","0","%","0"
"Other inc Chinese","Surrey","Total Staff","0","%","0"
"Other inc Chinese","Surrey","Total firefighters","0","%","0"
"Other inc Chinese","Surrey","Wholetime firefighters","0","%","0"
"Other inc Chinese","Tyne and Wear","Fire Control","0","%","0"
"Other inc Chinese","Tyne and Wear","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Tyne and Wear","Support Staff","0","%","0"
"Other inc Chinese","Tyne and Wear","Total Staff","0","%","0"
"Other inc Chinese","Tyne and Wear","Total firefighters","0","%","0"
"Other inc Chinese","Tyne and Wear","Wholetime firefighters","0","%","0"
"Other inc Chinese","Warwickshire","Fire Control","0","%","0"
"Other inc Chinese","Warwickshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Warwickshire","Support Staff","0","%","0"
"Other inc Chinese","Warwickshire","Total Staff","0.3","%","1"
"Other inc Chinese","Warwickshire","Total firefighters","0.3","%","1"
"Other inc Chinese","Warwickshire","Wholetime firefighters","0.5","%","1"
"Other inc Chinese","West Midlands","Fire Control","0","%","0"
"Other inc Chinese","West Midlands","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","West Midlands","Support Staff","0.5","%","2"
"Other inc Chinese","West Midlands","Total Staff","0.6","%","11"
"Other inc Chinese","West Midlands","Total firefighters","0.7","%","9"
"Other inc Chinese","West Midlands","Wholetime firefighters","0.7","%","9"
"Other inc Chinese","West Sussex","Fire Control","N.A","%","0"
"Other inc Chinese","West Sussex","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","West Sussex","Support Staff","0","%","0"
"Other inc Chinese","West Sussex","Total Staff","0.2","%","1"
"Other inc Chinese","West Sussex","Total firefighters","0.2","%","1"
"Other inc Chinese","West Sussex","Wholetime firefighters","0.3","%","1"
"Other inc Chinese","West Yorkshire","Fire Control","0","%","0"
"Other inc Chinese","West Yorkshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","West Yorkshire","Support Staff","0.4","%","1"
"Other inc Chinese","West Yorkshire","Total Staff","0.2","%","3"
"Other inc Chinese","West Yorkshire","Total firefighters","0.2","%","2"
"Other inc Chinese","West Yorkshire","Wholetime firefighters","0.2","%","2"
"Mixed","Avon","Fire Control","3","%","1"
"Mixed","Avon","Retained Duty System firefighters","0.5","%","1"
"Mixed","Avon","Support Staff","0.9","%","1"
"Mixed","Avon","Total Staff","1.2","%","10"
"Mixed","Avon","Total firefighters","1.2","%","8"
"Mixed","Avon","Wholetime firefighters","1.5","%","7"
"Mixed","Bedfordshire","Fire Control","0","%","0"
"Mixed","Bedfordshire","Retained Duty System firefighters","1.2","%","1"
"Mixed","Bedfordshire","Support Staff","0","%","0"
"Mixed","Bedfordshire","Total Staff","1.3","%","5"
"Mixed","Bedfordshire","Total firefighters","?","%","5"
"Mixed","Bedfordshire","Wholetime firefighters","2.3","%","4"
"Mixed","Berkshire","Fire Control","0","%","0"
"Mixed","Berkshire","Retained Duty System firefighters","0","%","0"
"Mixed","Berkshire","Support Staff","0","%","0"
"Mixed","Berkshire","Total Staff","0.7","%","4"
"Mixed","Berkshire","Total firefighters","0.9","%","4"
"Mixed","Berkshire","Wholetime firefighters","1.1","%","4"
"Mixed","Buckinghamshire","Fire Control","N.A","%","0"
"Mixed","Buckinghamshire","Retained Duty System firefighters","0.8","%","1"
"Mixed","Buckinghamshire","Support Staff","1","%","1"
"Mixed","Buckinghamshire","Total Staff","1.1","%","5"
"Mixed","Buckinghamshire","Total firefighters","1.1","%","4"
"Mixed","Buckinghamshire","Wholetime firefighters","1.4","%","3"
"Mixed","Cambridgeshire","Fire Control","2.8","%","1"
"Mixed","Cambridgeshire","Retained Duty System firefighters","0.5","%","1"
"Mixed","Cambridgeshire","Support Staff","0","%","0"
"Mixed","Cambridgeshire","Total Staff","0.3","%","2"
"Mixed","Cambridgeshire","Total firefighters","0.2","%","1"
"Mixed","Cambridgeshire","Wholetime firefighters","0","%","0"
"Mixed","Cheshire","Fire Control","N.A","%","0"
"Mixed","Cheshire","Retained Duty System firefighters","1.5","%","4"
"Mixed","Cheshire","Support Staff","0.9","%","2"
"Mixed","Cheshire","Total Staff","0.8","%","7"
"Mixed","Cheshire","Total firefighters","0.8","%","5"
"Mixed","Cheshire","Wholetime firefighters","0.3","%","1"
"Mixed","Cleveland","Fire Control","0","%","0"
"Mixed","Cleveland","Retained Duty System firefighters","0","%","0"
"Mixed","Cleveland","Support Staff","0.8","%","1"
"Mixed","Cleveland","Total Staff","0.5","%","3"
"Mixed","Cleveland","Total firefighters","0.5","%","2"
"Mixed","Cleveland","Wholetime firefighters","0.6","%","2"
"Mixed","Cornwall","Fire Control","0","%","0"
"Mixed","Cornwall","Retained Duty System firefighters","1.2","%","4"
"Mixed","Cornwall","Support Staff","0","%","0"
"Mixed","Cornwall","Total Staff","1.1","%","7"
"Mixed","Cornwall","Total firefighters","1.4","%","7"
"Mixed","Cornwall","Wholetime firefighters","1.7","%","3"
"Mixed","Cumbria","Fire Control","N.A","%","0"
"Mixed","Cumbria","Retained Duty System firefighters","0","%","0"
"Mixed","Cumbria","Support Staff","0","%","0"
"Mixed","Cumbria","Total Staff","0","%","0"
"Mixed","Cumbria","Total firefighters","0","%","0"
"Mixed","Cumbria","Wholetime firefighters","0","%","0"
"Mixed","Derbyshire","Fire Control","0","%","0"
"Mixed","Derbyshire","Retained Duty System firefighters","0.3","%","1"
"Mixed","Derbyshire","Support Staff","0.6","%","1"
"Mixed","Derbyshire","Total Staff","0.8","%","7"
"Mixed","Derbyshire","Total firefighters","0.9","%","6"
"Mixed","Derbyshire","Wholetime firefighters","1.4","%","5"
"Mixed","Devon and Somerset","Fire Control","2.7","%","1"
"Mixed","Devon and Somerset","Retained Duty System firefighters","0.4","%","4"
"Mixed","Devon and Somerset","Support Staff","0","%","0"
"Mixed","Devon and Somerset","Total Staff","0.4","%","8"
"Mixed","Devon and Somerset","Total firefighters","0.5","%","7"
"Mixed","Devon and Somerset","Wholetime firefighters","0.6","%","3"
"Mixed","Dorset and Wiltshire","Fire Control","0","%","0"
"Mixed","Dorset and Wiltshire","Retained Duty System firefighters","0.4","%","2"
"Mixed","Dorset and Wiltshire","Support Staff","1.3","%","3"
"Mixed","Dorset and Wiltshire","Total Staff","1","%","12"
"Mixed","Dorset and Wiltshire","Total firefighters","1","%","9"
"Mixed","Dorset and Wiltshire","Wholetime firefighters","1.7","%","7"
"Mixed","Durham","Fire Control","0","%","0"
"Mixed","Durham","Retained Duty System firefighters","0.6","%","1"
"Mixed","Durham","Support Staff","0","%","0"
"Mixed","Durham","Total Staff","0.7","%","4"
"Mixed","Durham","Total firefighters","0.9","%","4"
"Mixed","Durham","Wholetime firefighters","1","%","3"
"Mixed","East Sussex","Fire Control","10.9","%","5"
"Mixed","East Sussex","Retained Duty System firefighters","2.4","%","7"
"Mixed","East Sussex","Support Staff","1.4","%","2"
"Mixed","East Sussex","Total Staff","2.6","%","21"
"Mixed","East Sussex","Total firefighters","2.2","%","14"
"Mixed","East Sussex","Wholetime firefighters","2.1","%","7"
"Mixed","England","Fire Control","2.1","%","22"
"Mixed","England","Retained Duty System firefighters","0.8","%","82"
"Mixed","England","Support Staff","1.3","%","89"
"Mixed","England","Total Staff","1.6","%","618"
"Mixed","England","Total firefighters","1.6","%","507"
"Mixed","England","Wholetime firefighters","2","%","425"
"Mixed","Essex","Fire Control","4.6","%","1"
"Mixed","Essex","Retained Duty System firefighters","0.7","%","2"
"Mixed","Essex","Support Staff","0.6","%","1"
"Mixed","Essex","Total Staff","1.2","%","8"
"Mixed","Essex","Total firefighters","?","%","6"
"Mixed","Essex","Wholetime firefighters","1.8","%","4"
"Mixed","Gloucestershire","Fire Control","0","%","0"
"Mixed","Gloucestershire","Retained Duty System firefighters","0","%","0"
"Mixed","Gloucestershire","Support Staff","0","%","0"
"Mixed","Gloucestershire","Total Staff","1.1","%","4"
"Mixed","Gloucestershire","Total firefighters","1.3","%","4"
"Mixed","Gloucestershire","Wholetime firefighters","2.8","%","4"
"Mixed","Greater London","Fire Control","7.8","%","8"
"Mixed","Greater London","Retained Duty System firefighters","N.A","%","0"
"Mixed","Greater London","Support Staff","3.3","%","26"
"Mixed","Greater London","Total Staff","4.4","%","241"
"Mixed","Greater London","Total firefighters","4.5","%","207"
"Mixed","Greater London","Wholetime firefighters","4.5","%","207"
"Mixed","Greater Manchester","Fire Control","N.A","%","0"
"Mixed","Greater Manchester","Retained Duty System firefighters","0","%","0"
"Mixed","Greater Manchester","Support Staff","2.5","%","10"
"Mixed","Greater Manchester","Total Staff","1.9","%","31"
"Mixed","Greater Manchester","Total firefighters","1.7","%","21"
"Mixed","Greater Manchester","Wholetime firefighters","1.7","%","21"
"Mixed","Hampshire","Fire Control","0","%","0"
"Mixed","Hampshire","Retained Duty System firefighters","0.5","%","3"
"Mixed","Hampshire","Support Staff","0.8","%","2"
"Mixed","Hampshire","Total Staff","0.6","%","9"
"Mixed","Hampshire","Total firefighters","0.6","%","7"
"Mixed","Hampshire","Wholetime firefighters","0.6","%","4"
"Mixed","Hereford and Worcester","Fire Control","0","%","0"
"Mixed","Hereford and Worcester","Retained Duty System firefighters","2.1","%","8"
"Mixed","Hereford and Worcester","Support Staff","1","%","1"
"Mixed","Hereford and Worcester","Total Staff","1.4","%","10"
"Mixed","Hereford and Worcester","Total firefighters","1.5","%","9"
"Mixed","Hereford and Worcester","Wholetime firefighters","0.4","%","1"
"Mixed","Hertfordshire","Fire Control","3.6","%","1"
"Mixed","Hertfordshire","Retained Duty System firefighters","0.6","%","1"
"Mixed","Hertfordshire","Support Staff","1.3","%","2"
"Mixed","Hertfordshire","Total Staff","1.2","%","10"
"Mixed","Hertfordshire","Total firefighters","1.1","%","7"
"Mixed","Hertfordshire","Wholetime firefighters","1.3","%","6"
"Mixed","Humberside","Fire Control","0","%","0"
"Mixed","Humberside","Retained Duty System firefighters","1.1","%","3"
"Mixed","Humberside","Support Staff","1.6","%","3"
"Mixed","Humberside","Total Staff","1.2","%","11"
"Mixed","Humberside","Total firefighters","1.1","%","8"
"Mixed","Humberside","Wholetime firefighters","1.1","%","5"
"Mixed","Isle Of Wight","Fire Control","N.A","%","0"
"Mixed","Isle Of Wight","Retained Duty System firefighters","0","%","0"
"Mixed","Isle Of Wight","Support Staff","0","%","0"
"Mixed","Isle Of Wight","Total Staff","0","%","0"
"Mixed","Isle Of Wight","Total firefighters","0","%","0"
"Mixed","Isle Of Wight","Wholetime firefighters","0","%","0"
"Mixed","Isles of Scilly","Fire Control","N.A","%","0"
"Mixed","Isles of Scilly","Retained Duty System firefighters","0","%","0"
"Mixed","Isles of Scilly","Support Staff","N.A","%","0"
"Mixed","Isles of Scilly","Total Staff","0","%","0"
"Mixed","Isles of Scilly","Total firefighters","0","%","0"
"Mixed","Isles of Scilly","Wholetime firefighters","N.A","%","0"
"Mixed","Kent","Fire Control","0","%","0"
"Mixed","Kent","Retained Duty System firefighters","0.6","%","2"
"Mixed","Kent","Support Staff","0.5","%","1"
"Mixed","Kent","Total Staff","0.6","%","6"
"Mixed","Kent","Total firefighters","?","%","5"
"Mixed","Kent","Wholetime firefighters","0.6","%","3"
"Mixed","Lancashire","Fire Control","0","%","0"
"Mixed","Lancashire","Retained Duty System firefighters","1","%","4"
"Mixed","Lancashire","Support Staff","1","%","2"
"Mixed","Lancashire","Total Staff","0.8","%","10"
"Mixed","Lancashire","Total firefighters","0.8","%","8"
"Mixed","Lancashire","Wholetime firefighters","0.7","%","4"
"Mixed","Leicestershire","Fire Control","0","%","0"
"Mixed","Leicestershire","Retained Duty System firefighters","0","%","0"
"Mixed","Leicestershire","Support Staff","2.6","%","3"
"Mixed","Leicestershire","Total Staff","1","%","7"
"Mixed","Leicestershire","Total firefighters","0.7","%","4"
