"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_type","Geography_code","Geography_name","Age group_type","Age group","Value","Numerator","Denominator"
"Average number of offences per reoffender",2011,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",2.5,98,40
"Average number of offences per reoffender",2011,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",2.3,207,89
"Average number of offences per reoffender",2011,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",1.1,8,7
"Average number of offences per reoffender",2011,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",1.5,3,2
"Average number of offences per reoffender",2011,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",2.7,1868,702
"Average number of offences per reoffender",2011,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",3.3,49,15
"Average number of offences per reoffender",2011,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",2.7,176,65
"Average number of offences per reoffender",2011,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",3.3,10,3
"Average number of offences per reoffender",2011,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",2,6,3
"Average number of offences per reoffender",2011,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",2.8,1069,379
"Average number of offences per reoffender",2011,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.5,38,15
"Average number of offences per reoffender",2011,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.1,58,28
"Average number of offences per reoffender",2011,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",1.5,15,10
"Average number of offences per reoffender",2011,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.3,7,3
"Average number of offences per reoffender",2011,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.8,891,322
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.3,155,68
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.5,348,137
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",4.6,37,8
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.4,17,7
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.6,4725,1818
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",2.1,149,72
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3.2,561,177
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",2.2,44,20
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",1.5,15,10
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",2.8,5822,2089
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",2.8,218,78
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",3,393,131
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",2.6,36,14
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",1.6,21,13
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",3.2,5782,1828
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",3.1,154,49
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",3.1,315,100
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",2.7,35,13
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",2.1,25,12
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",3.3,4631,1388
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2.1,57,27
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2.7,162,61
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2.8,28,10
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2,16,8
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",3.1,3397,1082
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",2.6,47,18
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",2.9,135,47
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",1.6,11,7
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",2.2,11,5
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",2.9,2698,927
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.4,22,9
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.5,102,41
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2,6,3
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.2,9,4
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.7,1637,596
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",2.7,24,9
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",2.6,87,33
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",4,20,5
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",2,4,2
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",3.1,1645,536
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",2.8,91,33
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",3.7,37,10
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",3,15,5
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",1,1,1
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",3,4930,1661
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2.6,66,25
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2.9,44,15
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2,6,3
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2.3,16,7
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",3.1,6067,1953
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2.7,52,19
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2.1,35,17
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2.7,8,3
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2,18,9
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",3.4,6598,1927
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",2.8,56,20
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",2.7,54,20
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",8.5,17,2
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",6.7,47,7
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",3.6,5259,1473
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",2.3,23,10
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",2.9,40,14
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",3.3,10,3
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",1.3,8,6
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",3.3,3210,981
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",1.7,15,9
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",2.7,8,3
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",3,15,5
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",8.5,17,2
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",3,2033,672
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",1.8,7,4
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",3,18,6
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",1,1,1
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",NA,0,0
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",2.6,1004,384
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",7,21,3
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",4.2,21,5
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",1,1,1
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",NA,0,0
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",2.8,996,350
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",1.9,36,19
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",3,261,86
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",1.7,25,15
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",3.6,32,9
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",2.6,4353,1669
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",2.2,59,27
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",2.5,243,96
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",1.3,12,9
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",2.4,17,7
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",2.8,5112,1841
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",2.1,53,25
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",2.6,232,89
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",2,20,10
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",2.5,30,12
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",3,4718,1573
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",3.4,61,18
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",4.2,322,77
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",2.8,28,10
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",5.3,37,7
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",3.2,4158,1280
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",3.1,47,15
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",3.4,145,43
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",1.4,7,5
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",1.8,7,4
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",3,3134,1045
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",2.9,20,7
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",3.1,74,24
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",3.5,28,8
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",5.3,16,3
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",3,2333,790
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",1.6,8,5
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",2.6,109,42
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",2.2,18,8
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",2,2,1
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",3,1669,554
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",NA,0,0
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",2.3,44,19
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",2.4,17,7
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",3.5,7,2
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",3.2,1465,454
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.5,437,177
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.5,540,220
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.4,12,5
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",1.9,31,16
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.7,4694,1726
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",2.5,515,202
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",2.6,653,251
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",2.3,41,18
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",2.2,26,12
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",2.7,5282,1948
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","25 to 29",2.9,592,204
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","25 to 29",2.9,657,228
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","25 to 29",2.2,49,22
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","25 to 29",3.1,43,14
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","25 to 29",3.1,5641,1820
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","30 to 34",2.8,342,124
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","30 to 34",2.8,436,157
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","30 to 34",3.8,68,18
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","30 to 34",3.7,52,14
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","30 to 34",3.1,4400,1425
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","35 to 39",2.8,274,97
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","35 to 39",2.6,260,99
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","35 to 39",1.7,12,7
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","35 to 39",2.5,30,12
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","35 to 39",3.1,2888,946
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",3,198,66
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",2.9,253,86
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",1,1,1
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",2.2,13,6
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","40 to 44",2.8,1937,700
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",2.2,42,19
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",2.7,168,63
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",3.9,27,7
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",4,8,2
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","45 to 49",2.9,1228,429
"Average number of offences per reoffender",2012,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.6,50,19
"Average number of offences per reoffender",2012,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.3,79,34
"Average number of offences per reoffender",2012,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",1.7,5,3
"Average number of offences per reoffender",2012,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",3,6,2
"Average number of offences per reoffender",2012,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","50+",2.7,921,346
"Average number of offences per reoffender",2013,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",3,161,53
"Average number of offences per reoffender",2013,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.5,287,117
"Average number of offences per reoffender",2013,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",1.9,25,13
"Average number of offences per reoffender",2013,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",3.3,40,12
"Average number of offences per reoffender",2013,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.7,3981,1484
"Average number of offences per reoffender",2013,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",2.2,161,72
"Average number of offences per reoffender",2013,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3,425,141
"Average number of offences per reoffender",2013,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",2.4,29,12
"Average number of offences per reoffender",2013,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3.1,44,14
