"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2014","All","All","Black","Custody","Wiltshire","27","68","39.7"
"percentage of people on remand by status and police force area","2014","All","All","Black","Not remanded","Wiltshire","2","8","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Black","Bail","special/miscellaneous and unknown police forces","5","8","62.5"
"percentage of people on remand by status and police force area","2014","All","All","Black","Custody","special/miscellaneous and unknown police forces","1","8","12.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Avon and Somerset","29","67","43.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Avon and Somerset","25","67","37.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Avon and Somerset","13","67","19.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Bedfordshire","9","19","47.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Bedfordshire","9","19","47.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Bedfordshire","1","19","5.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Cambridgeshire","20","38","52.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Cambridgeshire","13","38","34.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Cambridgeshire","5","38","13.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Cheshire","4","12","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Cheshire","3","12","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Cheshire","5","12","41.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Cleveland","3","9","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Cleveland","3","9","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Cumbria","3","9","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Cumbria","3","17","17.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Cumbria","4","17","23.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Derbyshire","10","17","58.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Derbyshire","21","40","52.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Derbyshire","10","40","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Devon and Cornwall","9","40","22.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Devon and Cornwall","4","18","22.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Dorset","4","18","22.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Dorset","10","18","55.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Dorset","2","4","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Durham","1","4","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Durham","1","4","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Dyfed-Powys","2","49","4.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Essex","29","49","59.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Essex","18","49","36.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Essex","5","27","18.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Gloucestershire","12","27","44.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Gloucestershire","10","27","37.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Gloucestershire","1","177","0.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Greater Manchester","83","177","46.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Greater Manchester","93","177","52.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Greater Manchester","36","49","73.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Gwent","7","49","14.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Gwent","6","49","12.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Gwent","1","56","1.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Hampshire","25","56","44.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Hampshire","30","56","53.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Hampshire","5","56","8.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Hertfordshire","28","56","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Hertfordshire","23","56","41.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Hertfordshire","4","26","15.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Humberside","8","26","30.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Humberside","14","26","53.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Humberside","2","32","6.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Kent","17","32","53.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Kent","13","32","40.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Kent","1","34","2.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Lancashire","17","34","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Lancashire","16","34","47.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Lancashire","5","46","10.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Leicestershire","21","46","45.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Leicestershire","20","46","43.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Leicestershire","11","36","30.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Lincolnshire","2","36","5.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Merseyside","23","36","63.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Merseyside","15","358","4.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Merseyside","4","358","1.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Metropolitan Police","339","358","94.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Metropolitan Police","428","558","76.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Metropolitan Police","122","558","21.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Norfolk","8","558","1.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Norfolk","11","16","68.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","North Wales","1","16","6.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","North Yorkshire","4","16","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","North Yorkshire","2","19","10.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","North Yorkshire","5","19","26.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Northamptonshire","12","19","63.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Northamptonshire","16","29","55.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Northamptonshire","4","29","13.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Northumbria","9","29","31.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Northumbria","8","65","12.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Northumbria","2","65","3.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Nottinghamshire","55","65","84.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Nottinghamshire","59","78","75.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Nottinghamshire","6","78","7.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","South Wales","13","78","16.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","South Wales","10","17","58.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","South Wales","5","17","29.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","South Yorkshire","2","17","11.8"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","South Yorkshire","1","39","2.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","South Yorkshire","2","39","5.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Staffordshire","36","39","92.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Staffordshire","15","30","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Staffordshire","2","30","6.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Suffolk","13","30","43.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Suffolk","12","26","46.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Suffolk","3","26","11.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Surrey","11","26","42.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Surrey","7","34","20.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Surrey","2","34","5.9"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Sussex","25","34","73.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Sussex","16","74","21.6"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Sussex","3","74","4.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Thames Valley","55","74","74.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Thames Valley","71","93","76.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Thames Valley","15","93","16.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Warwickshire","7","93","7.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Warwickshire","7","21","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Warwickshire","2","21","9.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","West Mercia","12","21","57.1"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","West Mercia","8","151","5.3"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","West Mercia","1","151","0.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","West Midlands","142","151","94.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","West Midlands","155","262","59.2"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","West Midlands","51","262","19.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","West Yorkshire","56","262","21.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","West Yorkshire","62","105","59.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","West Yorkshire","31","105","29.5"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","Wiltshire","12","105","11.4"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Custody","Wiltshire","20","23","87.0"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Not remanded","Wiltshire","2","23","8.7"
"percentage of people on remand by status and police force area","2014","All","All","Mixed","Bail","special/miscellaneous and unknown police forces","1","23","4.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Avon and Somerset","8","16","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Avon and Somerset","4","16","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Avon and Somerset","4","16","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Bedfordshire","3","12","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Bedfordshire","1","12","8.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Cambridgeshire","8","12","66.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Cambridgeshire","3","9","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Cambridgeshire","1","9","11.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Cheshire","5","9","55.6"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Cheshire","4","7","57.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Cheshire","2","7","28.6"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Cleveland","1","7","14.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Cleveland","5","10","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Cleveland","1","10","10.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Cumbria","4","10","40.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Cumbria","2","11","18.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Cumbria","1","11","9.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Derbyshire","8","11","72.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Derbyshire","6","11","54.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Derbyshire","3","11","27.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Devon and Cornwall","2","11","18.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Devon and Cornwall","2","12","16.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Dorset","8","12","66.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Dorset","2","12","16.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Dorset","2","10","20.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Durham","5","10","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Durham","3","10","30.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Durham","1","3","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Dyfed-Powys","1","3","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Dyfed-Powys","1","3","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Dyfed-Powys","2","20","10.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Essex","9","20","45.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Essex","9","20","45.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Essex","2","11","18.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Gloucestershire","4","11","36.4"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Gloucestershire","5","11","45.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Gloucestershire","1","49","2.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Greater Manchester","28","49","57.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Greater Manchester","20","49","40.8"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Greater Manchester","3","8","37.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Gwent","3","8","37.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Gwent","2","8","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Hampshire","9","26","34.6"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Hampshire","14","26","53.8"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Hampshire","3","26","11.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Hertfordshire","9","17","52.9"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Hertfordshire","6","17","35.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Hertfordshire","2","17","11.8"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Humberside","7","13","53.8"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Humberside","5","13","38.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Humberside","1","13","7.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Kent","20","40","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Kent","17","40","42.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Kent","3","40","7.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Lancashire","7","20","35.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Lancashire","10","20","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Lancashire","3","20","15.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Leicestershire","7","14","50.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Leicestershire","6","14","42.9"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Leicestershire","1","14","7.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Lincolnshire","2","12","16.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Lincolnshire","1","12","8.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Merseyside","9","12","75.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Merseyside","10","373","2.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Merseyside","4","373","1.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Metropolitan Police","359","373","96.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Metropolitan Police","378","467","80.9"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Metropolitan Police","87","467","18.6"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Norfolk","2","467","0.4"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","North Wales","1","16","6.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","North Wales","5","16","31.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","North Yorkshire","10","16","62.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","North Yorkshire","3","8","37.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","North Yorkshire","3","8","37.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Northamptonshire","2","8","25.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Northamptonshire","2","9","22.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Northumbria","4","9","44.4"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Northumbria","3","9","33.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Nottinghamshire","6","16","37.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Nottinghamshire","9","16","56.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Nottinghamshire","1","16","6.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","South Wales","13","35","37.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","South Wales","16","35","45.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","South Wales","6","35","17.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","South Yorkshire","2","12","16.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","South Yorkshire","5","12","41.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","South Yorkshire","5","12","41.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Staffordshire","6","22","27.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Staffordshire","14","22","63.6"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Staffordshire","2","22","9.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Suffolk","9","13","69.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Suffolk","3","13","23.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Suffolk","1","13","7.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Surrey","4","28","14.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Sussex","15","28","53.6"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Sussex","9","28","32.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Thames Valley","12","22","54.5"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Thames Valley","8","22","36.4"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Thames Valley","2","22","9.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","Warwickshire","3","23","13.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","Warwickshire","3","23","13.0"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","West Mercia","17","23","73.9"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","West Mercia","8","54","14.8"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","West Mercia","5","54","9.3"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","West Midlands","41","54","75.9"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","West Midlands","54","77","70.1"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","West Midlands","9","77","11.7"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Bail","West Yorkshire","14","77","18.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","West Yorkshire","20","26","76.9"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Not remanded","West Yorkshire","5","26","19.2"
"percentage of people on remand by status and police force area","2014","All","All","Other inc Chinese","Custody","Wiltshire","1","26","3.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Avon and Somerset","907","1771","51.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Avon and Somerset","610","1771","34.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Avon and Somerset","254","1771","14.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Bedfordshire","239","454","52.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Bedfordshire","150","454","33.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Bedfordshire","65","454","14.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Cambridgeshire","457","942","48.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Cambridgeshire","314","942","33.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Cambridgeshire","171","942","18.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Cheshire","698","1443","48.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Cheshire","518","1443","35.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Cheshire","227","1443","15.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Cleveland","483","1087","44.4"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Cleveland","463","1087","42.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Cleveland","141","1087","13.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Cumbria","473","1007","47.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Cumbria","376","1007","37.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Cumbria","158","1007","15.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Derbyshire","759","1453","52.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Derbyshire","475","1453","32.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Derbyshire","219","1453","15.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Devon and Cornwall","838","1620","51.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Devon and Cornwall","503","1620","31.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Devon and Cornwall","279","1620","17.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Dorset","348","716","48.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Dorset","264","716","36.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Dorset","104","716","14.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Durham","410","950","43.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Durham","372","950","39.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Durham","168","950","17.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Dyfed-Powys","252","586","43.0"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Dyfed-Powys","187","586","31.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Dyfed-Powys","147","586","25.1"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Essex","1003","1947","51.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Essex","725","1947","37.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Essex","219","1947","11.2"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Gloucestershire","263","528","49.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Gloucestershire","172","528","32.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Gloucestershire","93","528","17.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Greater Manchester","1930","4621","41.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Greater Manchester","1917","4621","41.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Greater Manchester","774","4621","16.7"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Gwent","315","752","41.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Gwent","290","752","38.6"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Gwent","147","752","19.5"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Hampshire","1054","1993","52.9"
"percentage of people on remand by status and police force area","2014","All","All","White","Custody","Hampshire","644","1993","32.3"
"percentage of people on remand by status and police force area","2014","All","All","White","Not remanded","Hampshire","295","1993","14.8"
"percentage of people on remand by status and police force area","2014","All","All","White","Bail","Hertfordshire","561","1044","53.7"
