"Title","Remand status at Crown Court"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Measure","Year","Sex","Age group","ethnicity","remand status","count","denominator","value"
"percentage of defendants by remand status","2012","Male","All","Other inc Chinese","Not remanded","240","1786","13.4"
"percentage of defendants by remand status","2012","Male","All","White","Bail","30423","52921","57.5"
"percentage of defendants by remand status","2012"," Male","All","White","Custody","22258","52921","42.1"
"percentage of defendants by remand status","2012","Male","All","White","Not remanded","11339","52921","21.4"
"percentage of defendants by remand status","2013","Female","All","Asian","Bail","248","11649","2.1"
"percentage of defendants by remand status","2013"," Female","All","Asian","Custody","62","11649","0.5"
"percentage of defendants by remand status","2013","Female","All","Asian","Not remanded","30","11649","0.3"
"percentage of defendants by remand status","2013","Female","All","Black","Bail","493","730","67.5"
"percentage of defendants by remand status","2013"," Female","All","Black","Custody","207","730","28.4"
"percentage of defendants by remand status","2013","Female","All","Black","Not remanded","63","730","8.6"
"percentage of defendants by remand status","2013","Female","All","Mixed","Bail","175","302","57.9"
"percentage of defendants by remand status","2013"," Female","All","Mixed","Custody","64","302","21.2"
"percentage of defendants by remand status","2013","Female","All","Mixed","Not remanded","33","302","10.9"
"percentage of defendants by remand status","2013","Female","All","Other inc Chinese","Bail","101","186","54.3"
"percentage of defendants by remand status","2013"," Female","All","Other inc Chinese","Custody","52","186","28"
"percentage of defendants by remand status","2013","Female","All","Other inc Chinese","Not remanded","15","186","8.1"
"percentage of defendants by remand status","2013","Female","All","White","Bail","4463","5859","76.2"
"percentage of defendants by remand status","2013"," Female","All","White","Custody","1381","5859","23.6"
"percentage of defendants by remand status","2013","Female","All","White","Not remanded","1078","5859","18.4"
"percentage of defendants by remand status","2013","Male","All","Asian","Bail","3524","6923","50.9"
"percentage of defendants by remand status","2013"," Male","All","Asian","Custody","2321","6923","33.5"
"percentage of defendants by remand status","2013","Male","All","Asian","Not remanded","667","6923","9.6"
"percentage of defendants by remand status","2013","Male","All","Black","Bail","3559","8396","42.4"
"percentage of defendants by remand status","2013"," Male","All","Black","Custody","4170","8396","49.7"
"percentage of defendants by remand status","2013","Male","All","Black","Not remanded","1024","8396","12.2"
"percentage of defendants by remand status","2013","Male","All","Mixed","Bail","1063","3280","32.4"
"percentage of defendants by remand status","2013"," Male","All","Mixed","Custody","1193","3280","36.4"
"percentage of defendants by remand status","2013","Male","All","Mixed","Not remanded","393","3280","12"
"percentage of defendants by remand status","2013","Male","All","Other inc Chinese","Bail","561","1672","33.6"
"percentage of defendants by remand status","2013"," Male","All","Other inc Chinese","Custody","718","1672","42.9"
"percentage of defendants by remand status","2013","Male","All","Other inc Chinese","Not remanded","199","1672","11.9"
"percentage of defendants by remand status","2013","Male","All","White","Bail","27425","49703","55.2"
"percentage of defendants by remand status","2013"," Male","All","White","Custody","22079","49703","44.4"
"percentage of defendants by remand status","2013","Male","All","White","Not remanded","11082","49703","22.3"
"percentage of defendants by remand status","2014","Female","All","Asian","Bail","239","11389","2.1"
"percentage of defendants by remand status","2014"," Female","All","Asian","Custody","68","11389","0.6"
"percentage of defendants by remand status","2014","Female","All","Asian","Not remanded","22","11389","0.2"
"percentage of defendants by remand status","2014","Female","All","Black","Bail","409","636","64.3"
"percentage of defendants by remand status","2014"," Female","All","Black","Custody","205","636","32.2"
"percentage of defendants by remand status","2014","Female","All","Black","Not remanded","56","636","8.8"
"percentage of defendants by remand status","2014","Female","All","Mixed","Bail","167","287","58.2"
"percentage of defendants by remand status","2014"," Female","All","Mixed","Custody","64","287","22.3"
"percentage of defendants by remand status","2014","Female","All","Mixed","Not remanded","34","287","11.8"
"percentage of defendants by remand status","2014","Female","All","Other inc Chinese","Bail","109","194","56.2"
"percentage of defendants by remand status","2014"," Female","All","Other inc Chinese","Custody","51","194","26.3"
"percentage of defendants by remand status","2014","Female","All","Other inc Chinese","Not remanded","27","194","13.9"
"percentage of defendants by remand status","2014","Female","All","White","Bail","4480","6180","72.5"
"percentage of defendants by remand status","2014"," Female","All","White","Custody","1673","6180","27.1"
"percentage of defendants by remand status","2014","Female","All","White","Not remanded","941","6180","15.2"
"percentage of defendants by remand status","2014","Male","All","Asian","Bail","3328","6655","50"
"percentage of defendants by remand status","2014"," Male","All","Asian","Custody","2386","6655","35.9"
"percentage of defendants by remand status","2014","Male","All","Asian","Not remanded","594","6655","8.9"
"percentage of defendants by remand status","2014","Male","All","Black","Bail","3613","8390","43.1"
"percentage of defendants by remand status","2014"," Male","All","Black","Custody","4183","8390","49.9"
"percentage of defendants by remand status","2014","Male","All","Black","Not remanded","847","8390","10.1"
"percentage of defendants by remand status","2014","Male","All","Mixed","Bail","1010","3052","33.1"
"percentage of defendants by remand status","2014"," Male","All","Mixed","Custody","1195","3052","39.2"
"percentage of defendants by remand status","2014","Male","All","Mixed","Not remanded","340","3052","11.1"
"percentage of defendants by remand status","2014","Male","All","Other inc Chinese","Bail","575","1542","37.3"
"percentage of defendants by remand status","2014"," Male","All","Other inc Chinese","Custody","627","1542","40.7"
"percentage of defendants by remand status","2014","Male","All","Other inc Chinese","Not remanded","143","1542","9.3"
"percentage of defendants by remand status","2014","Male","All","White","Bail","28041","51622","54.3"
"percentage of defendants by remand status","2014"," Male","All","White","Custody","23438","51622","45.4"
"percentage of defendants by remand status","2014","Male","All","White","Not remanded","9583","51622","18.6"
"percentage of defendants by remand status","2015","Female","All","Asian","Bail","274","9931","2.8"
"percentage of defendants by remand status","2015"," Female","All","Asian","Custody","74","9931","0.7"
"percentage of defendants by remand status","2015","Female","All","Asian","Not remanded","16","9931","0.2"
"percentage of defendants by remand status","2015","Female","All","Black","Bail","509","705","72.2"
"percentage of defendants by remand status","2015"," Female","All","Black","Custody","180","705","25.5"
"percentage of defendants by remand status","2015","Female","All","Black","Not remanded","56","705","7.9"
"percentage of defendants by remand status","2015","Female","All","Mixed","Bail","199","318","62.6"
"percentage of defendants by remand status","2015"," Female","All","Mixed","Custody","63","318","19.8"
"percentage of defendants by remand status","2015","Female","All","Mixed","Not remanded","29","318","9.1"
"percentage of defendants by remand status","2015","Female","All","Other inc Chinese","Bail","118","198","59.6"
"percentage of defendants by remand status","2015"," Female","All","Other inc Chinese","Custody","51","198","25.8"
"percentage of defendants by remand status","2015","Female","All","Other inc Chinese","Not remanded","27","198","13.6"
"percentage of defendants by remand status","2015","Female","All","White","Bail","4783","6324","75.6"
"percentage of defendants by remand status","2015"," Female","All","White","Custody","1514","6324","23.9"
"percentage of defendants by remand status","2015","Female","All","White","Not remanded","919","6324","14.5"
"percentage of defendants by remand status","2015","Male","All","Asian","Bail","3402","6725","50.6"
"percentage of defendants by remand status","2015"," Male","All","Asian","Custody","2404","6725","35.7"
"percentage of defendants by remand status","2015","Male","All","Asian","Not remanded","574","6725","8.5"
"percentage of defendants by remand status","2015","Male","All","Black","Bail","3526","8110","43.5"
"percentage of defendants by remand status","2015"," Male","All","Black","Custody","4010","8110","49.4"
"percentage of defendants by remand status","2015","Male","All","Black","Not remanded","870","8110","10.7"
"percentage of defendants by remand status","2015","Male","All","Mixed","Bail","1081","3087","35"
"percentage of defendants by remand status","2015"," Male","All","Mixed","Custody","1136","3087","36.8"
"percentage of defendants by remand status","2015","Male","All","Mixed","Not remanded","293","3087","9.5"
"percentage of defendants by remand status","2015","Male","All","Other inc Chinese","Bail","610","1546","39.5"
"percentage of defendants by remand status","2015"," Male","All","Other inc Chinese","Custody","643","1546","41.6"
"percentage of defendants by remand status","2015","Male","All","Other inc Chinese","Not remanded","139","1546","9"
"percentage of defendants by remand status","2015","Male","All","White","Bail","28405","51653","55"
"percentage of defendants by remand status","2015"," Male","All","White","Custody","23109","51653","44.7"
"percentage of defendants by remand status","2015","Male","All","White","Not remanded","8673","51653","16.8"
"percentage of defendants by remand status","2016","Female","All","Asian","Bail","219","8964","2.4"
"percentage of defendants by remand status","2016"," Female","All","Asian","Custody","72","8964","0.8"
"percentage of defendants by remand status","2016","Female","All","Asian","Not remanded","19","8964","0.2"
"percentage of defendants by remand status","2016","Female","All","Black","Bail","436","606","71.9"
"percentage of defendants by remand status","2016"," Female","All","Black","Custody","151","606","24.9"
"percentage of defendants by remand status","2016","Female","All","Black","Not remanded","69","606","11.4"
"percentage of defendants by remand status","2016","Female","All","Mixed","Bail","153","280","54.6"
"percentage of defendants by remand status","2016"," Female","All","Mixed","Custody","58","280","20.7"
"percentage of defendants by remand status","2016","Female","All","Mixed","Not remanded","22","280","7.9"
"percentage of defendants by remand status","2016","Female","All","Other inc Chinese","Bail","77","130","59.2"
"percentage of defendants by remand status","2016"," Female","All","Other inc Chinese","Custody","31","130","23.8"
"percentage of defendants by remand status","2016","Female","All","Other inc Chinese","Not remanded","11","130","8.5"
"percentage of defendants by remand status","2016","Female","All","White","Bail","3865","5233","73.9"
"percentage of defendants by remand status","2016"," Female","All","White","Custody","1357","5233","25.9"
"percentage of defendants by remand status","2016","Female","All","White","Not remanded","905","5233","17.3"
"percentage of defendants by remand status","2016","Male","All","Asian","Bail","3018","6102","49.5"
"percentage of defendants by remand status","2016"," Male","All","Asian","Custody","2179","6102","35.7"
"percentage of defendants by remand status","2016","Male","All","Asian","Not remanded","696","6102","11.4"
"percentage of defendants by remand status","2016","Male","All","Black","Bail","3574","7995","44.7"
"percentage of defendants by remand status","2016"," Male","All","Black","Custody","3725","7995","46.6"
"percentage of defendants by remand status","2016","Male","All","Black","Not remanded","1091","7995","13.6"
"percentage of defendants by remand status","2016","Male","All","Mixed","Bail","921","2988","30.8"
"percentage of defendants by remand status","2016"," Male","All","Mixed","Custody","976","2988","32.7"
"percentage of defendants by remand status","2016","Male","All","Mixed","Not remanded","379","2988","12.7"
"percentage of defendants by remand status","2016","Male","All","Other inc Chinese","Bail","593","1473","40.3"
"percentage of defendants by remand status","2016"," Male","All","Other inc Chinese","Custody","501","1473","34"
"percentage of defendants by remand status","2016","Male","All","Other inc Chinese","Not remanded","144","1473","9.8"
"percentage of defendants by remand status","2016","Male","All","White","Bail","24665","44346","55.6"
"percentage of defendants by remand status","2016"," Male","All","White","Custody","19537","44346","44.1"
"percentage of defendants by remand status","2016","Male","All","White","Not remanded","9607","44346","21.7"
"percentage of defendants by remand status","2017","Female","All","Asian","Bail","188","9855","1.9"
"percentage of defendants by remand status","2017"," Female","All","Asian","Custody","60","9855","0.6"
"percentage of defendants by remand status","2017","Female","All","Asian","Not remanded","24","9855","0.2"
"percentage of defendants by remand status","2017","Female","All","Black","Bail","355","502","70.7"
"percentage of defendants by remand status","2017"," Female","All","Black","Custody","123","502","24.5"
"percentage of defendants by remand status","2017","Female","All","Black","Not remanded","65","502","12.9"
"percentage of defendants by remand status","2017","Female","All","Mixed","Bail","126","247","51"
"percentage of defendants by remand status","2017"," Female","All","Mixed","Custody","56","247","22.7"
"percentage of defendants by remand status","2017","Female","All","Mixed","Not remanded","24","247","9.7"
"percentage of defendants by remand status","2017","Female","All","Other inc Chinese","Bail","64","125","51.2"
"percentage of defendants by remand status","2017"," Female","All","Other inc Chinese","Custody","37","125","29.6"
"percentage of defendants by remand status","2017","Female","All","Other inc Chinese","Not remanded","6","125","4.8"
"percentage of defendants by remand status","2017","Female","All","White","Bail","3147","4462","70.5"
"percentage of defendants by remand status","2017"," Female","All","White","Custody","1309","4462","29.3"
"percentage of defendants by remand status","2017","Female","All","White","Not remanded","851","4462","19.1"
"percentage of defendants by remand status","2017","Male","All","Asian","Bail","2651","5496","48.2"
"percentage of defendants by remand status","2017"," Male","All","Asian","Custody","1994","5496","36.3"
"percentage of defendants by remand status","2017","Male","All","Asian","Not remanded","755","5496","13.7"
"percentage of defendants by remand status","2017","Male","All","Black","Bail","3204","7422","43.2"
"percentage of defendants by remand status","2017"," Male","All","Black","Custody","3463","7422","46.7"
"percentage of defendants by remand status","2017","Male","All","Black","Not remanded","1200","7422","16.2"
"percentage of defendants by remand status","2017","Male","All","Mixed","Bail","757","2838","26.7"
"percentage of defendants by remand status","2017"," Male","All","Mixed","Custody","881","2838","31"
"percentage of defendants by remand status","2017","Male","All","Mixed","Not remanded","310","2838","10.9"
"percentage of defendants by remand status","2017","Male","All","Other inc Chinese","Bail","450","1188","37.9"
"percentage of defendants by remand status","2017"," Male","All","Other inc Chinese","Custody","428","1188","36"
"percentage of defendants by remand status","2017","Male","All","Other inc Chinese","Not remanded","166","1188","14"
"percentage of defendants by remand status","2017","Male","All","White","Bail","19983","37620","53.1"
"percentage of defendants by remand status","2017"," Male","All","White","Custody","17471","37620","46.4"
"percentage of defendants by remand status","2017","Male","All","White","Not remanded","9718","37620","25.8"
