"Measure","Domain","decile_label","Ethnicity","Ethnicity_type","Value","Value_type","Numerator","Denominator"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Black:  Black Caribbean","ONS 2011 18+1","12.10","%","71535","591016"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Black:  Black Other","ONS 2011 18+1","11.29","%","31361","277857"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Mixed: All","ONS 2011 18+1","9.72","%","115981","1192879"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","9.17","%","38099","415616"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Mixed: White and Black African","ONS 2011 18+1","10.40","%","16809","161550"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.46","%","31464","332708"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Mixed: Other Mixed","ONS 2011 18+1","10.46","%","29609","283005"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Other: All","ONS 2011 18+1","10.20","%","55931","548418"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Other: Arab","ONS 2011 18+1","9.83","%","21717","220985"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","Other: Any Other","ONS 2011 18+1","10.45","%","34214","327433"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","50% to 60% most deprived","All","ONS 2011 18+1","10.04","%","5323747","53012456"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","White: All","ONS 2011 18+1","10.23","%","4632932","45281142"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","White: British","ONS 2011 18+1","10.23","%","4326583","42279236"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","White: Irish","ONS 2011 18+1","11.03","%","57021","517001"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","8.46","%","4643","54895"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","White: White Other","ONS 2011 18+1","10.07","%","244685","2430010"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Asian: All","ONS 2011 18+1","8.76","%","362844","4143403"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Asian: Indian","ONS 2011 18+1","10.18","%","142056","1395702"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Asian: Pakistani","ONS 2011 18+1","6.06","%","67448","1112282"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Asian: Bangladeshi","ONS 2011 18+1","6.67","%","29119","436514"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Asian: Chinese","ONS 2011 18+1","10.23","%","38842","379503"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Asian: Asian Other","ONS 2011 18+1","10.42","%","85379","819402"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Black:  All","ONS 2011 18+1","9.31","%","171932","1846614"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Black:  Black African","ONS 2011 18+1","8.49","%","82968","977741"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Black:  Black Caribbean","ONS 2011 18+1","10.42","%","61602","591016"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Black:  Black Other","ONS 2011 18+1","9.85","%","27362","277857"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Mixed: All","ONS 2011 18+1","9.52","%","113616","1192879"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","8.74","%","36308","415616"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Mixed: White and Black African","ONS 2011 18+1","9.44","%","15258","161550"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.86","%","32802","332708"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Mixed: Other Mixed","ONS 2011 18+1","10.33","%","29248","283005"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Other: All","ONS 2011 18+1","9.99","%","54768","548418"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Other: Arab","ONS 2011 18+1","10.16","%","22451","220985"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","Other: Any Other","ONS 2011 18+1","9.87","%","32317","327433"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","60% to 70% most deprived","All","ONS 2011 18+1","10.07","%","5336092","53012456"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","White: All","ONS 2011 18+1","10.37","%","4697737","45281142"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","White: British","ONS 2011 18+1","10.40","%","4395744","42279236"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","White: Irish","ONS 2011 18+1","10.84","%","56055","517001"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","7.89","%","4330","54895"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","White: White Other","ONS 2011 18+1","9.94","%","241608","2430010"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Asian: All","ONS 2011 18+1","7.45","%","308797","4143403"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Asian: Indian","ONS 2011 18+1","8.76","%","122329","1395702"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Asian: Pakistani","ONS 2011 18+1","4.52","%","50280","1112282"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Asian: Bangladeshi","ONS 2011 18+1","4.71","%","20566","436514"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Asian: Chinese","ONS 2011 18+1","10.91","%","41410","379503"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Asian: Asian Other","ONS 2011 18+1","9.06","%","74212","819402"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Black:  All","ONS 2011 18+1","7.04","%","129995","1846614"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Black:  Black African","ONS 2011 18+1","6.62","%","64717","977741"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Black:  Black Caribbean","ONS 2011 18+1","7.71","%","45554","591016"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Black:  Black Other","ONS 2011 18+1","7.10","%","19724","277857"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Mixed: All","ONS 2011 18+1","8.85","%","105563","1192879"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","7.28","%","30264","415616"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Mixed: White and Black African","ONS 2011 18+1","8.45","%","13645","161550"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Mixed: White and Asian","ONS 2011 18+1","10.11","%","33622","332708"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Mixed: Other Mixed","ONS 2011 18+1","9.91","%","28032","283005"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Other: All","ONS 2011 18+1","9.11","%","49969","548418"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Other: Arab","ONS 2011 18+1","9.65","%","21333","220985"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","Other: Any Other","ONS 2011 18+1","8.75","%","28636","327433"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","70% to 80% most deprived","All","ONS 2011 18+1","9.98","%","5292061","53012456"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","White: All","ONS 2011 18+1","10.43","%","4722257","45281142"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","White: British","ONS 2011 18+1","10.40","%","4398951","42279236"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","White: Irish","ONS 2011 18+1","11.55","%","59702","517001"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","6.96","%","3821","54895"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","White: White Other","ONS 2011 18+1","10.69","%","259783","2430010"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Asian: All","ONS 2011 18+1","7.50","%","310773","4143403"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Asian: Indian","ONS 2011 18+1","9.61","%","134154","1395702"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Asian: Pakistani","ONS 2011 18+1","4.10","%","45653","1112282"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Asian: Bangladeshi","ONS 2011 18+1","4.12","%","17996","436514"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Asian: Chinese","ONS 2011 18+1","10.91","%","41400","379503"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Asian: Asian Other","ONS 2011 18+1","8.73","%","71570","819402"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Black:  All","ONS 2011 18+1","5.41","%","99865","1846614"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Black:  Black African","ONS 2011 18+1","5.10","%","49817","977741"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Black:  Black Caribbean","ONS 2011 18+1","5.88","%","34762","591016"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Black:  Black Other","ONS 2011 18+1","5.50","%","15286","277857"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Mixed: All","ONS 2011 18+1","8.75","%","104321","1192879"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","6.55","%","27217","415616"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Mixed: White and Black African","ONS 2011 18+1","7.75","%","12518","161550"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Mixed: White and Asian","ONS 2011 18+1","11.09","%","36894","332708"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Mixed: Other Mixed","ONS 2011 18+1","9.78","%","27692","283005"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Other: All","ONS 2011 18+1","9.28","%","50870","548418"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Other: Arab","ONS 2011 18+1","9.45","%","20890","220985"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","Other: Any Other","ONS 2011 18+1","9.16","%","29980","327433"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","80% to 90% most deprived","All","ONS 2011 18+1","9.98","%","5288086","53012456"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","White: All","ONS 2011 18+1","10.34","%","4681029","45281142"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","White: British","ONS 2011 18+1","10.11","%","4275409","42279236"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","White: Irish","ONS 2011 18+1","14.19","%","73370","517001"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","5.16","%","2830","54895"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","White: White Other","ONS 2011 18+1","13.56","%","329420","2430010"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Asian: All","ONS 2011 18+1","8.09","%","335146","4143403"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Asian: Indian","ONS 2011 18+1","10.43","%","145520","1395702"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Asian: Pakistani","ONS 2011 18+1","4.22","%","46973","1112282"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Asian: Bangladeshi","ONS 2011 18+1","3.13","%","13677","436514"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Asian: Chinese","ONS 2011 18+1","13.56","%","51454","379503"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Asian: Asian Other","ONS 2011 18+1","9.46","%","77522","819402"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Black:  All","ONS 2011 18+1","4.00","%","73954","1846614"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Black:  Black African","ONS 2011 18+1","3.69","%","36124","977741"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Black:  Black Caribbean","ONS 2011 18+1","4.46","%","26347","591016"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Black:  Black Other","ONS 2011 18+1","4.13","%","11483","277857"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Mixed: All","ONS 2011 18+1","9.87","%","117721","1192879"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","5.97","%","24794","415616"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Mixed: White and Black African","ONS 2011 18+1","7.64","%","12337","161550"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Mixed: White and Asian","ONS 2011 18+1","14.57","%","48485","332708"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Mixed: Other Mixed","ONS 2011 18+1","11.34","%","32105","283005"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Other: All","ONS 2011 18+1","10.09","%","55328","548418"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Other: Arab","ONS 2011 18+1","10.55","%","23318","220985"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","Other: Any Other","ONS 2011 18+1","9.78","%","32010","327433"
"Percentage of people living in these neighbourhoods","Education, Skills and Training Deprivation","10% least deprived","All","ONS 2011 18+1","9.93","%","5263178","53012456"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","White: All","ONS 2011 18+1","9.62","%","4355168","45281142"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","White: British","ONS 2011 18+1","9.75","%","4121094","42279236"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","White: Irish","ONS 2011 18+1","8.50","%","43922","517001"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.05","%","5518","54895"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","White: White Other","ONS 2011 18+1","7.60","%","184634","2430010"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Asian: All","ONS 2011 18+1","11.02","%","456807","4143403"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Asian: Indian","ONS 2011 18+1","6.09","%","85034","1395702"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Asian: Pakistani","ONS 2011 18+1","18.56","%","206414","1112282"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Asian: Bangladeshi","ONS 2011 18+1","13.60","%","59345","436514"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Asian: Chinese","ONS 2011 18+1","11.28","%","42795","379503"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Asian: Asian Other","ONS 2011 18+1","7.72","%","63219","819402"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Black:  All","ONS 2011 18+1","11.02","%","203465","1846614"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Black:  Black African","ONS 2011 18+1","12.16","%","118856","977741"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Black:  Black Caribbean","ONS 2011 18+1","8.99","%","53158","591016"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Black:  Black Other","ONS 2011 18+1","11.32","%","31451","277857"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Mixed: All","ONS 2011 18+1","11.30","%","134782","1192879"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","14.04","%","58343","415616"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Mixed: White and Black African","ONS 2011 18+1","12.86","%","20782","161550"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.04","%","30077","332708"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Mixed: Other Mixed","ONS 2011 18+1","9.04","%","25580","283005"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Other: All","ONS 2011 18+1","11.17","%","61245","548418"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Other: Arab","ONS 2011 18+1","13.98","%","30894","220985"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","Other: Any Other","ONS 2011 18+1","9.27","%","30351","327433"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% most deprived","All","ONS 2011 18+1","9.83","%","5211467","53012456"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","White: All","ONS 2011 18+1","9.36","%","4238313","45281142"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","White: British","ONS 2011 18+1","9.35","%","3953460","42279236"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","White: Irish","ONS 2011 18+1","9.24","%","47789","517001"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.20","%","5601","54895"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","White: White Other","ONS 2011 18+1","9.53","%","231463","2430010"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Asian: All","ONS 2011 18+1","13.68","%","567003","4143403"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Asian: Indian","ONS 2011 18+1","9.27","%","129380","1395702"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Asian: Pakistani","ONS 2011 18+1","20.80","%","231312","1112282"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Asian: Bangladeshi","ONS 2011 18+1","20.31","%","88672","436514"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Asian: Chinese","ONS 2011 18+1","10.17","%","38603","379503"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Asian: Asian Other","ONS 2011 18+1","9.65","%","79036","819402"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Black:  All","ONS 2011 18+1","13.57","%","250634","1846614"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Black:  Black African","ONS 2011 18+1","13.25","%","129569","977741"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Black:  Black Caribbean","ONS 2011 18+1","13.66","%","80754","591016"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Black:  Black Other","ONS 2011 18+1","14.51","%","40311","277857"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Mixed: All","ONS 2011 18+1","12.20","%","145516","1192879"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","15.36","%","63856","415616"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Mixed: White and Black African","ONS 2011 18+1","11.92","%","19262","161550"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.82","%","32686","332708"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Mixed: Other Mixed","ONS 2011 18+1","10.50","%","29712","283005"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Other: All","ONS 2011 18+1","12.35","%","67752","548418"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Other: Arab","ONS 2011 18+1","13.68","%","30240","220985"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","Other: Any Other","ONS 2011 18+1","11.46","%","37512","327433"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","10% to 20% most deprived","All","ONS 2011 18+1","9.94","%","5269218","53012456"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","White: All","ONS 2011 18+1","9.29","%","4207483","45281142"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","White: British","ONS 2011 18+1","9.19","%","3883847","42279236"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","White: Irish","ONS 2011 18+1","10.08","%","52106","517001"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.19","%","5596","54895"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","White: White Other","ONS 2011 18+1","10.94","%","265934","2430010"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Asian: All","ONS 2011 18+1","13.56","%","561800","4143403"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Asian: Indian","ONS 2011 18+1","10.76","%","150129","1395702"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Asian: Pakistani","ONS 2011 18+1","16.24","%","180633","1112282"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Asian: Bangladeshi","ONS 2011 18+1","21.73","%","94859","436514"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Asian: Chinese","ONS 2011 18+1","11.40","%","43281","379503"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Asian: Asian Other","ONS 2011 18+1","11.34","%","92898","819402"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Black:  All","ONS 2011 18+1","17.41","%","321530","1846614"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Black:  Black African","ONS 2011 18+1","17.44","%","170499","977741"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Black:  Black Caribbean","ONS 2011 18+1","17.10","%","101043","591016"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Black:  Black Other","ONS 2011 18+1","17.99","%","49988","277857"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Mixed: All","ONS 2011 18+1","12.35","%","147271","1192879"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","14.09","%","58560","415616"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Mixed: White and Black African","ONS 2011 18+1","13.32","%","21523","161550"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Mixed: White and Asian","ONS 2011 18+1","10.04","%","33412","332708"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Mixed: Other Mixed","ONS 2011 18+1","11.93","%","33776","283005"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Other: All","ONS 2011 18+1","13.35","%","73232","548418"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Other: Arab","ONS 2011 18+1","13.24","%","29251","220985"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","Other: Any Other","ONS 2011 18+1","13.43","%","43981","327433"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","20% to 30% most deprived","All","ONS 2011 18+1","10.02","%","5311316","53012456"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","White: All","ONS 2011 18+1","9.60","%","4346539","45281142"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","White: British","ONS 2011 18+1","9.49","%","4013984","42279236"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","White: Irish","ONS 2011 18+1","10.17","%","52592","517001"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.94","%","6008","54895"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","White: White Other","ONS 2011 18+1","11.27","%","273955","2430010"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","Asian: All","ONS 2011 18+1","10.78","%","446609","4143403"
"Percentage of people living in these neighbourhoods","Health Deprivation and Disability","30% to 40% most deprived","Asian: Indian","ONS 2011 18+1","10.37","%","144711","1395702"
