"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","48","800","","","",""
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","35","800","","","",""
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","17","800","","","",""
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","27","800","","","",""
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","4","800","","","",""
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","10","800","","","",""
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","3","800","","","",""
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","17","800","","","",""
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","5","800","","","",""
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","3","800","","","",""
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","6","800","","","",""
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","800","","","",""
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","1","800","","","",""
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","800","","","",""
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","1","800","","","",""
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","2","800","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","7","800","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","6","800","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","800","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","800","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","800","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","800","","","",""
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","59","305","","","",""
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","58","305","","","",""
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","29","305","","","",""
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","35","305","","","",""
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","49","305","","","",""
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","35","305","","","",""
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","16","305","","","",""
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","28","305","","","",""
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","6","305","","","",""
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","21","305","","","",""
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","3","305","","","",""
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","27","305","","","",""
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","6","305","","","",""
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","6","305","","","",""
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","9","305","","","",""
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","305","","","",""
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","305","","","",""
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","305","","","",""
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","305","","","",""
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","-","305","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","5","305","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","4","305","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","0","305","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","0","305","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","-","305","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","0","305","","","",""
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","31","246","","","",""
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","30","246","","","",""
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","7","246","","","",""
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","10","246","","","",""
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","28","246","","","",""
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","19","246","","","",""
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","4","246","","","",""
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","6","246","","","",""
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","1","246","","","",""
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","5","246","","","",""
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","2","246","","","",""
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","7","246","","","",""
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","2","246","","","",""
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","1","246","","","",""
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","6","246","","","",""
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","",""
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","",""
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","-","246","","","",""
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","",""
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","2","246","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","2","246","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","246","","","",""
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","49","460","","","",""
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","49","460","","","",""
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","17","460","","","",""
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","21","460","","","",""
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","42","460","","","",""
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","30","460","","","",""
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","11","460","","","",""
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","16","460","","","",""
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","3","460","","","",""
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","15","460","","","",""
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","4","460","","","",""
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","14","460","","","",""
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","3","460","","","",""
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","1","460","","","",""
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","7","460","","","",""
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","-","460","","","",""
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","1","460","","","",""
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","0","460","","","",""
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","1","460","","","",""
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","-","460","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","2","460","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","2","460","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","0","460","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","0","460","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","0","460","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","0","460","","","",""
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","59","1,621","","","",""
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","59","1,621","","","",""
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","23","1,621","","","",""
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","32","1,621","","","",""
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","50","1,621","","","",""
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","31","1,621","","","",""
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","10","1,621","","","",""
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","22","1,621","","","",""
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","8","1,621","","","",""
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","26","1,621","","","",""
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","4","1,621","","","",""
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","26","1,621","","","",""
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","8","1,621","","","",""
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","2","1,621","","","",""
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","10","1,621","","","",""
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,621","","","",""
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","1","1,621","","","",""
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,621","","","",""
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","2","1,621","","","",""
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","2","1,621","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","5","1,621","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","5","1,621","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","0","1,621","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","0","1,621","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,621","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,621","","","",""
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","52","669","","","",""
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","50","669","","","",""
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","17","669","","","",""
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","24","669","","","",""
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","42","669","","","",""
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","26","669","","","",""
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","10","669","","","",""
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","16","669","","","",""
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","3","669","","","",""
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","18","669","","","",""
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","3","669","","","",""
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","18","669","","","",""
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","7","669","","","",""
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","3","669","","","",""
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","10","669","","","",""
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","-","669","","","",""
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","1","669","","","",""
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","-","669","","","",""
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","1","669","","","",""
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","1","669","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","4","669","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","4","669","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","669","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","669","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","669","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","669","","","",""
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","58","70,403","","","",""
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","58","70,403","","","",""
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","11","70,403","","","",""
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","20","70,403","","","",""
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","54","70,403","","","",""
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","21","70,403","","","",""
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","5","70,403","","","",""
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","10","70,403","","","",""
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","70,403","","","",""
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","13","70,403","","","",""
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","5","70,403","","","",""
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","15","70,403","","","",""
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","70,403","","","",""
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","70,403","","","",""
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","25","70,403","","","",""
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","70,403","","","",""
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","70,403","","","",""
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","70,403","","","",""
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","2","70,403","","","",""
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","2","70,403","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","7","70,403","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","6","70,403","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","0","70,403","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","0","70,403","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","70,403","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","70,403","","","",""
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","59","64,467","","","",""
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","59","64,467","","","",""
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","10","64,467","","","",""
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","20","64,467","","","",""
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","55","64,467","","","",""
