"Title","Employment by qualification level"
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","82.30%","%","1434350","1180346","83.20%","81.40%","6373"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","52.80%","%","1,340,368","708,207","54.00%","51.60%","6,516"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","62.50%","%","145,561","90,973","68.50%","56.40%","615"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","46.80%","%","46,848","21,923","58.70%","34.90%","170"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","61.70%","%","55,626","34,348","72.70%","50.80%","190"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","58.20%","%","263,613","153,343","62.90%","53.40%","1,040"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","53.70%","%","1,605,593","862,274","54.80%","52.60%","7,562"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","72.40%","%","56023","40566","78.10%","66.70%","239"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","65.90%","%","68318","44997","71.40%","60.30%","279"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","82.80%","%","15,984,082","13,231,989","83.10%","82.50%","71,842"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","74.90%","%","170,500","127,665","80.20%","69.50%","627"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","82.20%","%","1,228,063","1,009,642","84.00%","80.50%","4,604"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","75.90%","%","488,887","370,952","79.10%","72.70%","1,690"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","77.70%","%","397,722","309,106","81.20%","74.30%","1,391"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","79.50%","%","2,285,172","1,817,365","80.90%","78.20%","8,312"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","82.30%","%","18,293,928","15,064,923","82.60%","82.10%","80,238"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","84.00%","%","6,279,971","5,277,071","84.40%","83.60%","29,918"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","83.70%","%","95,575","80,025","89.80%","77.70%","355"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","71.40%","%","517,294","369,093","74.40%","68.30%","2,097"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","81.60%","%","273,369","222,962","85.40%","77.80%","1,000"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","69.60%","%","203,685","141,743","74.70%","64.50%","791"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","74.70%","%","1,089,923","813,823","76.70%","72.60%","4,243"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.70%","%","7,379,691","6,100,008","83.10%","82.30%","34,193"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","78.60%","%","2,585,312","2,032,606","79.30%","77.90%","12,533"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","77.40%","%","31,397","24,301","89.30%","65.50%","118"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","62.50%","%","124,486","77,861","69.10%","56.00%","522"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","69.60%","%","90,926","63,252","77.50%","61.60%","321"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","63.80%","%","36,156","23,059","76.50%","51.00%","137"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","66.60%","%","282,963","188,472","71.00%","62.20%","1,097"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","77.40%","%","2,870,465","2,221,801","78.10%","76.70%","13,635"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","70.70%","%","2,971,755","2,099,957","71.40%","69.90%","14,877"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","61.10%","%","35,134","21,483","73.40%","48.90%","152"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","45.40%","%","118,733","53,897","52.20%","38.60%","517"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","63.90%","%","85,663","54,727","72.20%","55.60%","320"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","54.90%","%","27,656","15,186","70.00%","39.80%","105"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","54.40%","%","267,184","145,292","59.00%","49.70%","1,093"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","69.30%","%","3,242,539","2,247,723","70.00%","68.60%","15,979"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","61.90%","%","1,991,443","1,233,359","62.90%","61.00%","9,898"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","35.40%","%","97,044","34,320","42.70%","28.10%","413"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","52.40%","%","58,359","30,591","63.10%","41.70%","209"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","37.10%","%","26,882","9,970","51.20%","23.00%","113"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","41.80%","%","203,119","84,920","47.20%","36.50%","817"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","60.10%","%","2,195,733","1,319,450","61.00%","59.20%","10,719"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","66.70%","%","787720","525169","68.10%","65.20%","4018"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","44.80%","%","143497","64302","51.00%","38.60%","617"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","55.80%","%","61514","34325","66.00%","45.60%","228"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","50.80%","%","64589","32820","60.60%","41.00%","251"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","49.50%","%","279541","138430","54.10%","44.90%","1137"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","62.20%","%","1069090","665013","63.50%","60.90%","5162"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","36.90%","%","1,382,069","510,609","38.00%","35.90%","7,575"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","20.40%","%","189,856","38,796","24.70%","16.20%","864"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","41.00%","%","56,832","23,286","51.20%","30.70%","220"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","26.80%","%","56,586","15,145","35.90%","17.60%","226"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","25.60%","%","315,218","80,546","29.20%","21.90%","1,354"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","34.90%","%","1,698,943","592,529","35.90%","33.90%","8,935"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","53.40%","%","37808","20194","60.70%","46.10%","180"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","49.70%","%","51228","25470","56.10%","43.30%","233"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","73.00%","%","16,036,078","11,698,965","73.30%","72.60%","78,998"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","70.90%","%","206,746","146,485","75.80%","65.90%","798"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","53.60%","%","1,194,979","640,692","55.80%","51.40%","5,047"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","68.40%","%","629,302","430,551","71.40%","65.40%","2,308"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","57.20%","%","417,454","238,928","61.00%","53.40%","1,629"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","59.50%","%","2,448,481","1,456,656","61.00%","58.00%","9,782"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","71.20%","%","18,507,688","13,171,993","71.50%","70.90%","88,856"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","87.00%","%","11,938,888","10,381,030","87.20%","86.70%","54,203"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","87.20%","%","158,621","138,263","91.40%","82.90%","586"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.10%","%","1,084,143","889,665","83.90%","80.20%","4,126"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","84.50%","%","482,873","408,071","87.20%","81.80%","1,722"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","76.90%","%","399,348","307,100","80.30%","73.50%","1,448"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.00%","%","2,124,985","1,743,099","83.40%","80.70%","7,882"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","86.20%","%","14,082,788","12,141,029","86.50%","85.90%","62,147"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","82.60%","%","5,732,200","4,736,803","83.10%","82.20%","26,902"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","78.20%","%","60,761","47,485","86.70%","69.60%","223"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","71.00%","%","242,654","172,252","75.50%","66.50%","966"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","72.60%","%","156,203","113,401","78.60%","66.60%","524"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","73.00%","%","66,560","48,564","81.80%","64.20%","245"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","72.50%","%","526,177","381,702","75.70%","69.40%","1,958"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","81.80%","%","6,264,906","5,122,271","82.20%","81.30%","28,880"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","75.80%","%","5,785,209","4,385,857","76.30%","75.30%","27,929"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","62.20%","%","66,112","41,130","71.60%","52.90%","258"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","58.70%","%","237,821","139,663","63.60%","53.90%","981"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","63.90%","%","148,252","94,719","70.30%","57.50%","543"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","66.00%","%","52,142","34,394","76.30%","55.60%","200"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","61.40%","%","504,326","309,906","64.80%","58.10%","1,982"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","74.70%","%","6,295,014","4,699,395","75.10%","74.20%","29,928"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","70.00%","%","3,833,484","2,684,902","70.70%","69.40%","18,069"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","53.30%","%","39,258","20,920","66.00%","40.50%","147"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","54.40%","%","200,237","108,944","59.90%","48.90%","798"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","58.20%","%","105,622","61,501","66.20%","50.30%","369"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","50.40%","%","50,081","25,245","61.30%","39.50%","203"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","54.80%","%","395,198","216,610","58.80%","50.90%","1,517"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","68.60%","%","4,231,387","2,903,592","69.30%","68.00%","19,595"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","76.40%","%","1914112","1462786","77.30%","75.60%","9227"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","65.20%","%","314448","205120","69.40%","61.10%","1269"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","64.70%","%","117007","75686","71.80%","57.60%","433"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","62.40%","%","131805","82183","69.10%","55.60%","497"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","64.80%","%","585686","379588","67.90%","61.70%","2293"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","73.70%","%","2503440","1845359","74.50%","72.90%","11535"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","44.80%","%","2,722,437","1,218,816","45.60%","43.90%","14,091"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","34.20%","%","27,522","9,418","48.30%","20.10%","109"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","38.70%","%","335,417","129,769","42.60%","34.80%","1,479"
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","43.60%","%","103,680","45,209","51.40%","35.80%","390"
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","44.10%","%","112,212","49,493","51.70%","36.60%","416"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","40.40%","%","578,831","233,889","43.50%","37.30%","2,394"
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","44.00%","%","3,304,536","1,454,803","44.80%","43.30%","16,497"
"% of individuals in employment","White","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","64.80%","%","93831","60760","69.30%","60.20%","419"
"% of individuals in employment","Mixed","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2015","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
