"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed","ONS 2001 5+1","West Mercia","Police Force Area","254"," 10,340 ","13,466","18.86","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 5+1","West Mercia","Police Force Area","326"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White","ONS 2001 5+1","West Midlands","Police Force Area","18,184"," 35,185 ","1,919,138","9.48","51.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Asian","ONS 2001 5+1","West Midlands","Police Force Area","9,525"," 35,185 ","493,551","19.30","27.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black","ONS 2001 5+1","West Midlands","Police Force Area","5,478"," 35,185 ","164,069","33.39","15.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Other","ONS 2001 5+1","West Midlands","Police Force Area","468"," 35,185 ","63,498","7.37","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed","ONS 2001 5+1","West Midlands","Police Force Area","1,530"," 35,185 ","96,204","15.90","4.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 5+1","West Midlands","Police Force Area","2,277"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White","ONS 2001 5+1","West Yorkshire","Police Force Area","32,460"," 41,564 ","1,819,818","17.84","78.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Asian","ONS 2001 5+1","West Yorkshire","Police Force Area","6,249"," 41,564 ","280,764","22.26","15.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black","ONS 2001 5+1","West Yorkshire","Police Force Area","1,507"," 41,564 ","46,476","32.43","3.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Other","ONS 2001 5+1","West Yorkshire","Police Force Area","146"," 41,564 ","30,874","4.73","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed","ONS 2001 5+1","West Yorkshire","Police Force Area","1,202"," 41,564 ","48,126","24.98","2.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 5+1","West Yorkshire","Police Force Area","1,184"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White","ONS 2001 5+1","Wiltshire","Police Force Area","4,208"," 4,653 ","642,869","6.55","90.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Asian","ONS 2001 5+1","Wiltshire","Police Force Area","79"," 4,653 ","17,379","4.55","1.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black","ONS 2001 5+1","Wiltshire","Police Force Area","254"," 4,653 ","6,089","41.71","5.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Other","ONS 2001 5+1","Wiltshire","Police Force Area","24"," 4,653 ","4,006","5.99","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed","ONS 2001 5+1","Wiltshire","Police Force Area","88"," 4,653 ","9,794","8.99","1.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 5+1","Wiltshire","Police Force Area","133"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","All - including BTP","Police Force Area","681,414"," 1,131,675 ","45,134,686","15.10","60.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","All - including BTP","Police Force Area","9,334"," 1,131,675 ","531,087","17.58","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","All - including BTP","Police Force Area","88,736"," 1,131,675 ","2,543,622","34.89","7.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","All - including BTP","Police Force Area","36,897"," 1,131,675 ","835,720","44.15","3.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","All - including BTP","Police Force Area","52,427"," 1,131,675 ","280,437","186.95","4.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","All - including BTP","Police Force Area","13,427"," 1,131,675 ","563,696","23.82","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","All - including BTP","Police Force Area","12,161"," 1,131,675 ","289,984","41.94","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All - including BTP","Police Force Area","24,774"," 1,131,675 ","447,201","55.40","2.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","All - including BTP","Police Force Area","59,085"," 1,131,675 ","989,628","59.70","5.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","All - including BTP","Police Force Area","66,337"," 1,131,675 ","594,825","111.52","5.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","All - including BTP","Police Force Area","2,166"," 1,131,675 ","393,141","5.51","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All - including BTP","Police Force Area","23,830"," 1,131,675 ","1,412,958","16.87","2.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","All - including BTP","Police Force Area","2,967"," 1,131,675 ","341,727","8.68","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","All - including BTP","Police Force Area","3,547"," 1,131,675 ","165,974","21.37","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","All - including BTP","Police Force Area","16,401"," 1,131,675 ","426,715","38.44","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","All - including BTP","Police Force Area","51,324"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","All - including BTP","Police Force Area","38,172"," 1,131,675 ","1,124,511","33.95","3.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Avon & Somerset","Police Force Area","17,868"," 20,911 ","1,425,794","12.53","85.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Avon & Somerset","Police Force Area","50"," 20,911 ","9,590","5.21","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Avon & Somerset","Police Force Area","773"," 20,911 ","56,586","13.66","3.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Avon & Somerset","Police Force Area","191"," 20,911 ","9,410","20.30","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Avon & Somerset","Police Force Area","495"," 20,911 ","7,504","65.96","2.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Avon & Somerset","Police Force Area","46"," 20,911 ","6,404","7.18","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Avon & Somerset","Police Force Area","162"," 20,911 ","5,936","27.29","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Avon & Somerset","Police Force Area","22"," 20,911 ","3,302","6.66","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Avon & Somerset","Police Force Area","384"," 20,911 ","14,561","26.37","1.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Avon & Somerset","Police Force Area","503"," 20,911 ","8,858","56.78","2.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Avon & Somerset","Police Force Area","27"," 20,911 ","8,976","3.01","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Avon & Somerset","Police Force Area","63"," 20,911 ","12,248","5.14","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Avon & Somerset","Police Force Area","21"," 20,911 ","7,477","2.81","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Avon & Somerset","Police Force Area","33"," 20,911 ","3,127","10.55","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Avon & Somerset","Police Force Area","198"," 20,911 ","11,737","16.87","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Avon & Somerset","Police Force Area","3,418"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Avon & Somerset","Police Force Area","75"," 20,911 ","8,045","9.32","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Bedfordshire","Police Force Area","4,426"," 6,886 ","431,171","10.27","64.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Bedfordshire","Police Force Area","84"," 6,886 ","10,958","7.67","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Bedfordshire","Police Force Area","401"," 6,886 ","34,518","11.62","5.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Bedfordshire","Police Force Area","79"," 6,886 ","10,090","7.83","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Bedfordshire","Police Force Area","82"," 6,886 ","3,511","23.36","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Bedfordshire","Police Force Area","15"," 6,886 ","4,947","3.03","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Bedfordshire","Police Force Area","52"," 6,886 ","3,773","13.78","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Bedfordshire","Police Force Area","100"," 6,886 ","17,045","5.87","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Bedfordshire","Police Force Area","182"," 6,886 ","13,964","13.03","2.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Bedfordshire","Police Force Area","414"," 6,886 ","12,250","33.80","6.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Bedfordshire","Police Force Area","17"," 6,886 ","3,806","4.47","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Bedfordshire","Police Force Area","223"," 6,886 ","21,280","10.48","3.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Bedfordshire","Police Force Area","21"," 6,886 ","4,645","4.52","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Bedfordshire","Police Force Area","12"," 6,886 ","2,024","5.93","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Bedfordshire","Police Force Area","175"," 6,886 ","8,014","21.84","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Bedfordshire","Police Force Area","735"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Bedfordshire","Police Force Area","603"," 6,886 ","33,065","18.24","8.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","British Transport Police","Police Force Area","6,072"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","British Transport Police","Police Force Area","142"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","British Transport Police","Police Force Area","1,213"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","British Transport Police","Police Force Area","240"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","British Transport Police","Police Force Area","356"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","British Transport Police","Police Force Area","103"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","British Transport Police","Police Force Area","116"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","British Transport Police","Police Force Area","156"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","British Transport Police","Police Force Area","797"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","British Transport Police","Police Force Area","608"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","British Transport Police","Police Force Area","31"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","British Transport Police","Police Force Area","164"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","British Transport Police","Police Force Area","32"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","British Transport Police","Police Force Area","63"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","British Transport Police","Police Force Area","230"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","British Transport Police","Police Force Area","1,395"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","British Transport Police","Police Force Area","229"," 10,552 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Cambridgeshire","Police Force Area","11,940"," 16,900 ","654,849","18.23","70.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Cambridgeshire","Police Force Area","94"," 16,900 ","6,165","15.25","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Cambridgeshire","Police Force Area","2,883"," 16,900 ","65,517","44.00","17.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Cambridgeshire","Police Force Area","292"," 16,900 ","10,227","28.55","1.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Cambridgeshire","Police Force Area","191"," 16,900 ","1,447","132.00","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Cambridgeshire","Police Force Area","41"," 16,900 ","4,977","8.24","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Cambridgeshire","Police Force Area","195"," 16,900 ","4,486","43.47","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Cambridgeshire","Police Force Area","67"," 16,900 ","2,791","24.01","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Cambridgeshire","Police Force Area","160"," 16,900 ","5,906","27.09","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Cambridgeshire","Police Force Area","170"," 16,900 ","2,821","60.26","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Cambridgeshire","Police Force Area","10"," 16,900 ","7,595","1.32","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Cambridgeshire","Police Force Area","93"," 16,900 ","12,066","7.71","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Cambridgeshire","Police Force Area","38"," 16,900 ","5,279","7.20","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Cambridgeshire","Police Force Area","58"," 16,900 ","2,212","26.22","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Cambridgeshire","Police Force Area","130"," 16,900 ","4,052","32.08","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Cambridgeshire","Police Force Area","520"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Cambridgeshire","Police Force Area","538"," 16,900 ","14,451","37.23","3.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Cheshire","Police Force Area","7,261"," 7,787 ","967,455","7.51","93.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Cheshire","Police Force Area","48"," 7,787 ","6,589","7.28","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Cheshire","Police Force Area","158"," 7,787 ","21,954","7.20","2.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Cheshire","Police Force Area","46"," 7,787 ","3,613","12.73","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Cheshire","Police Force Area","36"," 7,787 ","475","75.79","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Cheshire","Police Force Area","45"," 7,787 ","2,013","22.35","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Cheshire","Police Force Area","27"," 7,787 ","2,247","12.02","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Cheshire","Police Force Area","9"," 7,787 ","1,292","6.97","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Cheshire","Police Force Area","21"," 7,787 ","1,734","12.11","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Cheshire","Police Force Area","31"," 7,787 ","1,055","29.38","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Cheshire","Police Force Area","2"," 7,787 ","3,217","0.62","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Cheshire","Police Force Area","20"," 7,787 ","5,474","3.65","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Cheshire","Police Force Area","9"," 7,787 ","3,345","2.69","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Cheshire","Police Force Area","3"," 7,787 ","1,482","2.02","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Cheshire","Police Force Area","14"," 7,787 ","3,349","4.18","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Cheshire","Police Force Area","127"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Cheshire","Police Force Area","57"," 7,787 ","2,415","23.60","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Cleveland","Police Force Area","28,487"," 30,424 ","518,923","54.90","93.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Cleveland","Police Force Area","83"," 30,424 ","1,718","48.31","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","Cleveland","Police Force Area","822"," 30,424 ","5,815","141.36","2.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","Cleveland","Police Force Area","243"," 30,424 ","2,944","82.54","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","Cleveland","Police Force Area","107"," 30,424 ","295","362.71","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","Cleveland","Police Force Area","44"," 30,424 ","2,280","19.30","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Cleveland","Police Force Area","47"," 30,424 ","1,222","38.46","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","Cleveland","Police Force Area","10"," 30,424 ","684","14.62","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","Cleveland","Police Force Area","84"," 30,424 ","2,615","32.12","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","Cleveland","Police Force Area","65"," 30,424 ","246","264.23","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","Cleveland","Police Force Area","54"," 30,424 ","2,154","25.07","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","Cleveland","Police Force Area","51"," 30,424 ","3,322","15.35","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","Cleveland","Police Force Area","29"," 30,424 ","2,173","13.35","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","Cleveland","Police Force Area","14"," 30,424 ","929","15.07","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Cleveland","Police Force Area","48"," 30,424 ","1,438","33.38","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Unreported","ONS 2001 16+1","Cleveland","Police Force Area","197"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","Cleveland","Police Force Area","236"," 30,424 ","10,469","22.54","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","Cumbria","Police Force Area","13,360"," 13,685 ","482,124","27.71","97.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","Cumbria","Police Force Area","10"," 13,685 ","1,552","6.44","0.1%","","","","","",""
