"Title","Absence from school"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-09"
"Measures","Time","Time_type","Ethnicity","Ethnicity_type","Geography","school_type","Value","Denominator","Numerator"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Blackpool","Secondary","6.1","2212","135"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Blackpool","Secondary","5.3","238926","12590"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Blackpool","Special","5.9","102120","6023"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Blackpool","Special","9.1","1140","104"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Blackpool","Special","x","x","x"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Blackpool","Special","5.6","6638","372"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottinghamshire","Total","4.4","30183093","1326890"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottinghamshire","Total","4.6","62918","2889"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Nottinghamshire","Total","19.6","13390","2627"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottinghamshire","Total","15.7","62419","9813"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottinghamshire","Total","5","1403329","69527"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottinghamshire","Total","5","528850","26456"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottinghamshire","Total","4.1","151808","6253"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottinghamshire","Total","4.1","325949","13367"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottinghamshire","Total","4.5","524153","23846"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottinghamshire","Total","3.7","336959","12389"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottinghamshire","Total","4.9","332429","16235"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottinghamshire","Total","4.2","45060","1878"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottinghamshire","Total","3.9","236700","9214"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottinghamshire","Total","3.7","111793","4172"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottinghamshire","Total","2.1","184834","3927"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottinghamshire","Total","3.7","99260","3646"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottinghamshire","Total","4.6","4738705","218379"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottinghamshire","Primary","3.8","17533927","674060"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottinghamshire","Primary","3.5","37526","1316"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Nottinghamshire","Primary","21.2","8698","1846"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottinghamshire","Primary","14.7","50464","7429"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottinghamshire","Primary","4.8","919606","44097"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottinghamshire","Primary","4.4","301382","13374"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottinghamshire","Primary","3.8","99896","3797"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottinghamshire","Primary","3.6","216953","7865"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottinghamshire","Primary","4.1","325372","13250"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottinghamshire","Primary","3.8","209807","8044"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottinghamshire","Primary","5.1","192430","9907"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottinghamshire","Primary","4.6","27327","1267"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottinghamshire","Primary","4","155281","6211"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottinghamshire","Primary","3.8","41110","1545"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottinghamshire","Primary","2","112859","2257"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottinghamshire","Primary","3.7","50030","1849"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottinghamshire","Primary","4.5","2949410","131656"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottinghamshire","Secondary","5.1","12404468","630292"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottinghamshire","Secondary","6.2","25392","1573"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Nottinghamshire","Secondary","16.6","4692","781"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottinghamshire","Secondary","20.6","11203","2303"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottinghamshire","Secondary","5.2","477160","25006"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottinghamshire","Secondary","5.7","221813","12552"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottinghamshire","Secondary","4.7","51906","2450"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottinghamshire","Secondary","4.4","106352","4653"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottinghamshire","Secondary","5","194723","9833"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottinghamshire","Secondary","3.3","126024","4115"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottinghamshire","Secondary","4.4","138177","6043"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottinghamshire","Secondary","3.5","17049","592"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottinghamshire","Secondary","3.7","80663","2948"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottinghamshire","Secondary","3.7","70304","2615"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottinghamshire","Secondary","2.3","70985","1612"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottinghamshire","Secondary","3.6","48988","1779"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottinghamshire","Secondary","4.7","1761188","83140"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottinghamshire","Special","9.2","244698","22538"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottinghamshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottinghamshire","Special","6.5","6563","424"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottinghamshire","Special","9.4","5655","530"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottinghamshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottinghamshire","Special","32.1","2644","849"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottinghamshire","Special","18.8","4058","763"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottinghamshire","Special","20.4","1128","230"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottinghamshire","Special","15.6","1822","285"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottinghamshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottinghamshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottinghamshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottinghamshire","Special","5.9","990","58"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottinghamshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottinghamshire","Special","12.7","28107","3583"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottingham","Total","5.4","6262748","335209"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottingham","Total","5.1","29059","1474"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Nottingham","Total","8.9","5088","455"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottingham","Total","12","78740","9435"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottingham","Total","5.5","987406","54213"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottingham","Total","6","851999","50751"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottingham","Total","4.2","169345","7041"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottingham","Total","4.5","183216","8157"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottingham","Total","5.3","448660","23938"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottingham","Total","3.3","350862","11590"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottingham","Total","4.8","1446709","69474"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottingham","Total","4.7","70398","3320"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottingham","Total","3.9","379782","14938"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottingham","Total","4.7","398764","18653"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottingham","Total","2.2","823585","18267"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottingham","Total","3.7","249164","9131"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottingham","Total","4.7","6896327","320680"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottingham","Primary","4.5","3689036","164929"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottingham","Primary","4.7","11769","553"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Nottingham","Primary","9.5","4158","394"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottingham","Primary","9.3","48033","4483"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottingham","Primary","5.1","640336","32808"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottingham","Primary","4.9","544359","26726"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottingham","Primary","3.9","122000","4728"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottingham","Primary","3.9","122317","4751"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottingham","Primary","4.6","296019","13615"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottingham","Primary","3.4","218763","7471"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottingham","Primary","4.9","753413","36797"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottingham","Primary","4.8","41430","1979"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottingham","Primary","3.8","243469","9349"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottingham","Primary","4","208143","8408"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottingham","Primary","2.1","527219","11309"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottingham","Primary","3.1","139865","4325"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottingham","Primary","4.3","4190671","179485"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottingham","Secondary","6.5","2484129","161454"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottingham","Secondary","5.4","16538","897"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Nottingham","Secondary","6.6","930","61"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottingham","Secondary","16.3","29573","4830"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottingham","Secondary","6.1","338342","20729"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottingham","Secondary","7.7","298985","23065"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottingham","Secondary","4.8","44687","2167"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottingham","Secondary","5.7","59771","3394"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottingham","Secondary","6.5","142637","9270"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottingham","Secondary","2.9","128617","3793"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottingham","Secondary","4.6","679233","31177"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottingham","Secondary","4.5","28388","1281"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottingham","Secondary","4","134289","5318"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottingham","Secondary","5","184298","9168"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottingham","Secondary","2.3","288230","6515"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottingham","Secondary","4.3","106732","4562"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottingham","Secondary","5.1","2630416","133847"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Nottingham","Special","9.9","89583","8826"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Nottingham","Special","x","x","x"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Nottingham","Special","10.8","1134","122"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Nottingham","Special","7.7","8728","676"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Nottingham","Special","11.1","8655","960"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Nottingham","Special","5.5","2658","146"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Nottingham","Special","1.1","1128","12"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Nottingham","Special","10.5","10004","1053"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Nottingham","Special","9.4","3482","326"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Nottingham","Special","10.7","14063","1500"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Nottingham","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Nottingham","Special","13.4","2024","271"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Nottingham","Special","17","6323","1077"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Nottingham","Special","5.4","8136","443"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Nottingham","Special","9.5","2567","244"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Nottingham","Special","9.8","75240","7348"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Shropshire","Total","4.4","10966367","485700"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Shropshire","Total","4.9","23293","1132"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Shropshire","Total","15.3","4114","629"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Shropshire","Total","16","32273","5166"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Shropshire","Total","5","383109","18979"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Shropshire","Total","5.1","71195","3660"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Shropshire","Total","4.2","34449","1447"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Shropshire","Total","3.9","91098","3535"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Shropshire","Total","5.1","91668","4646"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Shropshire","Total","4","41796","1685"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Shropshire","Total","4.7","10035","475"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Shropshire","Total","4.8","14514","697"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Shropshire","Total","3.6","35530","1285"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Shropshire","Total","5","5008","249"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Shropshire","Total","3.2","13246","421"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Shropshire","Total","4.9","10872","531"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Shropshire","Total","5.1","908505","46083"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Shropshire","Primary","3.7","5958284","219950"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Shropshire","Primary","4.5","12373","554"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Shropshire","Primary","18.5","2458","455"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Shropshire","Primary","14.9","21409","3186"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Shropshire","Primary","4.6","227572","10535"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Shropshire","Primary","5","38427","1933"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Shropshire","Primary","3.6","21458","767"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Shropshire","Primary","4","57758","2332"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Shropshire","Primary","4.3","53275","2295"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Shropshire","Primary","4.4","19796","871"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Shropshire","Primary","5.3","5696","303"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Shropshire","Primary","5","7980","397"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Shropshire","Primary","3.8","20932","786"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Shropshire","Primary","1.9","2524","47"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Shropshire","Primary","2.8","6832","188"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Shropshire","Primary","4.6","8220","377"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Shropshire","Primary","4.9","531249","25917"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Shropshire","Secondary","5.2","4899819","255142"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Shropshire","Secondary","5.3","10920","578"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Shropshire","Secondary","10.5","1656","174"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Shropshire","Secondary","18.2","10484","1905"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Shropshire","Secondary","5.4","148292","8003"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Shropshire","Secondary","5.2","32008","1680"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Shropshire","Secondary","5.2","12991","680"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Shropshire","Secondary","3.6","33034","1193"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Shropshire","Secondary","5.6","36873","2058"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Shropshire","Secondary","3.3","21240","704"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Shropshire","Secondary","3.8","3199","120"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Shropshire","Secondary","4.3","6154","266"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Shropshire","Secondary","3.2","13838","440"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Shropshire","Secondary","8.1","2484","202"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Shropshire","Secondary","2.8","5654","157"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Shropshire","Secondary","5.8","2652","154"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Shropshire","Secondary","5.2","362485","18919"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Shropshire","Special","9.8","108264","10608"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Shropshire","Special","6.1","7245","441"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Shropshire","Special","19.3","1520","293"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Shropshire","Special","4.6","1140","52"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Shropshire","Special","x","x","x"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Shropshire","Special","8.4","14771","1247"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Telford and Wrekin","Total","4.6","7049922","325371"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Telford and Wrekin","Total","5","6358","315"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Telford and Wrekin","Total","16.6","4157","690"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Telford and Wrekin","Total","14.9","10204","1519"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Telford and Wrekin","Total","4.4","386911","16956"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Telford and Wrekin","Total","5.1","154678","7877"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Telford and Wrekin","Total","4.9","62524","3083"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Telford and Wrekin","Total","4.4","121476","5327"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Telford and Wrekin","Total","4","80843","3195"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Telford and Wrekin","Total","3.1","221379","6942"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Telford and Wrekin","Total","5","263919","13200"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Telford and Wrekin","Total","5.9","12364","734"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Telford and Wrekin","Total","3.3","63024","2099"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Telford and Wrekin","Total","5.3","21164","1123"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Telford and Wrekin","Total","1.9","177923","3302"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Telford and Wrekin","Total","2.4","35396","856"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Telford and Wrekin","Total","4.1","1679805","69013"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Telford and Wrekin","Primary","3.7","4003934","146387"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Telford and Wrekin","Primary","6","3985","240"
"Overall absence rate","201617","Academic year","Traveller of Irish Heritage","ONS 18+1","Telford and Wrekin","Primary","16.6","4157","690"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Telford and Wrekin","Primary","11.4","7015","801"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Telford and Wrekin","Primary","4.1","249828","10315"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Telford and Wrekin","Primary","4.2","89899","3773"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Telford and Wrekin","Primary","3.8","41101","1581"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Telford and Wrekin","Primary","4.2","78242","3270"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Telford and Wrekin","Primary","3.4","50604","1711"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Telford and Wrekin","Primary","2.9","114901","3329"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Telford and Wrekin","Primary","4.6","154492","7044"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Telford and Wrekin","Primary","6.2","6432","397"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Telford and Wrekin","Primary","3.6","32142","1162"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Telford and Wrekin","Primary","3.7","9553","350"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Telford and Wrekin","Primary","1.8","122941","2228"
"Overall absence rate","201617","Academic year","Any other Black background","ONS 18+1","Telford and Wrekin","Primary","2.3","13222","302"
"Overall absence rate","201617","Academic year","All ethnic minorities","ONS 18+1","Telford and Wrekin","Primary","3.8","1012856","38325"
"Overall absence rate","201617","Academic year","White British","ONS 18+1","Telford and Wrekin","Secondary","5.7","2906791","167024"
"Overall absence rate","201617","Academic year","White Irish","ONS 18+1","Telford and Wrekin","Secondary","3.2","2373","75"
"Overall absence rate","201617","Academic year","Gypsy Roma","ONS 18+1","Telford and Wrekin","Secondary","22.5","3189","718"
"Overall absence rate","201617","Academic year","Any other White background","ONS 18+1","Telford and Wrekin","Secondary","4.7","131765","6256"
"Overall absence rate","201617","Academic year","White and Black Caribbean","ONS 18+1","Telford and Wrekin","Secondary","6.3","62883","3990"
"Overall absence rate","201617","Academic year","White and Black African","ONS 18+1","Telford and Wrekin","Secondary","7","20300","1425"
"Overall absence rate","201617","Academic year","White and Asian","ONS 18+1","Telford and Wrekin","Secondary","4.8","42476","2026"
"Overall absence rate","201617","Academic year","Any other Mixed background","ONS 18+1","Telford and Wrekin","Secondary","4.3","29333","1271"
"Overall absence rate","201617","Academic year","Indian","ONS 18+1","Telford and Wrekin","Secondary","3.3","102442","3384"
"Overall absence rate","201617","Academic year","Pakistani","ONS 18+1","Telford and Wrekin","Secondary","5.3","99396","5294"
"Overall absence rate","201617","Academic year","Bangladeshi","ONS 18+1","Telford and Wrekin","Secondary","4.1","5172","212"
"Overall absence rate","201617","Academic year","Any other Asian background","ONS 18+1","Telford and Wrekin","Secondary","3","30196","891"
"Overall absence rate","201617","Academic year","Black Caribbean","ONS 18+1","Telford and Wrekin","Secondary","6.8","10855","742"
"Overall absence rate","201617","Academic year","Black African","ONS 18+1","Telford and Wrekin","Secondary","1.9","53990","1025"
