"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Value_type","Denominator","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","31.4","%","33611","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","28.3","%","17064","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","34.6","%","16547","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","42.1","%","460255","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","39.4","%","232109","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","44.9","%","228146","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","43.5","%","517756","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","40.7","%","261249","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","46.3","%","256507","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","42.8","%","398259","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","44.0","%","23009","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","50.2","%","52047","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","39.1","%","27385","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","72.7","%","2053","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","40.5","%","128774","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","41.1","%","7638","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","45.6","%","19620","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","37.0","%","10604","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","66.0","%","583","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","43.9","%","268974","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","45.5","%","15314","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","52.9","%","32383","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","40.5","%","16747","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","75.3","%","1466","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","30.6","%","64659","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","34.4","%","4182","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","40.7","%","8424","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","34.9","%","6204","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","55.9","%","261","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","48.5","%","199607","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","50.1","%","10770","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","57.6","%","22782","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","44.3","%","10066","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","80.1","%","1183","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","44.9","%","1860","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","44.4","%","196","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","57.6","%","847","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","43.1","%","260","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","47.4","%","19","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","28.2","%","1802","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","21.7","%","120","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","32.9","%","252","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","23.2","%","190","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","!","%","!","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","19.9","%","1046","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","21.7","%","46","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","26.9","%","78","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","29.6","%","27","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","!","%","!","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","6.4","%","78","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","!","%","7","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","!","%","12","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","!","%","11","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","N/A","%","0","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","State-funded special schools","All state-funded schools","All state-funded schools","0.3","%","8083","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","State-funded special schools","All state-funded schools","All state-funded schools","!","%","474","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","State-funded special schools","All state-funded schools","All state-funded schools","!","%","740","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","State-funded special schools","All state-funded schools","All state-funded schools","!","%","537","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","State-funded special schools","All state-funded schools","All state-funded schools","!","%","20","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.0","%","406342","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","43.2","%","23483","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","49.5","%","52787","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","38.4","%","27922","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","72.0","%","2073","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","43.5","%","517756","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","41.0","%","172106","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","44.8","%","343917","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","32.3","%","86459","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","49.4","%","250283","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","47.7","%","3362","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","27.9","%","2555","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","21.0","%","1258","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","4.9","%","1175","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","State-funded special schools","All state-funded schools","All state-funded schools","0.3","%","10103","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.6","%","527859","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","46.9","%","347332","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","All SEN","All state-funded schools","12.8","%","58981","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","SEN Support","All state-funded schools","15.6","%","43184","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","5.3","%","15797","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","45.0","%","168888","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","All SEN","All state-funded schools","11.7","%","37727","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","SEN Support","All state-funded schools","14.4","%","26101","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","5.6","%","11626","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","48.7","%","178444","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","All SEN","All state-funded schools","14.8","%","21254","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","SEN Support","All state-funded schools","17.3","%","17083","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","4.3","%","4171","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","48.3","%","20037","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","All SEN","All state-funded schools","13.4","%","3445","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","SEN Support","All state-funded schools","16.6","%","2553","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","4.0","%","892","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","47.1","%","9625","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","All SEN","All state-funded schools","12.4","%","2123","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","SEN Support","All state-funded schools","!","%","1470","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","!","%","653","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","49.4","%","10412","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","All SEN","All state-funded schools","14.9","%","1322","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","SEN Support","All state-funded schools","!","%","1083","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","!","%","239","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","53.8","%","47085","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","All SEN","All state-funded schools","13.6","%","5691","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","SEN Support","All state-funded schools","16.1","%","4223","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","","SEN with a statement or EHC plan","All state-funded schools","6.4","%","1468","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","No identified SEN","All state-funded schools","52.1","%","23574","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","All SEN","All state-funded schools","12.8","%","3487","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","","SEN Support","All state-funded schools","15.1","%","2525","","",""
