"Title","NHS workforce appointments from shortlisting"
"Location","England"
"Time period","2016/17"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-06-11"
"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Numerator","Denominator","Value","Value_type","Relative_likelihood_White:Other","Comments"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute","515","3768","0.136677","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute","475","2660","0.178571","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute","235","2086","0.112656","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute","553","3026","0.18275","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute","215","1887","0.113937","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental Health","488","2418","0.20182","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental Health","54","440","0.122727","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute","1653","7622","0.216872","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute","152","891","0.170595","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental Health","30","342","0.087719","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental Health","2","44","0.045455","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute","347","2893","0.119945","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute","38","368","0.103261","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental Health","317","3062","0.103527","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental Health","389","6141","0.063345","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental Health","354","1671","0.211849","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental Health","197","1794","0.10981","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Humber NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental Health","341","2838","0.120155","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Humber NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental Health","16","224","0.071429","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute","883","5703","0.154831","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute","185","2094","0.088348","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental Health","971","6380","0.152194","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental Health","189","2313","0.081712","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Epsom and St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute","477","1841","0.259098","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Epsom and St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute","316","1598","0.197747","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute","1184","5519","0.214532","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute","263","1433","0.183531","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute","695","3947","0.176083","%","0.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute","111","466","0.238197","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute","385","1846","0.208559","%","2.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute","49","507","0.096647","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental Health","1155","6635","0.174077","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental Health","175","1187","0.14743","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Central Manchester University Hospitals NHS Foundation Trust","RW3","White","White & Other","North","Grouped region","Acute","1238","6596","0.18769","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Central Manchester University Hospitals NHS Foundation Trust","RW3","Other","White & Other","North","Grouped region","Acute","392","2974","0.131809","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mersey Care NHS Foundation Trust","RW4","White","White & Other","North","Grouped region","Mental Health","364","3411","0.106714","%","2.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mersey Care NHS Foundation Trust","RW4","Other","White & Other","North","Grouped region","Mental Health","18","437","0.04119","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Care NHS Foundation Trust","RW5","White","White & Other","North","Grouped region","Mental Health","710","6368","0.111495","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Care NHS Foundation Trust","RW5","Other","White & Other","North","Grouped region","Mental Health","97","1365","0.071062","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Acute Hospitals NHS Trust","RW6","White","White & Other","North","Grouped region","Acute","1186","6489","0.182771","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Acute Hospitals NHS Trust","RW6","Other","White & Other","North","Grouped region","Acute","270","2267","0.1191","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hull and East Yorkshire Hospitals NHS Trust","RWA","White","White & Other","North","Grouped region","Acute","879","4507","0.19503","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hull and East Yorkshire Hospitals NHS Trust","RWA","Other","White & Other","North","Grouped region","Acute","68","483","0.140787","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","United Lincolnshire Hospitals NHS Trust","RWD","White","White & Other","Midlands & East","Grouped region","Acute","1119","6135","0.182396","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","United Lincolnshire Hospitals NHS Trust","RWD","Other","White & Other","Midlands & East","Grouped region","Acute","144","1095","0.131507","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Leicester NHS Trust","RWE","White","White & Other","Midlands & East","Grouped region","Acute","806","5538","0.14554","%","2.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of Leicester NHS Trust","RWE","Other","White & Other","Midlands & East","Grouped region","Acute","386","6084","0.063445","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Maidstone and Tunbridge Wells NHS Trust","RWF","White","White & Other","South","Grouped region","Acute","1194","4093","0.291718","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Maidstone and Tunbridge Wells NHS Trust","RWF","Other","White & Other","South","Grouped region","Acute","305","1547","0.197156","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West Hertfordshire Hospitals NHS Trust","RWG","White","White & Other","Midlands & East","Grouped region","Acute","608","2409","0.252387","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West Hertfordshire Hospitals NHS Trust","RWG","Other","White & Other","Midlands & East","Grouped region","Acute","420","2178","0.192837","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East and North Hertfordshire NHS Trust","RWH","White","White & Other","Midlands & East","Grouped region","Acute","528","2459","0.214721","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East and North Hertfordshire NHS Trust","RWH","Other","White & Other","Midlands & East","Grouped region","Acute","290","1527","0.189915","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Stockport NHS Foundation Trust","RWJ","White","White & Other","North","Grouped region","Acute","777","4406","0.17635","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Stockport NHS Foundation Trust","RWJ","Other","White & Other","North","Grouped region","Acute","178","1538","0.115735","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East London NHS Foundation Trust","RWK","White","White & Other","London","Grouped region","Mental Health","201","3825","0.052549","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East London NHS Foundation Trust","RWK","Other","White & Other","London","Grouped region","Mental Health","233","4838","0.04816","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Essex Partnership University NHS Foundation Trust","RWN","White","White & Other","Midlands & East","Grouped region","Mental Health","479","2300","0.208261","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Essex Partnership University NHS Foundation Trust","RWN","Other","White & Other","Midlands & East","Grouped region","Mental Health","131","1124","0.116548","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Acute Hospitals NHS Trust","RWP","White","White & Other","Midlands & East","Grouped region","Acute","354","4083","0.086701","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Acute Hospitals NHS Trust","RWP","Other","White & Other","Midlands & East","Grouped region","Acute","58","1180","0.049153","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Partnership University NHS Foundation Trust","RWR","White","White & Other","Midlands & East","Grouped region","Mental Health","401","1586","0.252837","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Partnership University NHS Foundation Trust","RWR","Other","White & Other","Midlands & East","Grouped region","Mental Health","176","987","0.178318","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Devon Partnership NHS Trust","RWV","White","White & Other","South","Grouped region","Mental Health","390","3008","0.129654","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Devon Partnership NHS Trust","RWV","Other","White & Other","South","Grouped region","Mental Health","15","235","0.06383","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Warrington and Halton Hospitals NHS Foundation Trust","RWW","White","White & Other","North","Grouped region","Acute","488","2989","0.163265","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Other","White & Other","North","Grouped region","Acute","104","581","0.179002","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Berkshire Healthcare NHS Foundation Trust","RWX","White","White & Other","South","Grouped region","Mental Health","506","2475","0.204444","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Berkshire Healthcare NHS Foundation Trust","RWX","Other","White & Other","South","Grouped region","Mental Health","299","1342","0.222802","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Calderdale and Huddersfield NHS Foundation Trust","RWY","White","White & Other","North","Grouped region","Acute","679","3980","0.170603","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Calderdale and Huddersfield NHS Foundation Trust","RWY","Other","White & Other","North","Grouped region","Acute","174","1529","0.1138","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottingham University Hospitals NHS Trust","RX1","White","White & Other","Midlands & East","Grouped region","Acute","531","2336","0.227312","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottingham University Hospitals NHS Trust","RX1","Other","White & Other","Midlands & East","Grouped region","Acute","133","884","0.150452","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Partnership NHS Foundation Trust","RX2","White","White & Other","South","Grouped region","Mental Health","261","2455","0.106314","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Partnership NHS Foundation Trust","RX2","Other","White & Other","South","Grouped region","Mental Health","41","484","0.084711","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","White","White & Other","North","Grouped region","Mental Health","1776","7107","0.249894","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Other","White & Other","North","Grouped region","Mental Health","90","477","0.188679","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","White","White & Other","North","Grouped region","Mental Health","765","3942","0.194064","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Other","White & Other","North","Grouped region","Mental Health","45","358","0.125698","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North East Ambulance Service NHS Foundation Trust","RX6","White","White & Other","North","Grouped region","Ambulance","3636","6231","0.583534","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North East Ambulance Service NHS Foundation Trust","RX6","Other","White & Other","North","Grouped region","Ambulance","165","323","0.510836","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Ambulance Service NHS Trust","RX7","White","White & Other","North","Grouped region","Ambulance","981","3591","0.273183","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Ambulance Service NHS Trust","RX7","Other","White & Other","North","Grouped region","Ambulance","85","500","0.17","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Yorkshire Ambulance Service NHS Trust","RX8","White","White & Other","North","Grouped region","Ambulance","981","2554","0.384103","%","2.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Yorkshire Ambulance Service NHS Trust","RX8","Other","White & Other","North","Grouped region","Ambulance","105","742","0.141509","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Midlands Ambulance Service NHS Trust","RX9","White","White & Other","Midlands & East","Grouped region","Ambulance","368","2513","0.146439","%","2.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Midlands Ambulance Service NHS Trust","RX9","Other","White & Other","Midlands & East","Grouped region","Ambulance","16","241","0.06639","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","White","White & Other","North","Grouped region","Mental Health","370","2692","0.137444","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Other","White & Other","North","Grouped region","Mental Health","14","193","0.072539","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Sussex Healthcare NHS Trust","RXC","White","White & Other","South","Grouped region","Acute","620","11312","0.054809","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Sussex Healthcare NHS Trust","RXC","Other","White & Other","South","Grouped region","Acute","146","2713","0.053815","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","White","White & Other","North","Grouped region","Mental Health","509","2879","0.176797","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Other","White & Other","North","Grouped region","Mental Health","35","325","0.107692","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Yorkshire Hospitals NHS Trust","RXF","White","White & Other","North","Grouped region","Acute","900","5807","0.154985","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Yorkshire Hospitals NHS Trust","RXF","Other","White & Other","North","Grouped region","Acute","203","1459","0.139136","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South West Yorkshire Partnership NHS Foundation Trust","RXG","White","White & Other","North","Grouped region","Mental Health","672","799","0.841051","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South West Yorkshire Partnership NHS Foundation Trust","RXG","Other","White & Other","North","Grouped region","Mental Health","122","131","0.931298","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Brighton and Sussex University Hospitals NHS Trust","RXH","White","White & Other","South","Grouped region","Acute","1050","1859","0.56482","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Brighton and Sussex University Hospitals NHS Trust","RXH","Other","White & Other","South","Grouped region","Acute","329","534","0.616105","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sandwell and West Birmingham Hospitals NHS Trust","RXK","White","White & Other","Midlands & East","Grouped region","Acute","419","2657","0.157697","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sandwell and West Birmingham Hospitals NHS Trust","RXK","Other","White & Other","Midlands & East","Grouped region","Acute","358","3159","0.113327","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","White","White & Other","North","Grouped region","Acute","818","5184","0.157793","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Other","White & Other","North","Grouped region","Acute","287","1636","0.175428","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Healthcare NHS Foundation Trust","RXM","White","White & Other","Midlands & East","Grouped region","Mental Health","392","1951","0.200923","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Healthcare NHS Foundation Trust","RXM","Other","White & Other","Midlands & East","Grouped region","Mental Health","63","461","0.136659","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","White","White & Other","North","Grouped region","Acute","1529","4224","0.361979","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Other","White & Other","North","Grouped region","Acute","303","1330","0.22782","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","County Durham and Darlington NHS Foundation Trust","RXP","White","White & Other","North","Grouped region","Acute","472","786","0.600509","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","County Durham and Darlington NHS Foundation Trust","RXP","Other","White & Other","North","Grouped region","Acute","45","72","0.625","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Buckinghamshire Healthcare NHS Trust","RXQ","White","White & Other","South","Grouped region","Acute","689","3413","0.201875","%","2.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Buckinghamshire Healthcare NHS Trust","RXQ","Other","White & Other","South","Grouped region","Acute","249","2974","0.083726","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Lancashire Hospitals NHS Trust","RXR","White","White & Other","North","Grouped region","Acute","446","5187","0.085984","%","3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Lancashire Hospitals NHS Trust","RXR","Other","White & Other","North","Grouped region","Acute","108","3827","0.028221","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","White","White & Other","Midlands & East","Grouped region","Mental Health","96","2436","0.039409","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Other","White & Other","Midlands & East","Grouped region","Mental Health","95","2510","0.037849","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Greater Manchester Mental Health NHS Foundation Trust","RXV","White","White & Other","North","Grouped region","Mental Health","77","657","0.117199","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Greater Manchester Mental Health NHS Foundation Trust","RXV","Other","White & Other","North","Grouped region","Mental Health","19","221","0.085973","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Shrewsbury and Telford Hospital NHS Trust","RXW","White","White & Other","Midlands & East","Grouped region","Acute","362","3838","0.09432","%","0.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Shrewsbury and Telford Hospital NHS Trust","RXW","Other","White & Other","Midlands & East","Grouped region","Acute","84","739","0.113667","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Borders Partnership NHS Foundation Trust","RXX","White","White & Other","South","Grouped region","Mental Health","270","1024","0.263672","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Surrey and Borders Partnership NHS Foundation Trust","RXX","Other","White & Other","South","Grouped region","Mental Health","98","569","0.172232","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent and Medway NHS and Social Care Partnership Trust","RXY","White","White & Other","South","Grouped region","Mental Health","153","7703","0.019862","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent and Medway NHS and Social Care Partnership Trust","RXY","Other","White & Other","South","Grouped region","Mental Health","48","3443","0.013941","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Community Health NHS Trust","RY1","White","White & Other","North","Grouped region","Community Provider Trust","340","1276","0.266458","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Community Health NHS Trust","RY1","Other","White & Other","North","Grouped region","Community Provider Trust","25","126","0.198413","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bridgewater Community Healthcare NHS Foundation Trust","RY2","White","White & Other","North","Grouped region","Community Provider Trust","498","2727","0.182618","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Other","White & Other","North","Grouped region","Community Provider Trust","31","221","0.140271","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk Community Health and Care NHS Trust","RY3","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","230","2578","0.089216","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk Community Health and Care NHS Trust","RY3","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","19","412","0.046117","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Community NHS Trust","RY4","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","428","1821","0.235036","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Community NHS Trust","RY4","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","81","670","0.120896","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Community Health Services NHS Trust","RY5","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","34","1829","0.018589","%","N/A","cannot divide by 0"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Community Health Services NHS Trust","RY5","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","0","136","0","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Community Healthcare NHS Trust","RY6","White","White & Other","North","Grouped region","Community Provider Trust","573","1866","0.307074","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Community Healthcare NHS Trust","RY6","Other","White & Other","North","Grouped region","Community Provider Trust","124","681","0.182085","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral Community NHS Foundation Trust","RY7","White","White & Other","North","Grouped region","Community Provider Trust","166","1108","0.149819","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral Community NHS Foundation Trust","RY7","Other","White & Other","North","Grouped region","Community Provider Trust","5","56","0.089286","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Community Health Services NHS Foundation Trust","RY8","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","426","3045","0.139901","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Community Health Services NHS Foundation Trust","RY8","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","31","406","0.076355","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hounslow and Richmond Community Healthcare NHS Trust","RY9","White","White & Other","London","Grouped region","Community Provider Trust","135","505","0.267327","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Other","White & Other","London","Grouped region","Community Provider Trust","109","630","0.173016","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West Midlands Ambulance Service NHS Foundation Trust","RYA","White","White & Other","Midlands & East","Grouped region","Ambulance","688","4411","0.155974","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West Midlands Ambulance Service NHS Foundation Trust","RYA","Other","White & Other","Midlands & East","Grouped region","Ambulance","71","702","0.10114","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East of England Ambulance Service NHS Trust","RYC","White","White & Other","Midlands & East","Grouped region","Ambulance","312","4912","0.063518","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East of England Ambulance Service NHS Trust","RYC","Other","White & Other","Midlands & East","Grouped region","Ambulance","12","379","0.031662","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South East Coast Ambulance Service NHS Foundation Trust","RYD","White","White & Other","South","Grouped region","Ambulance","386","4089","0.0944","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South East Coast Ambulance Service NHS Foundation Trust","RYD","Other","White & Other","South","Grouped region","Ambulance","37","493","0.075051","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Central Ambulance Service NHS Foundation Trust","RYE","White","White & Other","South","Grouped region","Ambulance","639","3375","0.189333","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Central Ambulance Service NHS Foundation Trust","RYE","Other","White & Other","South","Grouped region","Ambulance","44","454","0.096916","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Western Ambulance Service NHS Foundation Trust","RYF","White","White & Other","South","Grouped region","Ambulance","115","3388","0.033943","%","0.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Western Ambulance Service NHS Foundation Trust","RYF","Other","White & Other","South","Grouped region","Ambulance","14","255","0.054902","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Coventry and Warwickshire Partnership NHS Trust","RYG","White","White & Other","Midlands & East","Grouped region","Mental Health","553","3474","0.159182","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Coventry and Warwickshire Partnership NHS Trust","RYG","Other","White & Other","Midlands & East","Grouped region","Mental Health","177","1616","0.10953","%","-",""
