"Title","Prosecutions and convictions"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-11"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age Group","Age Group Type","Value","Denominator","Numerator"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","74.3","16736","12437"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","76.7","27045","20755"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","79.8","3627","2895"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","75.8","9630","7299"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","75.3","49890","37563"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.6","247209","201619"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.1","1166","817"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.3","3029","2099"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","64.7","238","154"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.6","1426","978"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.3","2905","2129"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.7","15867","11378"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","70.4","903","636"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","74.3","2436","1810"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.6","421","356"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.3","1201","916"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.8","9982","7667"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.7","35524","29007"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","70.6","943","666"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","74.1","2650","1963"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","84","443","372"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","75.5","1349","1019"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","76.7","10326","7924"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","81.1","37325","30288"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75","40","30"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.5","214","153"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.7","22","16"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.6","148","103"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","74.7","344","257"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.1","1801","1281"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.1","14597","10957"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.2","21508","16809"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.4","2959","2380"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.4","6966","5391"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.7","32628","25353"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.4","195198","160875"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","74.7","15718","11740"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","77.1","24313","18748"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","79.3","3175","2518"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","76","8240","6264"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","77.4","35009","27097"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81.7","209231","170947"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.8","1121","783"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.1","2805","1939"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","63.9","216","138"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.5","1274","873"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.2","2381","1744"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.8","14033","10072"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","38.6","70","27"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","51.4","72","37"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.6","9","5"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","37.8","37","14"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.2","4375","2414"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","57.9","620","359"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","41.3","75","31"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","53.7","82","44"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","55.6","9","5"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","39","41","16"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","55.8","4555","2542"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","58.8","653","384"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","80","5","4"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70","10","7"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","50","4","2"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.1","180","128"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.8","33","25"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78","14355","11192"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.8","22163","17904"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.9","3165","2687"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79","7885","6226"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.7","48921","38510"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","85.1","204301","173808"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","77.6","15426","11972"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","79.6","25005","19903"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","84.4","3399","2870"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","77.4","9196","7121"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","78.4","52005","40763"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","84.3","217298","183183"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.8","1071","780"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.3","2842","1999"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","78.2","234","183"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.3","1311","895"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.1","3084","2253"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.1","12997","9375"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","70.4","896","631"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79.3","2216","1757"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","90.1","374","337"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.5","1095","882"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.6","9844","8036"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.5","31376","26515"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","70.4","934","658"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","78.7","2381","1874"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","89.9","398","358"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","78.4","1237","970"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","81.3","10244","8328"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","83.9","32811","27529"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.1","38","27"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.9","165","117"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","87.5","24","21"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","62","142","88"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73","400","292"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.7","1435","1014"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.8","13365","10526"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.1","19843","16093"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.4","2776","2342"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.8","6761","5329"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.2","34523","28048"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","85.3","172404","146998"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","78.3","14395","11277"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","79.8","22513","17970"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","83.9","2982","2502"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","77.4","7930","6136"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","80.7","36971","29839"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","84.5","183928","155334"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.9","1030","751"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.3","2670","1877"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.7","206","160"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69","1169","807"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.2","2448","1791"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.3","11524","8336"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","37.2","94","35"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","51.9","104","54"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","53.3","15","8"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","51.7","29","15"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","53.3","4554","2426"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","56.6","521","295"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","38.1","97","37"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","53.2","111","59"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","52.6","19","10"
"Percentage of defendants convicted","2015","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","51.7","29","15"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","54.2","4790","2596"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","57.2","559","320"
"Percentage of defendants convicted","2015","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","3","2"
"Percentage of defendants convicted","2015","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.4","7","5"
"Percentage of defendants convicted","2015","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","50","4","2"
"Percentage of defendants convicted","2015","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72","236","170"
"Percentage of defendants convicted","2015","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","65.8","38","25"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81","13715","11110"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.1","22106","18145"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.1","2859","2346"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.7","6623","5476"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.4","52502","42731"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","86.8","175188","152066"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","80.5","14716","11845"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","80.6","25000","20148"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.3","3077","2501"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.2","7615","6184"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","80.9","55914","45252"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","86","185403","159449"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.4","1001","735"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.2","2894","2003"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.1","218","155"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.4","992","708"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.9","3412","2521"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.3","10215","7383"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","72.1","835","602"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.2","2030","1588"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.8","347","263"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.7","879","692"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.4","9173","7649"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","85.6","27076","23175"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","72.8","871","634"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","76.9","2205","1695"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","75.7","371","281"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","77.5","967","749"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","82.8","9529","7892"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","85","28088","23882"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","88.9","36","32"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","61.1","175","107"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75","24","18"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","64.8","88","57"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.3","356","243"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.9","1012","707"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.9","12793","10476"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.6","19965","16489"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83","2501","2076"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.4","5717","4769"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.9","38834","32588"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","87.1","147605","128561"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81.3","13753","11176"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81.1","22670","18375"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","82.1","2692","2211"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81.9","6615","5415"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","83.3","41612","34680"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","86.2","156777","135218"
