"Title","Physical activity"
"Location","England"
"Time period","2015/16"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Physically active","52.2","%","654","342","59.60%","44.80%","301"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Physically active","41.9","%","142","59","56.70%","28.30%","77"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Physically active","68.3","%","322","220","75.90%","59.60%","178"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Physically active","55.1","%","348","192","65.10%","44.80%","156"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","50.8","%","7486","3803","53.00%","48.60%","4003"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","53.2","%","4542","2415","55.70%","50.60%","2753"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","50.6","%","314","159","62.00%","39.20%","160"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","45.3","%","1414","641","51.30%","39.50%","546"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","47.5","%","420","199","59.00%","36.20%","162"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","*","%","*","*","*","*","24"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","64.3","%","164","106","76.30%","50.30%","75"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Physically active","51.1","%","252","129","63.80%","38.40%","110"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","71.7","%","27202","19512","72.70%","70.70%","14783"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","75.2","%","17897","13453","76.30%","74.10%","10510"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","76.4","%","1282","979","79.90%","72.40%","737"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","64.4","%","3404","2190","68.00%","60.60%","1186"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","63","%","1232","776","68.70%","56.90%","476"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","59.6","%","412","245","69.30%","49.20%","172"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","72.1","%","934","673","77.90%","65.40%","337"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 9","Physically active","59.4","%","574","341","67.70%","50.60%","245"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","25.7","%","194622","49963","25.90%","25.40%","196635"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","24.7","%","151090","37380","25.00%","24.50%","163434"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","23.3","%","11058","2579","24.50%","22.20%","10189"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","31.8","%","13713","4367","33.30%","30.50%","8240"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","30.1","%","4621","1391","32.50%","27.90%","2996"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","29.9","%","1502","450","34.10%","26.10%","1061"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","17.9","%","3174","569","20.30%","15.80%","2078"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16+","All","Physically inactive","30.2","%","2195","664","33.60%","27.00%","1475"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","24.4","%","94839","23122","24.80%","24.00%","86635"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","23.6","%","72836","17158","24.00%","23.10%","72217"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","22.7","%","5304","1206","24.60%","21.00%","4054"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","28.2","%","7611","2143","30.20%","26.20%","3945"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","29.4","%","2082","612","33.20%","25.90%","1178"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","31.6","%","749","236","38.20%","25.60%","420"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","17.9","%","1508","269","21.70%","14.60%","797"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Male","16+","All","Physically inactive","28.9","%","1020","295","34.40%","24.00%","629"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","26.8","%","99472","26670","27.20%","26.50%","109741"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","25.8","%","78120","20144","26.20%","25.40%","91093"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","23.9","%","5743","1370","25.40%","22.30%","6128"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","36.4","%","6082","2217","38.50%","34.50%","4284"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","30.5","%","2526","771","33.60%","27.60%","1809"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","28.3","%","753","213","33.60%","23.60%","640"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","18","%","1663","300","20.90%","15.40%","1280"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","Female","16+","All","Physically inactive","31.4","%","619","368","35.80%","27.40%","843"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","27.2","%","16767","4559","28.00%","26.40%","22176"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","26","%","13895","3611","26.80%","25.20%","19152"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","32.3","%","672","217","36.80%","28.10%","821"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","31.9","%","1067","340","36.20%","27.80%","872"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","29.4","%","214","63","37.60%","22.40%","261"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","77"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","21.5","%","186","40","31.50%","14.00%","189"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East Midlands","Region","All","16+","All","Physically inactive","44.9","%","87","39","58.50%","32.00%","97"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","25.4","%","21559","5472","26.10%","24.70%","25806"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","25.1","%","17865","4489","25.90%","24.40%","21846"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","24","%","1176","283","27.10%","21.20%","1432"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","26","%","855","222","30.20%","22.20%","761"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","21.1","%","398","84","27.00%","16.30%","352"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","26.3","%","105","28","38.00%","17.20%","114"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","21.3","%","271","58","28.40%","15.60%","243"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","East","Region","All","16+","All","Physically inactive","35.2","%","174","61","47.00%","25.00%","148"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","24.8","%","30407","7542","25.70%","24.00%","19497"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","21","%","13469","2833","22.10%","20.00%","10250"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","22.3","%","4156","927","24.60%","20.20%","2845"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","31.8","%","5382","1711","34.40%","29.30%","2363"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","30.8","%","2620","808","34.30%","27.60%","1302"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","30","%","692","208","37.20%","23.70%","346"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","17.2","%","1215","209","21.70%","13.40%","524"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","London","Region","All","16+","All","Physically inactive","26.8","%","954","256","32.10%","22.20%","488"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","28.1","%","9440","2651","29.40%","26.80%","8958"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","27.5","%","8596","2364","28.80%","26.20%","8166"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","29.8","%","180","54","39.70%","21.40%","202"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","28.1","%","146","41","41.30%","17.80%","135"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","34"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","47"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","63"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","54"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","26.6","%","25463","6765","27.30%","25.90%","27560"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","25.8","%","21363","5505","26.50%","25.00%","23824"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","24.2","%","923","223","27.90%","20.80%","953"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","33.1","%","1401","464","36.90%","29.50%","1059"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","34.9","%","285","99","43.20%","27.40%","260"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","34.7","%","132","46","45.60%","25.10%","134"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","17.1","%","315","54","23.70%","12.00%","260"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","North West","Region","All","16+","All","Physically inactive","29.9","%","189","57","39.40%","21.90%","174"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","22.7","%","31725","7208","23.30%","22.20%","36345"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","21.9","%","26303","5750","22.50%","21.30%","30596"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","22.1","%","1854","411","24.60%","19.90%","2142"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","33","%","1299","429","36.90%","29.40%","1265"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","27.6","%","383","105","33.90%","22.00%","346"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","29.8","%","180","54","41.60%","20.20%","172"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","14.2","%","409","58","19.80%","10.10%","352"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South East","Region","All","16+","All","Physically inactive","21.7","%","222","48","29.30%","15.60%","205"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","22.7","%","19788","4494","23.50%","22.00%","22349"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","22.3","%","17654","3942","23.10%","21.50%","20285"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","20.6","%","767","158","24.80%","17.00%","781"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","29.6","%","345","102","37.50%","22.90%","235"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","64"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","54"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","16.3","%","217","35","24.30%","10.60%","168"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","92"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","29.5","%","20339","6000","30.40%","28.60%","19092"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","28.6","%","15622","4473","29.60%","27.70%","16103"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","25.4","%","771","196","30.10%","21.20%","625"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","32.3","%","2173","702","36.10%","28.70%","1084"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","33","%","414","137","41.00%","25.90%","265"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","70"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","22.2","%","294","65","30.50%","15.60%","175"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","West Midlands","Region","All","16+","All","Physically inactive","38.7","%","208","81","52.20%","26.70%","112"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","27.6","%","19135","5272","28.60%","26.60%","14852"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","27","%","16323","4413","28.10%","26.00%","13212"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","19.9","%","559","111","25.70%","15.20%","388"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","34","%","1047","356","39.60%","28.90%","466"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","33.3","%","205","68","47.30%","21.80%","112"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","47"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","104"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","27.7","%","183","51","39.20%","18.50%","105"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","15.6","%","27117","4243","16.50%","14.80%","12688"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","13.5","%","18371","2474","14.40%","12.60%","9255"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","15.3","%","1381","212","19.00%","12.30%","677"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","22","%","3438","756","25.00%","19.30%","1155"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","21.8","%","1075","234","27.20%","17.20%","404"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","22.5","%","385","87","32.80%","14.80%","147"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","13.3","%","1167","155","17.30%","10.10%","478"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","16-24","All","Physically inactive","21.9","%","461","101","31.90%","14.40%","141"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","20.7","%","32346","6699","21.50%","20.00%","24414"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","17.6","%","21717","3818","18.40%","16.80%","17551"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","23.2","%","3525","817","25.60%","21.00%","2604"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","33.4","%","3257","1087","36.70%","30.20%","1792"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","25","%","794","199","30.70%","20.10%","456"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","27.1","%","490","133","35.20%","20.40%","290"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","16.1","%","850","137","20.40%","12.50%","538"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","25-34","All","Physically inactive","25.9","%","499","129","33.50%","19.60%","278"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","21","%","30049","6298","21.60%","20.30%","30799"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","17.2","%","20556","3530","17.90%","16.50%","22286"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","22.7","%","2882","655","24.90%","20.70%","2958"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","34","%","3297","1120","36.60%","31.40%","2506"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","31.3","%","869","273","36.60%","26.50%","711"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","36.2","%","306","111","44.80%","28.40%","287"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","20.7","%","473","98","27.20%","15.40%","441"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2016/17","Financial year","England","Country","All","35-44","All","Physically inactive","33.6","%","479","161","40.10%","27.70%","405"
