"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","28","%","242"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","39","%","222"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","29","%","2178"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","24","%","1082"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","34","%","1096"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","72","%","34368"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","69","%","17657"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","76","%","16711"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","76","%","10889"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","73","%","5694"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","80","%","5195"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","64","%","5313"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","60","%","2724"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","68","%","2589"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","22","%","586165"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","18","%","299309"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","27","%","286856"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","30","%","62119"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","26","%","31790"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","35","%","30329"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","30","%","10195"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","24","%","5158"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","36","%","5037"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","39","%","15794"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","35","%","8137"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","45","%","7657"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","22","%","26155"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","18","%","13388"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","27","%","12767"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","37","%","9975"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","32","%","5107"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","41","%","4868"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","24","%","34425"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","20","%","17442"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","28","%","16983"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","27","%","22468"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","23","%","11329"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","31","%","11139"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","16","%","7505"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","13","%","3844"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","19","%","3661"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","21","%","4452"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","18","%","2269"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","25","%","2183"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","46","%","2173"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","43","%","1072"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","50","%","1101"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","25","%","30588"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","21","%","15567"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","30","%","15021"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","32","%","7026"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","27","%","3648"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","37","%","3378"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","25","%","3900"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","21","%","1983"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","29","%","1917"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","18","%","8607"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","14","%","4341"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","22","%","4266"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","27","%","11055"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","22","%","5595"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","32","%","5460"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","21","%","441657"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","17","%","225633"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","25","%","216024"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","21","%","406142"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","17","%","207435"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","25","%","198707"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","31","%","1701"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","25","%","864"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","36","%","837"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","4","%","432"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","2","%","229"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","7","%","203"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","2","%","1992"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","2","%","1042"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","3","%","950"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","22","%","31390"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","18","%","16063"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","25","%","15327"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","25","%","10324"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","22","%","5245"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","28","%","5079"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","18","%","4879"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","17","%","2560"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","21","%","2319"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","31","%","599694"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","27","%","306326"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","35","%","293368"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","43","%","65291"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","38","%","33470"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","48","%","31821"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","44","%","10719"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","38","%","5464"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","49","%","5255"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","52","%","17146"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","47","%","8792"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","58","%","8354"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","35","%","26842"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","30","%","13722"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","40","%","13120"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","49","%","10584"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","44","%","5492"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","54","%","5092"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","36","%","35699"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","32","%","18102"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","41","%","17597"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","40","%","23612"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","36","%","11907"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","45","%","11705"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","26","%","7328"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","20","%","3755"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","32","%","3573"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","33","%","4759"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","28","%","2440"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","37","%","2319"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","56","%","2288"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","51","%","1149"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","61","%","1139"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","34","%","33043"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","29","%","16679"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","39","%","16364"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","41","%","7645"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","35","%","3986"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","47","%","3659"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","33","%","4315"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","28","%","2135"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","37","%","2180"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","25","%","8994"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","20","%","4451"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","30","%","4543"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","36","%","12089"
